	cancer_type	pathway_name	pathway_id	url
0	ccrcc	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
1	colon	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
2	endometrial	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
3	gbm	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
4	hnscc	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
5	lscc	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
6	luad	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
7	ovarian	Activation of C3 and C5 Homo sapiens	R-HSA-174577	https://reactome.org/PathwayBrowser/#/R-HSA-174577&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
8	ccrcc	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
9	colon	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
10	endometrial	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
11	gbm	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
12	hnscc	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
13	lscc	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
14	luad	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
15	ovarian	Terminal pathway of complement Homo sapiens	R-HSA-166665	https://reactome.org/PathwayBrowser/#/R-HSA-166665&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
16	ccrcc	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
17	colon	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
18	endometrial	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
19	gbm	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
20	hnscc	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
21	lscc	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
22	luad	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
23	ovarian	Polymerase switching on the C-strand of the telomere Homo sapiens	R-HSA-174411	https://reactome.org/PathwayBrowser/#/R-HSA-174411&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
24	ccrcc	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTJfMTU3NTA%3D
25	colon	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTZfMTU3NTE%3D
26	endometrial	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjEwNTlfMTU3NTI%3D
27	gbm	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDJfMTU3NTM%3D
28	hnscc	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDVfMTU3NTQ%3D
29	lscc	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMDdfMTU3NTU%3D
30	luad	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTBfMTU3NTY%3D
31	ovarian	Polymerase switching Homo sapiens	R-HSA-69091	https://reactome.org/PathwayBrowser/#/R-HSA-69091&DTAB=AN&ANALYSIS=MjAyMDA1MzAwMjExMTJfMTU3NTc%3D
