	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_fdr	pathway_avg_rank	pathway_avg_overlap	cancer_type_rank	entities_ratio	entities_pValue	entities_fdr	entities_found	entities_total
18	R-HSA-72163	endometrial	0.20588235294117646	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	2	0.012746313903817004	0.009902182753878774	0.8219205345749762	180	185
19	R-HSA-72163	gbm	0.75	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	3	0.012746313903817004	0.015557530771126094	0.803797666027487	178	185
20	R-HSA-72163	hnscc	0.6645962732919255	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	3	0.012746313903817004	0.06057433727743988	0.83292086846573	177	185
21	R-HSA-72163	lscc	0.6727272727272727	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	2	0.012746313903817004	0.05786661254633774	0.8726502026225027	168	185
22	R-HSA-72163	luad	0.5540540540540541	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	17	0.012746313903817004	0.07288246993772274	0.8489584258572173	161	185
23	R-HSA-72163	ovarian	0.7066666666666667	https://reactome.org/PathwayBrowser/#/R-HSA-72163&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	mRNA Splicing - Major Pathway	8	0.7254473535231686	4.375	0.012746313903817004	3	0.012746313903817004	0.002375832761064567	0.7803251322975149	175	185
24	R-HSA-72172	ccrcc	0.5061728395061729	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	4	0.013504202838638556	0.03218825591534058	0.8426403962485929	185	196
25	R-HSA-72172	colon	0.7108433734939759	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	4	0.013504202838638556	1.0788183524734762e-05	0.0028912331846289163	177	196
26	R-HSA-72172	endometrial	0.1773049645390071	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	3	0.013504202838638556	0.016945559176156588	0.8219205345749762	187	196
27	R-HSA-72172	gbm	0.7341040462427746	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	4	0.013504202838638556	0.025600041309803867	0.803797666027487	185	196
28	R-HSA-72172	hnscc	0.6463414634146342	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	10	0.013504202838638556	0.09142719652968068	0.83292086846573	184	196
29	R-HSA-72172	lscc	0.6588235294117647	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	6	0.013504202838638556	0.08227427303485824	0.8726502026225027	175	196
30	R-HSA-72172	luad	0.5526315789473685	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	41	0.013504202838638556	0.1275963581774644	0.8489584258572173	166	196
31	R-HSA-72172	ovarian	0.6862745098039216	https://reactome.org/PathwayBrowser/#/R-HSA-72172&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	mRNA Splicing	8	0.7257630574098313	9.5	0.013504202838638556	4	0.013504202838638556	0.006359177897999779	0.7803251322975149	180	196
