t	N
0	150
0.19123431580490835	149
0.3207169059782671	148
0.5854809131486344	147
0.5897349285417963	146
0.6115977119627154	147
0.6305545587205216	146
0.6442626965015447	147
0.6467057500793902	146
1.0728136012822724	145
1.3444771581769779	144
1.462134526091532	143
1.7364558098863179	144
1.7542158806360522	145
1.7597603003070579	144
2.613377583138522	145
2.6652423611908187	144
2.873110690981513	145
3.011483520282037	146
3.1020252914596202	147
3.1936726597763228	148
3.453052002782293	149
3.7173265763669003	150
4.006394362633272	149
4.4722069950536785	150
4.518395475573693	149
4.589865854755618	148
4.64051913222445	147
4.798295875867188	148
5.743309709250061	147
5.906616910848976	146
6.116137001342624	147
6.269418911629143	146
6.3411939128403265	145
6.410372152065995	144
6.449684713885236	143
6.499728311473875	144
6.606987588588456	145
6.628672875595061	146
6.696856268020804	145
6.798337095640253	144
6.833879154832315	145
7.1128789947575	146
7.233411409507739	147
7.373091632781999	146
7.526851395950219	147
7.529929929945156	146
7.601934431778033	145
7.987062122577446	146
8.308980682767158	147
8.709480084480516	146
8.722914628800979	145
8.934375439715113	146
9.02426503179045	147
9.071573312710258	146
9.102284049335683	147
9.157358610000985	146
9.379912253570348	145
9.58171594479409	146
9.741327099815022	145
10.438085301871892	144
10.624706081726433	143
10.992221415963146	142
11.155191939013623	141
11.522089221118227	140
11.537260987743784	141
12.071222596206649	140
12.383348833788183	141
12.49139810658382	142
12.56560387282545	141
12.776566182509868	140
13.404486313405318	139
13.507851327831817	138
13.809569499391264	139
13.844299775959113	140
13.994651772407297	141
14.289241316929255	142
14.315319972674494	141
15.2830275324483	142
15.601642223574494	143
15.647623150155269	142
15.89312418667115	143
15.941219391039297	142
16.1643502405526	141
16.169010313479866	142
16.1929848268179	143
16.58756587427164	144
16.676615156299288	145
16.792097947232435	146
16.817863896202795	145
16.997729881756943	146
17.03585790875979	147
18.158035093637313	146
18.251513273412517	145
18.43547087101254	144
18.464142039826324	143
19.344057019607405	144
19.507933707009332	145
19.8416095261819	144
20.156076175876525	145
20.18633423167744	146
20.74141436733834	145
21.001656760621874	144
21.036671123990615	143
21.386917936404565	142
21.513554639292412	141
21.575544494061234	140
22.201633343981424	141
22.866264308300273	142
23.024548169572878	143
23.199626187732857	144
23.537550566441087	145
23.66276767188577	144
