t	N
0	150
0.2553194144062465	151
0.677754092985589	152
0.6813745234592054	153
0.7406542387588311	152
0.9372838782045955	151
1.0913582966423518	150
1.1157698651030454	151
1.3900630190100893	152
1.436116976691148	151
1.874018064788432	150
2.019785135293521	151
2.350701976505757	150
2.4396771184259536	151
2.4962880435570813	150
2.577713291620276	151
2.59288681631793	150
2.6202494366634337	151
2.752273750466624	150
2.7684312866255483	149
3.03177179676433	148
3.144019078265625	149
3.262613339980438	148
3.493067311039494	147
3.7922267686613167	146
3.822395354554655	145
3.945309726248025	146
4.041003282624006	147
4.057862863715914	146
4.338876551730168	147
4.470939472394318	146
4.796093317962999	147
5.076559193498831	148
5.526213855005399	149
5.703317428578678	148
6.102459364258053	147
6.860800122284684	146
7.025610078280038	147
7.69085770598566	146
7.889677072762984	145
8.382251347267774	144
8.559550235059005	143
8.609940348970076	142
8.701907734848625	143
8.875092884783742	144
9.406205559924755	143
9.815560427830269	144
10.789999932505236	145
10.808715538932065	146
11.264436711693948	145
11.478238118621444	144
12.158567519405064	143
12.394762426484599	142
12.735920833809262	143
12.787431491795596	142
12.935512410490192	141
13.0041995694414	140
13.090553695178953	139
13.187443575310802	138
13.30586334745096	137
13.623051845976262	136
13.802580058550811	137
13.876889545346273	136
14.019967844290186	137
14.173061144630319	136
14.745423856165228	135
14.893337745273952	136
14.99775983106696	135
15.070778939516526	134
15.19437927924721	133
15.237239157437307	134
15.264054260849544	135
15.336321588536912	136
15.366937986686988	137
15.38543545894323	138
15.408620533892021	139
15.776145074334039	138
16.077671506678943	139
16.462734016000816	140
16.550068185952398	141
16.793093078027816	140
16.895570728139198	141
16.975702727260682	142
17.01756329883576	143
17.18947206039814	144
17.212757656500937	143
17.67204542022064	142
18.087706769786365	141
18.13076573383402	140
18.44838324257888	141
18.482226112464605	140
18.717426493051867	139
19.04252147794291	140
19.05398406890271	139
19.11696235216469	140
19.11912798398481	141
19.161388310236156	142
19.456303553199625	141
19.81293316010481	142
20.443546885765173	141
20.508066022012503	142
20.5423466039091	143
20.709766048607538	144
21.20066734162144	143
21.48590161083535	142
23.3115030298614	143
23.361247998523215	142
23.932413172418478	141
24.285109831403123	140
24.40267234129119	139
24.689572556712946	140
24.722531862160885	139
25.418138244936692	138
25.503444802358874	137
25.549591239879565	138
25.608230332596012	139
25.63080102634834	140
25.719744640243782	141
25.795158833310985	142
26.141960260549574	141
26.155629556416528	140
26.195351540973014	141
26.791552158897336	140
26.82520987667013	141
26.838072906632146	142
27.256290093491636	141
27.29217130204898	140
27.361915180918476	141
27.38836742765749	140
27.89342157666323	141
28.58243758817768	142
28.781590767836423	141
29.008969598789964	142
29.098574400153655	143
29.255841206403716	144
29.27921785083111	143
29.48715227160745	142
29.656481607241133	141
29.675923271034055	142
29.97244179419478	143
30.219212628466092	144
30.279695249472063	143
30.356239447478092	144
30.725768057989608	143
30.7434936809782	144
30.760653551078367	143
31.19775140002139	142
31.35234895455772	141
31.667075843576683	142
31.871089567722372	143
31.88646286900004	144
31.91380168404298	143
31.920778145690797	144
32.127480281515155	143
32.28554024167147	144
32.562639076917314	143
32.6872474942368	144
33.21656848872463	143
33.543190009472674	142
33.61810706695947	143
34.21968652942625	144
34.54292504297936	143
34.64374160683901	144
34.67099798149151	145
34.717299541075704	146
35.040610337879365	145
35.04506036246023	146
35.637027355625754	145
36.01076931708996	144
36.193041167271716	145
36.61595750750165	144
36.91504459545485	145
36.91834172009192	146
37.709078750132996	145
38.08844350499421	144
38.11322165627639	145
38.63552130202911	146
38.683782200728096	145
38.72936562009729	146
38.77257286708177	147
38.81637336429058	148
39.27837902630652	149
39.93108145849401	150
40.10407816073386	151
40.29821121518431	152
40.51169204899699	151
41.13579446730204	150
41.16582435959974	151
41.301446022996885	150
41.459868567454244	151
41.60642884099436	152
41.60708954711849	151
42.342070751368716	152
42.45203072567699	151
42.459500252491495	150
42.52357188446193	149
42.651686820901496	148
42.97595209623484	147
43.06807089048763	148
43.22659794207399	147
43.36348984222148	146
43.75758550867147	147
43.81164511624251	146
43.84599829638042	147
44.122531624101235	148
44.195208808861615	147
44.60389938269587	146
45.03231768744468	145
45.05534274448177	146
45.09645419373524	147
45.225027895526324	146
45.471089728104445	147
45.821982607958326	146
45.843650512595495	145
46.16379131333986	146
46.373683231817836	145
46.4240337555564	146
46.694271202803414	147
46.72382137792905	148
46.75801505747583	149
46.87864932370087	148
47.47395208851943	149
47.55147651189001	150
47.57119104569956	151
48.25664473714658	152
48.96872040301778	151
49.57122439474428	152
49.916401399035585	151
50.10560699052045	150
50.10585159699477	149
50.326979469105545	148
50.72515916757549	149
50.95703586510908	148
50.99554457656279	147
51.6318026446442	146
52.08316100589836	147
52.26873982585249	148
52.31300390717711	147
52.62882735487283	146
52.77662390760223	145
53.614759646848896	144
53.68066751308033	145
53.82614838821952	144
53.82856640668236	145
53.966658423973584	146
54.135893116920485	147
54.299803519137576	146
54.394498308036	147
54.73949658629229	148
55.063624168661605	147
55.86378400105354	148
56.07047915492519	149
56.43767579877701	150
56.99437787413641	151
57.21489859411104	152
57.3106164356276	153
57.40200450930406	152
57.42421988426929	151
57.47740369644029	152
57.71526760522086	151
57.86706135875904	152
57.8893096828288	153
57.942236498474365	152
58.26568864040208	151
58.482024829624656	150
58.514097967963096	149
58.52301485128152	148
58.570876261737865	147
58.87473034277188	148
59.17536908703154	147
59.41660988777627	148
59.66979421431983	147
59.91078937551149	146
60.13249072516897	145
60.85695985693615	144
61.040498132230695	143
61.500706334457035	142
61.56700366366344	143
61.90140590376883	144
62.26320343732788	145
62.4797462322769	144
63.987849711950076	143
64.12777420164869	144
64.16872446171843	145
64.33296040783593	146
64.51211450634972	147
64.54139401511819	148
65.20069987784052	147
65.22399856741343	148
65.238256507299	149
65.4794380224681	150
65.50416007179489	149
65.77317401794545	150
65.95786225695727	151
66.02731261050661	150
66.20642702248213	149
66.68661727849185	148
66.78264854379873	147
66.79912518727672	146
67.21060439584201	147
67.51530452245962	148
67.63704627342061	149
68.53602275915505	148
68.56471697697032	147
68.73473583151906	146
69.21767215992533	145
69.28220289011306	146
69.28558167876544	145
69.33482148077039	146
69.33970152439278	147
69.62166362314404	146
69.69889239000503	145
70.25451793120457	144
70.52500683482498	143
70.57977295196028	144
70.7080867044562	143
70.9620055925606	142
71.08097967918926	141
71.16215063246499	140
71.30674296639599	139
71.38548986300466	138
72.00557062322099	137
72.06624276919715	138
72.80059454855932	139
73.18800976361871	138
73.51899200997917	137
73.65153606852434	136
73.93653490806886	135
74.1571950251014	136
74.22105500604668	135
74.22732503910706	136
75.37538188081678	137
75.63636062866054	136
75.64695584710631	137
75.75168279819094	138
75.97980081638102	137
76.03057271614918	138
76.26942626186445	139
76.49978567961665	140
77.51319780985534	141
77.67205912078752	142
77.82900327235298	143
77.97984964565696	144
78.27543814482574	143
78.55113144003016	144
78.59581834061792	143
78.63888556219102	144
79.00420989129441	143
79.11293566195313	142
79.53781454487665	141
79.71330237057849	140
79.7705885562125	139
79.9129104952616	138
79.93748018110938	139
80.0156671184455	140
80.1628071175002	139
80.18717807945626	140
80.22656459235033	141
80.4813646970996	142
80.50299943604222	141
80.68549210693908	140
81.05907626873173	141
81.46339989692248	142
81.867132374002	141
82.16771177912314	140
82.42950959726437	141
82.43625673429614	142
82.54828932799909	143
83.07196396262552	142
83.327124081608	143
83.41512056986299	142
83.77948195636183	143
83.88474431713682	144
84.08458158001793	143
84.21667603006199	142
84.43938973065556	141
84.9151435198356	142
84.93376319256916	141
85.0477290751987	140
85.09898628843739	139
85.79715094462694	138
86.10085485610045	137
86.19109978199393	136
86.4321277752075	135
86.79206745129	136
87.0458716845021	135
87.10206071776958	134
87.10541238230573	135
87.16672235068471	134
87.18105324347933	135
87.38929286338022	134
87.44230377055133	135
87.62952943172289	134
87.70167678245943	135
87.7046604342213	136
87.71178064111106	137
87.90494931999709	136
87.95377575540454	137
88.45748666917049	138
88.54737337032566	137
88.89405990748183	138
89.17184687075908	137
89.2201522534747	136
89.25179398465404	135
89.26570039845889	134
89.58397516896792	135
89.69151095778305	136
89.78446637437594	137
89.88481890788091	138
90.05548821581506	139
90.05997215137414	138
90.24421979940567	139
90.853350437907	138
90.88035389202946	137
90.9111006301373	138
91.00581998624548	139
91.19665264527926	140
91.43251738458189	139
91.57710213572771	140
91.62032401149452	139
91.97431251243681	138
93.22612418810324	137
93.5766075816502	138
93.68049015981309	139
93.98745445449612	138
94.12048747164569	139
94.53280804648428	140
94.93509262144514	139
94.94366285704251	140
95.01163770870785	139
95.36388978295284	140
95.48040778409687	139
95.56504633632163	140
95.64315296332295	141
95.89923317507896	140
96.462127789124	141
97.32593937992998	142
97.37062591505554	143
97.43286410512101	144
97.6057794422763	145
97.72680683389238	146
97.80915332255931	147
97.86923669948399	146
98.05304557532979	145
98.29788291211067	146
98.59793576444909	147
98.67660126393723	146
98.68288612154805	145
99.03198107938762	144
99.33255178106566	143
99.44501383522235	142
99.70168965896889	141
100.06882703356881	142
100.3999814321001	141
100.45990251769626	140
100.60599871661019	139
100.68177203383718	138
101.19043448467279	137
101.20973219750942	136
101.4164006522782	135
101.58058789358019	134
102.31995067078543	135
102.4326867410956	136
102.45859516506736	137
102.48435538477543	138
102.6670215993311	137
103.15600322088561	138
103.22653106268591	137
103.52005847284612	136
103.63183811654943	135
103.6882154715095	134
103.8444589713191	133
104.1058071892844	134
104.23533103804967	133
104.24796063125687	134
104.28097028119454	133
104.3590242837524	132
104.55923546651186	133
104.88598969157363	132
104.88909070207893	133
104.91173679273446	132
105.77525981720409	131
105.78773556390063	132
106.15542003683868	133
106.22616132911821	132
106.27710895443708	133
106.33869245162681	132
106.62690014165605	131
106.93015510505872	132
107.49341537651092	133
107.72500568879317	134
107.83592893308327	135
108.01315456988048	134
108.13018913838378	133
108.46655760951452	134
108.53530050223917	133
108.55606598181716	134
108.56504460447407	135
108.82595508201489	136
108.95540509998425	137
108.97250007447639	138
108.98211552873121	139
108.99363097044353	140
109.13146907617445	141
109.17398476105592	140
109.52714174942372	141
109.8651725006171	140
109.88244376194265	141
109.99472204701901	142
110.21965475778325	143
110.40223823478892	142
110.40371408596924	141
110.55534890946461	140
110.57615404362791	139
110.68533240267234	140
110.69872383891584	139
111.368531769586	140
111.38148055131064	141
112.07293556462118	140
112.18612927370803	141
112.24849398124017	140
112.52019821461504	141
112.59853043496746	142
113.06546266020172	143
113.24606279075296	142
113.48389488165009	141
113.65276995813812	142
113.9329201667045	141
114.2391206151563	140
114.45819684712174	141
115.1044518589712	140
115.16260359992084	141
115.19332966045518	140
115.57968133202607	141
116.47505938987248	140
116.58756025594874	141
116.64985544104836	142
116.69447164684841	141
116.75689330026424	142
116.86210911695932	143
116.9323153700508	142
117.18480535872747	143
117.29901049217113	144
117.44488443347959	145
117.77445552312241	146
117.96146957069801	147
118.31251899685839	148
118.52867252940422	147
118.7827282041296	146
119.07367386465023	145
119.15084969903657	144
119.1912794670998	145
119.230139257257	144
119.37407340338333	143
119.43355040936936	142
119.5938556638598	141
119.62949548634971	140
119.87786035997422	139
120.07051451542858	138
120.74371901671147	137
120.94054015663713	138
120.94546761954156	139
121.02714531333204	140
121.57708504424095	141
121.70875121905031	140
122.09845716537802	141
122.11661655480555	142
122.24704721866952	143
122.40772291849454	144
123.07197452100127	143
123.17094626961517	144
123.42932918991796	143
124.71581989129061	144
125.54043818152917	143
125.72341500323815	144
126.03908687947296	143
126.04289194562155	142
126.06621342532642	143
126.08668861936927	142
126.44355879524541	141
126.47301311999266	140
127.032502226964	141
127.18411582033175	142
127.3276209913569	141
127.43579982589699	142
127.55840459761106	141
127.70147433354774	142
128.09875882782666	143
128.15115214998755	142
128.4418270900313	141
128.85108027851052	142
129.3413434412816	143
129.37323829653488	144
129.70098554265303	143
129.71718416480707	142
129.9815220888285	143
130.00360889158065	144
130.203586338944	143
130.27323539516135	144
130.77509904087498	143
130.79812689723954	144
130.99896411041672	145
131.01985982965786	144
131.31504673064182	145
131.42810510311472	146
131.6078829061665	145
132.08105305016113	144
132.6309443530226	143
133.29851317230376	144
133.30578795338835	143
133.3919877416753	142
133.82159857478925	143
134.8423789235959	142
135.00115215046065	143
135.02588827335623	144
135.06111678651527	145
135.065661191442	144
135.22209961467124	145
135.5394385817357	144
135.56975823635148	143
135.67286748487672	144
136.30103510444957	143
136.67467873950224	144
136.85190447611308	143
136.91413706277086	142
136.95146482929616	141
136.9831425648173	142
137.59387716511736	143
138.11924871320187	142
138.2284147966654	143
138.38517281636135	142
138.54078229012262	141
138.7222907397475	142
138.75468136795865	143
138.85135039081678	142
139.0004127544272	141
139.55217299577467	140
139.87522768646252	139
139.99133303207114	138
140.76441152267012	139
140.86673801177918	138
141.0187373784029	137
141.1585528734725	136
141.24306591113088	135
141.26404587010222	136
141.39899897462433	137
141.78845549940837	136
141.80981261179835	137
142.1174195810582	136
142.25239719076177	135
142.42713345866707	134
142.4927711710097	133
142.54460441064768	134
142.56640276051183	133
142.81614369831	134
143.95628930768657	133
144.02553983265952	132
144.24547999976704	133
144.27685830248154	134
144.3013033684326	135
144.50491743775555	136
145.14223879329836	137
145.16269127315002	138
145.44140728124188	137
145.76058424517817	136
145.97308099162586	137
146.1104590434539	138
146.27667920930816	137
146.3574117349789	136
146.4285209166107	137
146.59528313257704	138
146.7593528638155	137
146.8956484441705	136
147.29045740205876	137
147.29582479321252	138
147.34184175155946	137
147.77284091760117	136
147.79588405448214	135
147.79788032134238	134
147.8917734067407	135
148.08018311861633	134
148.27468730913228	133
149.20884488480348	134
149.42640388474632	133
149.53155931978603	132
149.66011877295531	133
149.8668987028664	134
150.24265177698157	135
150.4583862352743	134
150.61000874328315	135
150.66386545561525	134
150.76985006754887	135
151.11018641376626	136
151.29564773321275	135
151.32199952292885	136
151.40573568369987	135
151.85205483553702	134
152.11780126929077	135
152.28190450269307	136
152.35266981269032	135
152.36667037480188	136
152.54345749701167	135
153.09654233299543	134
153.91450560490657	133
154.1504843505517	134
154.18939507911372	135
154.2512477946073	136
154.60118721115396	137
154.7576427995261	138
155.04121364950285	139
155.23031701278023	140
155.49205223649886	141
155.93816735952578	142
156.02188128376994	141
156.10916928329522	140
156.36272813524081	139
156.38892549107047	138
157.0254010632281	137
157.06352178328473	136
157.17343615313848	135
157.4650776909932	134
157.78804420671142	135
158.07944150078788	134
158.30866968069233	135
158.49534403191203	134
158.62243703425992	133
158.6737428780568	134
158.82165750288777	135
158.9598766229473	136
159.3385965470333	135
159.47556256620263	134
159.67782230585675	133
159.85659039624377	134
159.9143357906486	135
159.91731483817907	136
159.95663764456302	135
160.02226362066568	134
160.1006201836976	133
160.28945156221397	132
160.34410557225286	131
160.36334529817012	130
160.58061605823934	129
160.91945272166063	130
161.24414421173051	131
161.28009456137772	130
161.30680924941143	131
161.50884992915863	130
161.66355466606709	131
161.9757034182399	130
162.10214103354133	131
162.23420511918832	130
162.26560191675264	131
162.41424234126606	132
162.6847363306222	131
163.27999960295875	132
163.5105873349933	133
163.59608930886924	132
163.60084660159345	133
163.66860474888279	134
163.80496148311062	135
163.99476362704075	136
164.30470488523662	137
164.71482941934596	136
164.77796634739417	137
165.37474021555556	138
165.49912616138954	139
165.51574808630357	140
165.89142267900996	141
166.1399269213142	142
166.64141654499173	143
166.69655456417266	144
166.69976248920173	143
166.74497665693806	144
166.84158437493588	145
167.16142949159095	146
167.3176475574626	147
167.53196814225552	146
167.8369164806032	147
167.87070424002718	146
168.08037604250416	145
168.21787080749195	146
168.2314511620768	147
168.39975479369184	146
168.86346123392585	147
169.50002007316755	148
169.62823212479594	149
169.83016173093984	150
169.85738495070768	151
169.9996189889746	152
170.0704210515131	151
170.27314475543125	150
170.56446058576236	151
171.10148479541425	150
171.23728627010195	151
171.39294384727037	152
171.80349466053525	151
171.8409408547014	150
172.33706830441992	149
172.54514489891633	148
173.05806869539185	147
173.40957437488998	146
173.5865461461709	147
174.93146403112632	146
175.22990769998546	145
175.5399751933144	146
175.61116225384595	147
175.73071164736584	148
176.64408907270033	147
176.79736147764197	146
177.1714535082441	145
177.20840582722778	144
177.3340446372753	145
177.38115352825807	146
177.50130650115264	147
178.1899277093486	146
178.36119300034272	147
178.59487152780065	146
178.93742252353886	147
179.1221107049106	148
179.50692340415003	149
179.55721325026866	150
179.78670394996993	149
180.13942901862376	148
180.2042441355342	149
180.3354096059094	150
180.5820608164771	149
180.61123896651378	148
180.7035482041121	147
180.75714571729165	148
180.84990334101678	149
181.0917428672613	150
181.24339271606544	151
181.24732047879834	150
181.60560040678763	151
182.00103584973868	150
182.33979418106134	151
182.45047843211347	150
182.666135329547	151
182.83712768046811	150
183.26966247579733	151
183.33583081246658	150
183.66788051500433	151
183.77599583797962	152
183.9310795862902	153
184.268321831289	154
184.2986964007442	155
184.91236497022913	154
185.47108894833622	153
185.52942826373936	152
186.06529823708198	153
186.20332420500702	152
186.42276119982805	153
186.70817660644965	152
186.92482266241237	153
187.69605408031458	152
187.9603305047799	151
188.06976026534946	152
188.37729406392825	151
188.61187788275302	150
188.99748990145576	151
189.010967799128	152
189.10978556133446	153
189.34151506245533	154
189.446221261271	153
190.08531408550522	154
190.16827494001654	153
190.53213315509518	152
190.63666783734712	153
