	stId
278	R-HSA-390918
279	R-HSA-6796648
280	R-HSA-6802957
281	R-HSA-9663891
282	R-HSA-73864
283	R-HSA-1912408
284	R-HSA-157579
285	R-HSA-9018677
286	R-HSA-674695
287	R-HSA-69002
288	R-HSA-69202
289	R-HSA-6806834
290	R-HSA-2995410
291	R-HSA-5654738
292	R-HSA-977225
293	R-HSA-1638091
294	R-HSA-5579029
295	R-HSA-375280
296	R-HSA-2151201
297	R-HSA-73854
298	R-HSA-216083
299	R-HSA-1655829
300	R-HSA-186797
301	R-HSA-383280
302	R-HSA-6783783
303	R-HSA-1660662
304	R-HSA-6781827
305	R-HSA-1234174
306	R-HSA-416482
307	R-HSA-170834
308	R-HSA-9024446
309	R-HSA-8852135
310	R-HSA-9020591
311	R-HSA-1980143
312	R-HSA-196807
313	R-HSA-380287
314	R-HSA-1169408
315	R-HSA-8852276
316	R-HSA-8939902
317	R-HSA-5633008
318	R-HSA-917937
319	R-HSA-1236977
320	R-HSA-176408
321	R-HSA-1236394
322	R-HSA-1222556
323	R-HSA-3108214
324	R-HSA-159236
325	R-HSA-380270
326	R-HSA-167172
327	R-HSA-5578749
328	R-HSA-69473
329	R-HSA-4086398
330	R-HSA-499943
331	R-HSA-5663084
332	R-HSA-199992
333	R-HSA-204998
334	R-HSA-198725
335	R-HSA-351202
336	R-HSA-427413
337	R-HSA-5625740
338	R-HSA-3000178
339	R-HSA-1445148
340	R-HSA-975634
341	R-HSA-1660661
342	R-HSA-75105
343	R-HSA-8936459
344	R-HSA-3906995
345	R-HSA-1227986
346	R-HSA-204005
347	R-HSA-448424
348	R-HSA-1834949
349	R-HSA-176814
350	R-HSA-1650814
351	R-HSA-193368
352	R-HSA-176409
353	R-HSA-211981
354	R-HSA-69017
355	R-HSA-8854518
356	R-HSA-8948751
357	R-HSA-5693606
358	R-HSA-74259
359	R-HSA-179419
360	R-HSA-8950505
361	R-HSA-68949
362	R-HSA-6802952
363	R-HSA-2404192
364	R-HSA-1793185
365	R-HSA-913709
366	R-HSA-189445
367	R-HSA-174184
368	R-HSA-174178
369	R-HSA-69615
370	R-HSA-1169091
371	R-HSA-1234176
372	R-HSA-5685942
373	R-HSA-5358346
374	R-HSA-112040
375	R-HSA-168325
376	R-HSA-74751
377	R-HSA-2428924
378	R-HSA-5362517
379	R-HSA-389661
380	R-HSA-191273
381	R-HSA-156584
382	R-HSA-5690714
383	R-HSA-1222499
384	R-HSA-5658442
385	R-HSA-380284
