Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of bone resorption (GO:0045124)	6/22	0.4961340443282087	0.7848022406096866	0	0	1.0781864903232758	0.7557107636507004	P2RX7;CSF1R;SYK;SRC;ITGB3;PLEKHM1
GO_Biological_Process_2018	protein homotrimerization (GO:0070207)	6/22	0.4961340443282087	0.7845590418986207	0	0	1.0781864903232758	0.7557107636507004	PNPT1;MLKL;SIGMAR1;HSF1;EMILIN1;MIF
GO_Biological_Process_2018	lipid translocation (GO:0034204)	6/22	0.4961340443282087	0.7843159938682928	0	0	1.0781864903232758	0.7557107636507004	TMEM30A;ABCB1;ATP8B2;ATP8A1;RFT1;ATP11C
GO_Biological_Process_2018	hematopoietic progenitor cell differentiation (GO:0002244)	6/22	0.4961340443282087	0.7840730963787083	0	0	1.0781864903232758	0.7557107636507004	SFRP1;ACE;PLEK;PLD4;PRRC2C;MLF1
GO_Biological_Process_2018	bile acid biosynthetic process (GO:0006699)	7/26	0.4986358968043655	0.7877829663754419	0	0	1.064363586601183	0.7406683909897851	CYP27A1;ACOT8;OSBPL7;SCP2;ACOX2;CYP7B1;OSBPL1A
GO_Biological_Process_2018	regulation of cardiac muscle cell contraction (GO:0086004)	7/26	0.4986358968043655	0.7875391462063377	0	0	1.064363586601183	0.7406683909897851	CAMK2D;CAV3;CAV1;PDE4D;RANGRF;ANK2;DSG2
GO_Biological_Process_2018	Wnt signaling pathway (GO:0016055)	28/109	0.4990801678657314	0.7879969358350329	0	0	1.0155395688671838	0.705788361354103	WNT2B;DDX3X;ARL6;TNKS;CHD8;LRRK2;LRP5;KLHL12;PSEN1;LRP6;WNT11;SKP1;WNT4;FZD1;FZD3;FZD2;FZD7;WNT5A;VRK1;VRK3;RBX1;RNF146;PPM1A;SFRP1;APC;SFRP5;PLPP3;FERMT2
GO_Biological_Process_2018	regulation of Wnt signaling pathway (GO:0030111)	28/109	0.4990801678657314	0.7877532003151335	0	0	1.0155395688671838	0.705788361354103	KANK1;LRP1;CHD8;LRRK2;LRP5;PSEN1;CDC73;LRP6;ZNF703;GRB10;SPIN1;RACK1;EMD;WWOX;CTNNBIP1;TSC2;NFATC1;ESR1;HIC1;SMARCA4;PPP1CA;PPM1A;SFRP1;CCNY;DAAM2;SFRP5;FOLR1;FGFR2
GO_Biological_Process_2018	negative regulation of cation channel activity (GO:2001258)	8/30	0.5007571821825473	0.7901558134438895	0	0	1.0542267905383145	0.729139051657902	GSTM2;FMR1;FKBP1B;CASQ2;PKD2;CLIC2;MMP9;TRDN
GO_Biological_Process_2018	regulation of defense response to virus by host (GO:0050691)	8/30	0.5007571821825473	0.7899115612604448	0	0	1.0542267905383145	0.729139051657902	APOBEC3F;DTX3L;DHX9;DDX58;STAT1;EIF2AK4;TMEM173;PARP9
GO_Biological_Process_2018	fatty-acyl-CoA biosynthetic process (GO:0046949)	8/30	0.5007571821825473	0.7896674600363223	0	0	1.0542267905383145	0.729139051657902	ACSL1;FASN;SCD5;ACSL6;ACSL5;ACSF3;ACACA;ACAT1
GO_Biological_Process_2018	phosphatidylinositol 3-kinase signaling (GO:0014065)	8/30	0.5007571821825473	0.7894235096316153	0	0	1.0542267905383145	0.729139051657902	IRS1;C1QBP;PIK3CD;PIK3CB;PIK3R1;PIK3C2A;SIRT2;PIK3C2B
GO_Biological_Process_2018	response to estradiol (GO:0032355)	8/30	0.5007571821825473	0.7891797099065901	0	0	1.0542267905383145	0.729139051657902	FAM210B;STAT5B;SFRP1;RUVBL2;ZNF703;ESR1;EGFR;STRN3
GO_Biological_Process_2018	positive regulation of B cell proliferation (GO:0030890)	8/30	0.5007571821825473	0.7889360607216853	0	0	1.0542267905383145	0.729139051657902	CD74;BST1;MEF2C;TFRC;CD81;BCL2;NFATC2;MIF
GO_Biological_Process_2018	CENP-A containing nucleosome assembly (GO:0034080)	8/30	0.5007571821825473	0.7886925619375121	0	0	1.0542267905383145	0.729139051657902	NPM1;RBBP4;NASP;RUVBL1;SMARCA5;CENPL;RSF1;RBBP7
GO_Biological_Process_2018	CENP-A containing chromatin organization (GO:0061641)	8/30	0.5007571821825473	0.7884492134148531	0	0	1.0542267905383145	0.729139051657902	NPM1;RBBP4;NASP;RUVBL1;SMARCA5;CENPL;RSF1;RBBP7
