Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Formyl peptide receptors bind formyl peptides and many other ligands	6/9			FPR2;ANXA1;APP;FPR1;SAA1;HEBP1
CUSTOM140674733480768	Free fatty acids regulate insulin secretion	10/11			GNA14;PLCB1;ACSL3;GNA15;PLCB3;CD36;GNAQ;PLCB2;GNA11;ACSL4
CUSTOM140674733480768	Frs2-mediated activation	9/12			MAPK1;CRKL;BRAF;YWHAB;MAP2K1;MAPK3;RAP1A;MAP2K2;RAPGEF1
CUSTOM140674733480768	Fructose biosynthesis	2/2			AKR1B1;SORD
CUSTOM140674733480768	Fructose catabolism	5/5			TKFC;ALDOB;GLYCTK;ALDH1A1;KHK
CUSTOM140674733480768	Fructose metabolism	7/7			AKR1B1;SORD;TKFC;ALDOB;GLYCTK;ALDH1A1;KHK
CUSTOM140674733480768	G alpha (12/13) signalling events	72/80			GNG5;KALRN;NGEF;ROCK1;PREX1;ARHGEF38;ARHGEF1;GNGT2;ARHGEF10;GNG12;GNG2;RHOB;GNG11;RHOC;ARHGEF18;ARHGEF37;TRIO;SOS2;MCF2L;GNB5;ARHGEF9;GNB3;RASGRF2;GNG10;GNG4;FGD4;TIAM2;PLXNB1;ABR;ROCK2;ARHGEF10L;GNG7;GNG8;TIAM1;BTK;OBSCN;VAV2;ARHGEF16;ARHGEF26;ARHGEF35;ARHGEF19;FGD1;ARHGEF3;ARHGEF40;VAV1;PLEKHG2;GNG13;FGD3;ARHGEF17;AKAP13;ARHGEF5;ARHGEF6;PLEKHG5;GNGT1;RHOA;ARHGEF11;SOS1;ARHGEF15;GNA13;GNB4;ITSN1;GNG3;GNB1;GNA12;ARHGEF12;VAV3;GNB2;ECT2;FGD2;ARHGEF4;ARHGEF7;ARHGEF2
CUSTOM140674733480768	G alpha (i) signalling events	223/405			PPP1CA;GRM3;RGS10;PRKAR1A;RDH16;TAS1R3;SDC4;PRKCG;CHRM4;RGS12;GNG2;GNAT1;PRKAR1B;RGS1;GNG10;RGS7;ANXA1;ADCY6;CAMKK1;LRP8;AKR1C1;GNG7;APP;C5;PDE1B;SDC3;RBP4;GPC1;S1PR2;CX3CL1;RGS11;CCL5;GABBR1;PLCB3;C3;PPP3CB;GNG13;LRP1;PDE4A;CREB1;PRKCQ;GNGT1;ADCY8;NMT2;GNB1;ADCY9;PRKCA;SSTR2;GPC3;GPSM2;GNB2;RDH12;APOB;ADCY2;NMT1;RGS6;TTR;PPP3R1;GNG5;AHCYL1;SDC2;CXCL12;GNGT2;POMC;ADCY1;GNG12;CCL21;HCAR2;INSL5;P2RY12;RGS18;ACKR3;GNB5;CXCL16;PRKAR2A;ADCY3;LRP2;HSD17B6;AKR1B10;CAMK4;GNG8;S1PR3;PPP3CC;SST;PLCB1;METAP1;AGT;PLCB4;ITPR3;ADRA2A;PRKACG;APOC3;CAMK2D;CYP4V2;GNG3;CASR;C3AR1;APOA2;GNAL;FPR1;SAA1;AGRN;CCL28;GABBR2;GPR37L1;AKR1C4;GPSM1;DHRS9;AKR1C3;KPNA2;PPP1R1B;PRKACA;CCL16;RGS14;RGS22;HEBP1;LDLR;RDH10;PPP2R1B;MAPK1;CXCR4;DHRS3;PDE4C;STRA6;GAL;RBP3;PLA2G4A;GRK2;GPR17;RLBP1;LRP10;APOM;RGS5;ADORA1;CNR1;PPP2R5D;METAP2;PRKACB;LPL;APOE;RGS3;GNAI2;CAMK2A;NBEA;PLCB2;GPC6;APOC2;HSPG2;GNAO1;PDE1C;ADCY7;CCR1;PTGER3;RDH5;CXCL9;PNLIP;RETSAT;RGS17;PENK;C5AR1;CXCL5;GPC4;KNG1;PDE1A;GNAI3;PDE4D;CAMKMT;GNAI1;GPC5;ITPR2;RGS20;RGS19;CDK5;GNG11;CXCL1;APOA1;GRM7;CCR6;PPBP;CXCL13;GNB3;CALM1;GNG4;GPSM3;CCL20;PRKCD;S1PR1;RBP1;SRC;RDH11;PRKX;CXCL8;PF4;MYO7A;APOA4;FNTB;RBP2;PPP2R1A;FNTA;PYY;CAMK2B;PPEF1;BCO1;GNAS;GRM2;PPP2CB;PSAP;GNAZ;PPP3CA;CXCL10;GNB4;FPR2;SDC1;BCO2;LPAR1;PRKAR2B;NAPEPLD;NPY;CAMKK2;ITPR1;ADCY5;CAMK2G;PPP2CA
CUSTOM140674733480768	G alpha (q) signalling events	111/218			GRP;TRPC6;GRM1;EDNRA;GNG2;MGLL;DGKQ;PIK3CA;RGS1;ANXA1;GNG10;ABHD6;DGKZ;KRAS;GNG7;GNAQ;APP;GCG;DGKG;DAGLA;EGFR;P2RY2;GNA15;RASGRP2;GPR143;PLCB3;GNG13;CREB1;PRKCQ;GNGT1;F2;GNB1;PRKCA;AGTR1;GNB2;EDNRB;PTAFR;GNG5;LTB4R;DGKI;GNGT2;NTS;TAC3;CHRM3;GNG12;RPS6KA3;RGS18;TRIO;GNB5;ARHGEF25;MMP3;GNG8;BTK;GNA14;PLCB1;PRKCH;AGT;TRH;PLCB4;ITPR3;F2R;PIK3R2;GNG3;CASR;GRM5;SAA1;DGKD;MAPK1;DGKB;GRK2;MAPK3;HTR2A;GPR17;GNA11;GRK5;RGS5;RGS2;GRB2;DAGLB;HRAS;RGS3;PLCB2;DGKE;RPS6KA2;SOS1;MAPK7;RGS17;KNG1;ABHD12;CCK;KALRN;PIK3R1;ITPR2;RGS19;GNG11;UTS2;PRKCE;GNB3;GNG4;NRAS;DGKA;RASGRP1;PRKCD;DGKH;GPR39;CHRM1;RPS6KA1;GNB4;FPR2;LPAR1;ITPR1
CUSTOM140674733480768	G alpha (s) signalling events	81/575			GNG2;REEP3;GNG10;ADCY6;OR4K3;PDE8B;GNG7;GCG;PDE1B;PDE2A;RAMP2;GNG13;PDE4A;GNGT1;ADCY8;GNB1;ADCY9;OR4C16;GNB2;OR13C8;REEP6;ADCY2;PTGDR;GNG5;GNGT2;POMC;ADCY1;GNG12;GNB5;ADCY3;PDE7A;GNG8;PTHLH;VIP;GRK3;PDE7B;GRK6;OR1M1;PDE10A;ADCYAP1;GNG3;PDE3B;GNAL;PTH1R;REEP4;RAMP1;PDE4C;GRK2;VIPR1;GRK5;FSHR;RTP4;ARRB2;PDE11A;GNAI2;PDE8A;ADM;GPR84;ADCY7;RAMP3;PDE1A;GNAI3;PDE4D;PDE3A;GNAI1;REEP2;GNG11;OR52N1;GNB3;ARRB1;REEP5;GNG4;GPR39;SRC;GNAS;REEP1;GNAZ;CRH;GNB4;CALCRL;ADCY5
CUSTOM140674733480768	G alpha (z) signalling events	41/48			GNG5;GNAI1;GNGT2;PRKCG;ADCY1;RGS19;GNG12;GNG2;GNG11;RGS20;PRKCE;GNB5;ADCY3;GNB3;GNG10;GNG4;ADCY6;GNG7;GNG8;PRKCD;PRKCB;GNAI3;PRKCH;GNAI2;GNAS;GNG13;ADRA2A;PRKCQ;GNGT1;GNAZ;ADCY7;ADCY8;GNB4;GNG3;GNB1;RGS17;ADCY9;PRKCA;GNB2;ADCY5;ADCY2
CUSTOM140674733480768	G beta:gamma signalling through BTK	18/18			GNB4;GNB5;GNB3;GNG5;GNG10;GNB1;GNG3;GNG4;GNGT2;GNG12;GNG2;GNB2;GNG11;GNG13;GNG7;BTK;GNG8;GNGT1
CUSTOM140674733480768	G beta:gamma signalling through CDC42	20/20			GNG5;GNGT2;GNG12;GNG2;GNG11;GNB5;GNB3;GNG10;GNG4;GNG7;GNG8;CDC42;GNG13;ARHGEF6;GNGT1;PAK1;GNB4;GNG3;GNB1;GNB2
CUSTOM140674733480768	G beta:gamma signalling through PI3Kgamma	25/25			GNG5;GNGT2;GNG12;GNG2;GNG11;PDPK1;GNB5;GNB3;GNG10;GNG4;AKT3;GNG7;GNG8;PIK3R5;AKT2;GNG13;PIK3CG;GNGT1;RHOA;GNB4;GNG3;GNB1;AKT1;GNB2;PIK3R6
CUSTOM140674733480768	G beta:gamma signalling through PLC beta	20/20			GNG5;GNGT2;GNG12;GNG2;GNG11;GNB5;GNB3;GNG10;GNG4;GNG7;GNG8;PLCB1;PLCB3;PLCB2;GNG13;GNGT1;GNB4;GNG3;GNB1;GNB2
CUSTOM140674733480768	G protein gated Potassium channels	26/29			GNG5;GABBR2;GNGT2;KCNJ4;GNG12;GNG2;GNG11;GNB5;GNB3;KCNJ10;GNG10;GNG4;KCNJ15;GNG7;GNG8;KCNJ16;KCNJ6;GABBR1;GNG13;GNGT1;GNB4;GNG3;GNB1;KCNJ3;GNB2;KCNJ9
CUSTOM140674733480768	G-protein activation	24/28			GNG5;GNAI1;POMC;GNGT2;GNG12;GNG2;GNG11;GNAT1;GNB5;GNB3;GNG10;GNG4;GNG7;GNG8;GNAI2;GNG13;GNAO1;GNGT1;GNAZ;GNB4;GNG3;GNB1;GNB2;GNAI3
CUSTOM140674733480768	G-protein beta:gamma signalling	32/32			GNG5;GNGT2;GNG12;GNG2;GNG11;PDPK1;GNB5;GNB3;GNG10;GNG4;AKT3;GNG7;GNG8;BTK;PLCB1;PIK3R5;AKT2;CDC42;PLCB2;GNG13;PLCB3;ARHGEF6;PIK3CG;GNGT1;RHOA;PAK1;GNB4;GNG3;GNB1;AKT1;GNB2;PIK3R6
CUSTOM140674733480768	G-protein mediated events	51/54			AHCYL1;PRKAR1A;GNAI1;ITPR2;PRKCG;ADCY1;KPNA2;PRKACA;PRKAR1B;GNAT1;MAPK1;PRKAR2A;ADCY3;CALM1;CAMKK1;ADCY6;PLA2G4A;CAMK4;ADCY2;GRK2;PRKCD;PDE1B;PLCB1;PRKX;PRKACB;GNAI2;NBEA;CAMK2A;PLCB3;CAMK2B;PLCB2;PLCB4;ITPR3;CREB1;GNAO1;PRKACG;GNAZ;ADCY7;PDE1C;ADCY8;CAMK2D;ADCY9;PRKAR2B;PRKCA;GNAL;CAMKK2;ITPR1;ADCY5;CAMK2G;PDE1A;GNAI3
CUSTOM140674733480768	G0 and Early G1	22/27			MYC;CCNE1;LIN9;MAX;DYRK1A;E2F5;CDK1;E2F4;RBBP4;CCNA2;RBL1;PCNA;TFDP2;CDK2;LIN52;TFDP1;LIN37;MYBL2;LIN54;TOP2A;RBL2;HDAC1
CUSTOM140674733480768	G1 Phase	43/47			RB1;CDKN2C;CCNE1;CDKN1C;RPS27A;CCND3;CDK7;CUL1;E2F5;PPP2R3B;PTK6;PPP2R1B;CDK4;E2F4;CDKN1A;CDKN1B;CKS1B;CCND2;SRC;CDK6;RBL1;MNAT1;TFDP2;CDKN2A;SKP1;CDK2;PPP2R1A;CDKN2B;TFDP1;UBB;CDKN2D;PPP2CB;PPP2R2A;CCND1;JAK2;UBA52;CCNH;ABL1;SKP2;RBL2;E2F3;LYN;PPP2CA
CUSTOM140674733480768	G1/S DNA Damage Checkpoints	61/68			PSMB2;PSMB9;CCNE1;PSMD12;PSMD8;PHF20;PSMD11;PSMC1;RPS27A;PSMA4;PSMA5;PSMA7;PSMD10;PSMB4;PSMA1;PSMD6;PSMB3;PSMB10;PSMA6;CDKN1A;CDKN1B;PSMC6;CCNA2;TP53;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;CDKN2A;CHEK1;PSMD1;PSMD14;CHEK2;CDK2;ATM;PSMD3;MDM4;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PCBP4;PSMB5;PSMF1;PSMB7;PSME3;ZNF385A;PSMD13
CUSTOM140674733480768	G1/S Transition	119/131			RB1;PSMB9;PSMD11;PSMA5;PSMB4;RPA2;PTK6;CDK1;PSMB10;CDK4;CDKN1A;PSMC6;ORC4;CCNA2;ORC2;TYMS;LIN52;UBA52;PSME1;PSMA3;POLE4;PSMB6;RRM2;PSMB5;ORC3;HDAC1;MYC;PSMB2;CCNE1;CABLES1;PSMD12;ORC1;ORC6;E2F5;PSMD10;PSMB3;CDKN1B;POLA2;POLE;AKT3;E2F6;PSMC3;PSME2;PCNA;MNAT1;PSMA2;TFDP2;PSMD14;PSMD3;UBB;PSMD7;PSMB8;CCND1;PSMC5;ORC5;MCM3;CCNH;RPA1;MCM2;RPS27A;MAX;PSMA4;CDK7;CUL1;PSMA7;MCM4;PSMA1;PRIM2;POLA1;PPP2R1B;CDC7;PSMD4;PSMD5;CCNB1;SKP1;PSMD1;AKT2;TFDP1;PSMC2;MCM7;TK1;PRIM1;LIN37;PSMF1;AKT1;MCM5;PSME3;LIN54;POLE2;POLE3;PSMD13;PSMD8;LIN9;WEE1;PSMC1;PPP2R3B;PSMD6;GMNN;E2F4;PSMA6;RBBP4;CKS1B;PSMD9;RBL1;PSMC4;DHFR;CDK2;PPP2R1A;MCM6;CDC45;PPP2CB;PSMB1;RPA3;PSMD2;PSMB7;MCM8;SKP2;RBL2;PPP2CA
CUSTOM140674733480768	G1/S-Specific Transcription	23/29			CCNE1;LIN9;ORC1;E2F5;CDK1;POLA1;E2F4;RBBP4;E2F6;RBL1;PCNA;DHFR;TYMS;TFDP2;LIN52;TFDP1;CDC45;TK1;LIN37;RRM2;LIN54;RBL2;HDAC1
CUSTOM140674733480768	G2 Phase	3/5			E2F3;CCNA2;CDK2
CUSTOM140674733480768	G2/M Checkpoints	126/151			UBE2N;YWHAG;PSMB9;PSMD11;PSMA5;RFC3;PSMB4;CDC25C;RPA2;CDK1;BRCC3;WRN;PSMB10;RAD1;TOPBP1;YWHAB;PSMC6;ORC4;ATRIP;ORC2;HERC2;PSMB11;RFC5;RNF168;CHEK1;PSME1;UBA52;CLSPN;PSMA8;PSMA3;PSMB6;GTSE1;YWHAQ;PSMB5;ORC3;PSMB2;PSMD12;ORC1;MDC1;ORC6;PSMD10;SUMO1;PSMB3;RAD17;YWHAH;TP53;NBN;PSMC3;PSME2;RAD50;PSMA2;DNA2;RNF8;PSMD14;CHEK2;PSMD3;UBB;PSMD7;PSMB8;RBBP8;YWHAE;PSMC5;ORC5;MCM3;RPA1;BRIP1;TP53BP1;NSD2;BARD1;MCM2;RPS27A;H2AFX;PSMA4;CCNB2;BLM;SFN;PSMA7;MCM4;RMI1;PSMA1;BABAM1;CDC7;PSMD4;PSMD5;RFC2;EXO1;CCNB1;PSMD1;PSMC2;MCM7;PSMF1;MCM5;PSME3;MRE11;PSMD13;BRCA1;ATR;PSMD8;WEE1;PSMC1;RMI2;KAT5;UBE2V2;BRE;PSMD6;PKMYT1;PSMA6;TOP3A;RFC4;PSMD9;PSMC4;CDK2;ATM;MCM6;UIMC1;HUS1;PSME4;CDC45;PSMB1;RAD9A;RPA3;PSMD2;PSMB7;MCM8;PIAS4;YWHAZ
CUSTOM140674733480768	G2/M DNA damage checkpoint	59/78			UBE2N;YWHAG;NSD2;BARD1;BRCA1;ATR;WEE1;H2AFX;RFC3;SFN;BLM;RMI2;MDC1;KAT5;SUMO1;RMI1;CDC25C;UBE2V2;RPA2;BRE;CDK1;BRCC3;WRN;RAD1;TOPBP1;BABAM1;YWHAB;RAD17;TOP3A;YWHAH;RFC4;TP53;NBN;ATRIP;RFC2;HERC2;RFC5;RAD50;RNF168;CHEK1;EXO1;DNA2;RNF8;CCNB1;CHEK2;ATM;UIMC1;HUS1;YWHAE;RBBP8;RAD9A;RPA3;RPA1;BRIP1;YWHAQ;MRE11;TP53BP1;PIAS4;YWHAZ
CUSTOM140674733480768	G2/M DNA replication checkpoint	5/5			PKMYT1;CCNB1;WEE1;CCNB2;CDK1
CUSTOM140674733480768	G2/M Transition	173/183			YWHAG;PSMB9;CKAP5;TUBG2;CEP152;CEP57;PSMD11;PSMA5;CEP290;PSMB4;CDC25C;CDK1;OPTN;PSMB10;CDKN1A;TUBGCP4;PSMC6;CCNA2;DYNC1H1;CCP110;CEP70;PPME1;PSMB11;CDK11B;CSNK1D;FKBPL;LIN52;PHLDA1;PSME1;TUBGCP3;TUBB;UBA52;DCTN1;PSMA8;PSMA3;PSMB6;GTSE1;PSMB5;HAUS5;ACTR1A;RAB8A;PSMB2;CEP250;PSMD12;CEP63;FBXL7;MZT2A;CDK11A;NEDD1;PSMD10;CEP131;TPX2;PPP1R12A;PSMB3;CENPJ;HAUS3;TUBB4B;TP53;HAUS1;PSMC3;PSME2;TUBB4A;AKAP9;PPP1R12B;MNAT1;PSMA2;PSMD14;PSMD3;UBB;MZT2B;PSMD7;PSMB8;YWHAE;PCM1;SFI1;FOXM1;HAUS7;PSMC5;CCNH;PLK1;HAUS6;SDCCAG8;SSNA1;TUBGCP5;AURKA;OFD1;RPS27A;RBX1;PSMA4;CCNB2;ALMS1;TUBGCP2;PSMA7;CDK7;CEP78;CUL1;HMMR;PRKACA;CENPF;TUBA1A;PSMA1;HSP90AB1;CEP192;PPP2R1B;HAUS4;DCTN2;NDE1;EP300;PSMD4;PSMD5;AJUBA;NME7;BTRC;CCNB1;SKP1;PSMD1;CNTRL;PSMC2;HSP90AA1;LCMT1;LIN37;PSMF1;DYNC1I2;PSME3;LIN54;DCTN3;MAPRE1;TUBGCP6;PSMD13;CLASP1;DYNLL1;PSMD8;LIN9;HAUS8;PCNT;PSMC1;WEE1;PPP1CB;PPP2R3B;CEP41;MZT1;PSMD6;CEP76;PKMYT1;TUBA4A;FGFR1OP;FBXW11;PSMA6;RBBP4;TUBG1;NINL;PSMD9;XPO1;PSMC4;CDK5RAP2;CDK2;PPP2R1A;PAFAH1B1;ODF2;PSME4;CEP164;PSMB1;PPP2CB;PPP2R2A;HAUS2;CETN2;MYBL2;PSMD2;PSMB7;PRKAR2B;FBXL18;CEP135;PPP2CA
CUSTOM140674733480768	GAB1 signalosome	14/17			CSK;EGF;PIK3CA;EGFR;GRB2;PIK3R1;GAB1;PTPN11;TGFA;AREG;PXN;BTC;PAG1;SRC
CUSTOM140674733480768	GABA B receptor activation	38/43			GNG5;GABBR2;GNAI1;GNGT2;ADCY1;KCNJ4;GNG12;GNG2;GNG11;GNB5;ADCY3;GNB3;KCNJ10;GNG10;GNG4;ADCY6;KCNJ15;GNG7;GNG8;KCNJ16;KCNJ6;GNAI3;ADCY5;GNAI2;GABBR1;GNG13;GNGT1;ADCY7;ADCY8;GNB4;GNG3;GNB1;KCNJ3;ADCY9;GNAL;GNB2;KCNJ9;ADCY2
CUSTOM140674733480768	GABA receptor activation	49/60			GNG5;GABBR2;GNAI1;GNGT2;ADCY1;KCNJ4;GNG12;GNG2;GNG11;GABRG2;GNB5;ARHGEF9;ADCY3;GNB3;KCNJ10;GABRA5;GNG10;GNG4;ADCY6;ADCY2;KCNJ15;GNG7;GNG8;KCNJ16;KCNJ6;GABRA2;GABRA1;GABRB3;ADCY5;GNAI2;GABBR1;GNG13;GNGT1;ADCY7;ADCY8;GNB4;GNG3;GNB1;KCNJ3;GABRA3;GABRA4;ADCY9;GABRB2;KCNJ9;GNAL;GNB2;NPTN;GABRB1;GNAI3
CUSTOM140674733480768	GABA synthesis	2/2			GAD2;GAD1
CUSTOM140674733480768	GABA synthesis, release, reuptake and degradation	19/19			STX1A;SLC6A11;STXBP1;ALDH5A1;CPLX1;SNAP25;ABAT;RIMS1;HSPA8;SLC32A1;SYT1;GAD2;GAD1;VAMP2;SLC6A12;RAB3A;SLC6A1;DNAJC5;SLC6A13
CUSTOM140674733480768	GDP-fucose biosynthesis	5/6			TSTA3;FUOM;GMDS;SLC35C1;FPGT
CUSTOM140674733480768	GLI proteins bind promoters of Hh responsive genes to promote transcription	5/7			GLI2;GLI3;HHIP;PTCH1;GLI1
CUSTOM140674733480768	GLI3 is processed to GLI3R by the proteasome	58/60			PSMB2;PSMB9;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;RBX1;PSMA4;PSMA5;PSMA7;CUL1;PRKACA;PSMD10;PSMB4;PSMA1;PSMD6;PSMB3;PSMB10;PSMA6;SUFU;PSMC6;GSK3B;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;PSMB11;BTRC;PSMA2;PRKACB;SKP1;PSMD1;PSMD14;PSMD3;GLI3;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PRKACG;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;PSMB7;PSME3;CSNK1A1;PSMD13
CUSTOM140674733480768	GP1b-IX-V activation signalling	10/10			VWF;RAF1;GP1BB;PIK3R1;GP1BA;GP9;GP5;SRC;YWHAZ;FLNA
CUSTOM140674733480768	GPCR downstream signalling	389/1149			GRP;RDH16;PRKCG;GNAT1;DGKQ;RGS1;GNG10;RGS7;ABHD6;ADCY6;LRP8;SDC3;PDE2A;PIK3R5;RASGRP2;PRKCQ;RDH12;NMT1;DGKI;GNGT2;ARHGEF10;GNG12;HCAR2;P2RY12;ACKR3;CXCL16;HSD17B6;MMP3;ABR;BTK;PLCB1;FGD1;ITPR3;ADRA2A;ADCYAP1;PIK3R2;CASR;PDE3B;CCL28;REEP4;GPR37L1;ARHGEF1;AKR1C3;DGKD;RGS22;ARHGEF37;RDH10;PPP2R1B;RASGRF2;ROCK2;FSHR;ARHGEF35;CNR1;RGS2;ARHGEF3;RTP4;RGS3;GPC6;APOC2;HSPG2;GNAO1;PIK3CG;PDE1C;SOS1;PTGER3;MAPK7;AKT1;C5AR1;CXCL5;GPC4;PDE1A;GNAI3;KALRN;GNAI1;RGS20;CXCL1;APOA1;OR52N1;GRM7;PPBP;NRAS;DGKH;GPR39;RBP1;PRKX;CHRM1;PF4;FNTB;RBP2;FGD3;GNA13;FPR2;SDC1;PDE8B;CAMK2G;TRPC6;GRM1;TAS1R3;SDC4;CHRM4;GNG2;PRKAR1B;REEP3;ANXA1;APP;GCG;GNAQ;GPC1;DAGLA;EGFR;RAMP2;GNA15;PPP3CB;ARHGEF17;PDE4A;CREB1;ADCY9;ARHGEF12;PRKCA;GPSM2;REEP6;EDNRB;RGS6;GNG5;AHCYL1;SDC2;POMC;NTS;TAC3;CCL21;INSL5;RGS18;ADCY3;AKT3;PLXNB1;GNA14;PRKCB;PRKCH;CDC42;PRKACG;APOC3;C3AR1;PTH1R;AGRN;RAMP1;GABBR2;ROCK1;GPSM1;DHRS9;KPNA2;PPP1R1B;PRKACA;SOS2;LDLR;ARHGEF9;CXCR4;DHRS3;STRA6;GAL;DGKB;RBP3;MAPK3;GNA11;VIPR1;GRK5;APOM;PPP2R5D;GRB2;METAP2;ARHGEF40;DAGLB;CAMK2A;PLCB2;GPR84;GNA12;RDH5;CXCL9;PNLIP;RETSAT;RGS17;CAMKMT;ABHD12;PDE3A;GPC5;CDK5;UTS2;CCR6;CXCL13;ARRB1;REEP5;GPSM3;CCL20;S1PR1;VAV2;ARHGEF26;CXCL8;MYO7A;PYY;CAMK2B;PPP2CB;PSAP;GNAZ;PAK1;PPP3CA;CALCRL;PLEKHG2;PPP1CA;GRM3;RGS12;EDNRA;RHOC;PIK3CA;CAMKK1;FGD4;ARHGEF10L;C5;RBP4;S1PR2;P2RY2;RGS11;GABBR1;PLCB3;F2;NMT2;SSTR2;GPC3;AGTR1;OR4C16;GNB2;OR13C8;ARHGEF2;APOB;TTR;ARHGEF38;ADCY1;RPS6KA3;GNB5;PRKAR2A;ARHGEF25;CAMK4;GNG8;S1PR3;SST;GRK3;PDE7B;GRK6;OR1M1;TRH;PLCB4;RHOA;CAMK2D;GNG3;GRM5;NGEF;AKR1C4;MAPK1;TIAM2;GRK2;GPR17;RLBP1;OBSCN;RGS5;ADORA1;PRKACB;LPL;GNAI2;PDE8A;AKAP13;ADCY7;PENK;ECT2;PIK3R6;CCK;PIK3R1;PREX1;REEP2;GNG11;DGKA;RASGRP1;SRC;ARHGEF19;RDH11;RPS6KA1;PPP2R1A;FNTA;BCO1;ARHGEF11;REEP1;CRH;CXCL10;ITSN1;BCO2;PRKAR2B;NPY;CAMKK2;ITPR1;ADCY5;PPEF1;RGS10;PRKAR1A;MGLL;DGKZ;KRAS;OR4K3;AKR1C1;GNG7;PDE1B;DGKG;CX3CL1;CCL5;GPR143;C3;GNG13;LRP1;GNGT1;ADCY8;GNB1;ADCY2;PTGDR;PTAFR;PPP3R1;LTB4R;CXCL12;CHRM3;TRIO;LRP2;PDE7A;AKR1B10;PPP3CC;PTHLH;VIP;METAP1;AGT;PDE10A;F2R;CYP4V2;APOA2;VAV3;GNAL;FPR1;SAA1;ARHGEF7;CCL16;RGS14;ARHGEF18;HEBP1;MCF2L;PDE4C;PLA2G4A;HTR2A;LRP10;ARHGEF16;APOE;ARRB2;PDE11A;AKT2;HRAS;NBEA;DGKE;ARHGEF5;ADM;CCR1;ARHGEF15;RPS6KA2;RAMP3;FGD2;ARHGEF4;KNG1;VAV1;PDE4D;ITPR2;RGS19;RHOB;PDPK1;PRKCE;GNB3;CALM1;GNG4;TIAM1;PRKCD;APOA4;GNAS;GRM2;ARHGEF6;PLEKHG5;GNB4;LPAR1;NAPEPLD;PPP2CA
CUSTOM140674733480768	GPCR ligand binding	148/466			ECE1;GRM3;GRP;WNT2;GRM1;TAS1R3;CHRM4;EDNRA;GNG2;GNG10;ANXA1;ADGRE5;GNG7;SMO;APP;GCG;C5;S1PR2;P2RY2;CX3CL1;RAMP2;CCL5;GABBR1;GPR143;C3;GNG13;ADGRE2;GNGT1;NLN;F2;FZD3;GNB1;SSTR2;FZD1;AGTR1;GNB2;WNT9A;EDNRB;PTGDR;PTAFR;GNG5;LTB4R;FZD6;CXCL12;GNGT2;POMC;NTS;TAC3;CHRM3;GNG12;CCL21;HCAR2;P2RY12;INSL5;ACKR3;GNB5;CXCL16;KEL;FZD7;GNG8;S1PR3;PTHLH;VIP;SST;ACKR1;TRH;AGT;ADRA2A;F2R;ADCYAP1;PLPPR2;XK;CCL17;GNG3;CASR;C3AR1;PTH1R;GRM5;FPR1;SAA1;CCL28;PLPPR4;WNT9B;SHH;RAMP1;GABBR2;GPR37L1;CMKLR1;CCL16;CCL2;HEBP1;CXCR4;GAL;CRHBP;WNT11;HTR2A;GPR17;VIPR1;FSHR;ADORA1;CNR1;ADM;CCR1;RAMP3;PTGER3;WNT7B;CXCL9;PENK;C5AR1;CXCL5;KNG1;WNT5A;CCK;UTS2;CXCL1;GNG11;ECE2;GRM7;WNT2B;CCR6;PPBP;CXCL13;GNB3;GNG4;WNT4;FZD2;ADGRE3;CCL20;GPR39;S1PR1;PRLH;CD55;CXCL8;CHRM1;PF4;PYY;GNAS;GRM2;PSAP;CRH;GNB4;CXCL10;FPR2;CALCRL;LPAR1;NPY;PTCH1;CCRL2
CUSTOM140674733480768	GPVI-mediated activation cascade	29/33			PIK3R1;PTPN11;RAC2;GP6;RHOB;PLCG2;PDPK1;PIK3CA;RHOG;LCK;VAV2;LCP2;PTPN6;PRKCZ;PIK3R5;CDC42;FYN;PIK3CG;RHOA;PIK3R2;FCER1G;SYK;PDPN;RAC1;VAV3;VAV1;LYN;PIK3CB;PIK3R6
CUSTOM140674733480768	GRB2 events in EGFR signaling	10/13			SOS1;EGF;EGFR;GRB2;KRAS;HRAS;NRAS;TGFA;AREG;BTC
CUSTOM140674733480768	GRB2 events in ERBB2 signaling	11/16			SOS1;EGF;EGFR;GRB2;ERBB4;NRG1;KRAS;HRAS;NRAS;ERBB2;BTC
CUSTOM140674733480768	GRB2:SOS provides linkage to MAPK signaling for Integrins	15/15			SOS1;RAP1B;FN1;VWF;PTK2;FGG;GRB2;ITGA2B;ITGB3;FGB;APBB1IP;TLN1;RAP1A;SRC;FGA
CUSTOM140674733480768	GRB7 events in ERBB2 signaling	4/5			NRG1;GRB7;ERBB2;ERBB3
