Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	APC/C-mediated degradation of cell cycle proteins	83/88			RB1;PSMB9;PSMD11;ANAPC7;PSMA5;PSMB4;CDK1;PSMB10;PSMC6;CCNA2;BUB1B;AURKB;PSMB11;ANAPC2;CDC14A;UBA52;PSME1;PSMA8;PSMA3;PSMB6;UBE2D1;PSMB5;PSMB2;PSMD12;CDC16;PSMD10;PSMB3;MAD2L1;PSMC3;PSME2;PSMA2;PSMD14;ANAPC11;PSMD3;UBB;PSMD7;PSMB8;BUB3;PSMC5;PLK1;ANAPC4;ANAPC15;AURKA;RPS27A;UBE2E1;PSMA4;ANAPC5;PSMA7;CUL1;PSMA1;UBE2C;UBE2S;FZR1;CDC23;ANAPC1;PSMD4;PSMD5;BTRC;CCNB1;SKP1;PSMD1;PSMC2;PSMF1;PSME3;PTTG1;PSMD13;ANAPC10;CDC26;PSMD8;PSMC1;CDC20;PSMD6;PSMA6;ANAPC16;PSMD9;PSMC4;CDK2;PSME4;PSMB1;PSMD2;PSMB7;SKP2;CDC27
CUSTOM140674733480768	APC/C:Cdc20 mediated degradation of Cyclin B	23/24			ANAPC15;ANAPC10;CDC26;CDC16;RPS27A;UBE2E1;ANAPC7;ANAPC5;CDC20;UBE2C;CDK1;UBE2S;ANAPC16;CDC23;ANAPC1;CCNB1;ANAPC11;ANAPC2;UBB;UBA52;UBE2D1;CDC27;ANAPC4
CUSTOM140674733480768	APC/C:Cdc20 mediated degradation of Securin	66/68			PSMB2;PSMB9;ANAPC15;ANAPC10;CDC26;PSMD12;CDC16;PSMD11;PSMD8;PSMC1;RPS27A;ANAPC7;ANAPC5;PSMA4;PSMA5;UBE2E1;PSMA7;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;UBE2C;PSMB3;PSMB10;PSMA6;UBE2S;PSMC6;ANAPC16;PSMC3;CDC23;ANAPC1;PSMD9;PSME2;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;PSMD1;PSMD14;ANAPC11;PSMD3;ANAPC2;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;UBE2D1;PSMB7;PSME3;PTTG1;CDC27;PSMD13;ANAPC4
CUSTOM140674733480768	APC/C:Cdc20 mediated degradation of mitotic proteins	72/76			PSMB2;PSMB9;ANAPC15;ANAPC10;CDC26;PSMD12;CDC16;PSMD11;PSMD8;PSMC1;RPS27A;ANAPC7;ANAPC5;PSMA4;PSMA5;UBE2E1;PSMA7;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;UBE2C;CDK1;PSMB3;PSMB10;PSMA6;UBE2S;PSMC6;CCNA2;ANAPC16;BUB1B;MAD2L1;PSMC3;CDC23;ANAPC1;PSMD9;PSME2;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;CCNB1;PSMD1;PSMD14;ANAPC11;PSMD3;ANAPC2;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;BUB3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;UBE2D1;PSMB7;PSME3;PTTG1;CDC27;PSMD13;ANAPC4
CUSTOM140674733480768	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	72/74			RB1;PSMB2;PSMB9;ANAPC15;ANAPC10;AURKA;CDC26;CDC16;PSMD11;PSMD12;PSMC1;PSMD8;ANAPC7;ANAPC5;PSMA4;PSMA5;RPS27A;PSMA7;UBE2E1;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;UBE2C;PSMB3;PSMB10;PSMA6;UBE2S;PSMC6;ANAPC16;FZR1;AURKB;PSMC3;CDC23;ANAPC1;PSMD9;PSME2;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;PSMD1;PSMD14;ANAPC11;PSMD3;ANAPC2;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;UBE2D1;PSMB7;PSME3;SKP2;PLK1;PTTG1;CDC27;PSMD13;ANAPC4
CUSTOM140674733480768	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	70/74			PSMB2;PSMB9;ANAPC15;ANAPC10;CDC26;PSMD12;CDC16;PSMD11;PSMD8;PSMC1;RPS27A;ANAPC7;ANAPC5;PSMA4;PSMA5;UBE2E1;PSMA7;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;UBE2C;CDK1;PSMB3;PSMB10;PSMA6;UBE2S;PSMC6;CCNA2;ANAPC16;BUB1B;MAD2L1;PSMC3;CDC23;ANAPC1;PSMD9;PSME2;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;PSMD1;PSMD14;ANAPC11;PSMD3;ANAPC2;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;BUB3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;UBE2D1;PSMB7;PSME3;CDC27;PSMD13;ANAPC4
CUSTOM140674733480768	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	5/7			LIG3;NEIL2;XRCC1;PNKP;POLB
CUSTOM140674733480768	APOBEC3G mediated resistance to HIV-1 infection	5/11			BANF1;PPIA;PSIP1;HMGA1;APOBEC3G
CUSTOM140674733480768	ARL13B-mediated ciliary trafficking of INPP5E	3/3			PDE6D;ARL13B;INPP5E
CUSTOM140674733480768	ARMS-mediated activation	5/7			BRAF;YWHAB;CRK;KIDINS220;RAP1A
