Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Epstein-Barr virus infection,0.3394078558821018,1.043647275191915,0.35161290322580646,0.6854455310657267,201,158,HDAC2;ENTPD1;HDAC1;CD44;CASP3;CALR;NEDD4;CDKN1B;CASP8;TRADD;MAPK11;CD58;VIM;JAK1;PSMD1;PSMD12;EIF2AK2;SNW1;PIK3R1;PDIA3;PSMD8;MAPK9;MAPK8;PSMC2;TAPBP;PSMC3;STAT1;IRF7;ADRM1;MAPK14;BCL2;MAPK12;PSMC1;STAT2;DDX58;OAS2;SAP30;PSMD14;TAB1;OAS3;IKBKG;PSMD3;PSMD7;DDB2;BTK;USP7;NFKB1;AKT3;CDK2;NFKBIA;PSMD13;TRAF2;RAC1;MAP3K7;ISG15;HLA-DMB;PIK3CD;HLA-E;AKT2;PSMD6;RELA;BAX;MAPK13;TAP2;NCOR2;CD3E;PIK3CB;HLA-DRA;TAB2;CASP9;HLA-G;SIN3A;FADD;SYK;TRAF5;PLCG2;IRAK4;AKT1;PSMD2;PIK3R2;CDKN1A;MAP2K7;MAP2K4;PSMC6;IRF3;CDK4;CYCS;CDK6;TAP1;HLA-A;LYN;HLA-C;CD247;RBPJ;HLA-DQA1;RELB;MYD88;CCND2;HLA-DRB5;HLA-DPA1;RB1;CHUK;IKBKB;NFKBIE;BCL2L11;TP53;MAP2K3;IRAK1;BID;CCNA2;TBK1;PIK3CA;STAT3;ICAM1;JAK3;TLR2;HLA-DPB1;HLA-DRB1;TRAF3;HLA-B;ENTPD3;JUN;CXCL10;MAP2K6;MAVS;NFKBIB;BLNK;PSMD11;CIR1;HLA-DRB4;HLA-F;B2M;RIPK1;NFKB2;HLA-DMA;PSMC5;TRAF6;TNFAIP3;RUNX3;SKP2;HLA-DRB3;HLA-DQB1;BAK1;CR2;PSMC4;CD19;FAS;ITGAL;POLK;CD40;APAF1;E2F3;TYK2;CCNE1;IRF9;OAS1;PSMD4;IKBKE,HDAC2;ENTPD1;HDAC1;CD44;CASP3;CALR;NEDD4;CDKN1B;CASP8;TRADD;MAPK11;CD58;VIM;JAK1;PSMD1;PSMD12;EIF2AK2;SNW1;PIK3R1;PDIA3;PSMD8;MAPK9;MAPK8;PSMC2;TAPBP;PSMC3;STAT1;IRF7;ADRM1;MAPK14;BCL2;MAPK12;PSMC1;STAT2;DDX58;OAS2;SAP30;PSMD14;TAB1;OAS3;IKBKG;PSMD3;PSMD7;DDB2;BTK;USP7;NFKB1;AKT3;CDK2;NFKBIA;PSMD13;TRAF2;RAC1;MAP3K7;ISG15;HLA-DMB;PIK3CD;HLA-E;AKT2;PSMD6;RELA;BAX;MAPK13;TAP2;NCOR2;CD3E;PIK3CB;HLA-DRA;TAB2
Fatty acid biosynthesis,0.4411670426422107,1.0449519606336255,0.5302491103202847,0.6855856977020535,13,10,ACSL1;ACSL5;ACACB;ACACA;ACSL6;OXSM;FASN;ACSL4;ACSL3;MCAT,ACSL1;ACSL5;ACACB;ACACA;ACSL6;OXSM
Kaposi sarcoma-associated herpesvirus infection,0.33969188911225934,1.039752074919381,0.38387096774193546,0.6860925653829749,186,126,GNG11;GNG12;GNB3;C3;ITPR1;IL6ST;CASP3;GNG7;CASP8;TRADD;MAPK11;JAK1;FGF2;GNG2;GNB1;EIF2AK2;PIK3R1;MAPK3;NFATC4;GNB2;MAPK9;SRC;BECN1;MAPK8;STAT1;IRF7;MAPK14;GNB4;MAPK12;PPP3CB;STAT2;NFATC1;GNG5;VEGFA;IKBKG;PPP3CC;MAPK1;MTOR;NFKB1;AKT3;NFATC2;NFKBIA;EP300;TRAF2;RAC1;PLCG1;PIK3CD;PTGS2;HLA-E;NRAS;AKT2;RELA;BAX;MAPK13;GNG4;CALML5;RAF1;PIK3CB;PREX1;CASP9;HLA-G;MAP2K1;FADD;SYK;MAP2K2;PLCG2;HCK;AKT1;CREBBP;GSK3B;PIK3R2;CDKN1A;CALML3;MAP2K7;MAP2K4;NFATC3;CTNNB1;IFNGR1;PIK3CG;CALM2;JAK2;IRF3;CDK4;CYCS;PPP3CA;CDK6;HLA-A;LYN;HLA-C;ITPR3;RB1;CHUK;IKBKB;TP53;PIK3C3;GABARAPL2;BID;TBK1;PIK3CA;STAT3;ITPR2;ICAM1;UBB;TRAF3;HLA-B;GNB5;JUN;MAPKAPK2;MAP2K6;ATG3;KRAS;CREB1;GABARAP;HLA-F;TLR3;HRAS;ANGPT2;TNFRSF1A;BAK1;GNG10;FAS;E2F3;TYK2;IRF9;IKBKE;PPP3R1,GNG11;GNG12;GNB3;C3;ITPR1;IL6ST;CASP3;GNG7;CASP8;TRADD;MAPK11;JAK1;FGF2;GNG2;GNB1;EIF2AK2;PIK3R1;MAPK3;NFATC4;GNB2;MAPK9;SRC;BECN1;MAPK8;STAT1;IRF7;MAPK14;GNB4;MAPK12;PPP3CB;STAT2;NFATC1;GNG5;VEGFA;IKBKG;PPP3CC;MAPK1;MTOR;NFKB1;AKT3;NFATC2;NFKBIA;EP300;TRAF2;RAC1;PLCG1;PIK3CD;PTGS2;HLA-E;NRAS;AKT2;RELA;BAX;MAPK13
Insulin signaling pathway,0.3436481359258238,1.037072662930707,0.4161290322580645,0.6904353730125784,137,109,SORBS1;RPS6;PPP1CA;PRKCZ;RHEB;TSC1;PPP1CC;PRKCI;PYGM;PRKAG2;PIK3R1;MAPK3;PRKAR2B;PKLR;EIF4E2;MAPK9;PYGB;IRS1;MAPK8;SHC1;TRIP10;TSC2;PYGL;ACACB;SLC2A4;PRKACB;MAPK1;INPP5K;MTOR;RPTOR;AKT3;PHKA2;BAD;LIPE;PRKAB1;HK3;ACACA;PPP1CB;PIK3CD;NRAS;AKT2;PRKACA;FLOT2;INSR;CALML5;RAF1;PIK3CB;RAPGEF1;RPS6KB1;PHKG1;PHKA1;PRKAR2A;PDPK1;GRB2;MAP2K1;MAP2K2;EXOC7;PPP1R3D;FLOT1;PHKB;INPPL1;GYS1;PRKAA1;ELK1;AKT1;GSK3B;PIK3R2;CALML3;FASN;RPS6KB2;PPP1R3A;ARAF;RHOQ;CALM2;SOS1;EIF4E;FOXO1;PHKG2;PRKAR1A;MKNK1;BRAF;PRKAA2;HK2;EIF4EBP1;PTPRF;IKBKB;CRK;PTPN1;PIK3CA;PRKAG1;PRKAR1B;KRAS;HKDC1;PRKAB2;HK1;IRS2;HRAS;PRKACG;CRKL;SREBF1;G6PC3;FBP2;SH2B2;PCK1;CBL;SOS2;CBLB;FBP1;PCK2,SORBS1;RPS6;PPP1CA;PRKCZ;RHEB;TSC1;PPP1CC;PRKCI;PYGM;PRKAG2;PIK3R1;MAPK3;PRKAR2B;PKLR;EIF4E2;MAPK9;PYGB;IRS1;MAPK8;SHC1;TRIP10;TSC2;PYGL;ACACB;SLC2A4;PRKACB;MAPK1;INPP5K;MTOR;RPTOR;AKT3;PHKA2;BAD;LIPE;PRKAB1;HK3;ACACA;PPP1CB;PIK3CD;NRAS;AKT2;PRKACA;FLOT2;INSR;CALML5;RAF1;PIK3CB;RAPGEF1;RPS6KB1;PHKG1;PHKA1;PRKAR2A;PDPK1;GRB2;MAP2K1;MAP2K2;EXOC7;PPP1R3D;FLOT1;PHKB;INPPL1;GYS1;PRKAA1;ELK1;AKT1;GSK3B;PIK3R2;CALML3;FASN;RPS6KB2;PPP1R3A;ARAF
Glucagon signaling pathway,0.35266060175118086,1.0326570359844103,0.43870967741935485,0.6999166767905645,103,73,PRMT1;GNAQ;ITPR1;PKM;PLCB3;PYGM;GNAS;PRKAG2;CAMK2G;CAMK2D;PPP4R3A;PYGB;LDHAL6B;CAMK2B;CAMK2A;PPP4R3B;PLCB4;PPP3CB;PYGL;ACACB;LDHC;PPP3CC;PRKACB;AKT3;PHKA2;EP300;PLCB1;PRKAB1;ACACA;LDHA;AKT2;PRKACA;CALML5;SIK2;LDHB;PHKG1;PHKA1;PFKFB1;ATF2;PHKB;GYS1;PRKAA1;AKT1;CREBBP;CPT1A;CALML3;PGAM2;PDHB;PLCB2;CALM2;FOXO1;PHKG2;PPP3CA;SIRT1;PRKAA2;SLC2A1;ITPR3;ITPR2;PFKL;PRKAG1;PGAM1;CREB1;PRKAB2;CPT1B;PRKACG;PDHA1;G6PC3;PCK1;CRTC2;FBP1;PCK2;PPP4C;PPP3R1,PRMT1;GNAQ;ITPR1;PKM;PLCB3;PYGM;GNAS;PRKAG2;CAMK2G;CAMK2D;PPP4R3A;PYGB;LDHAL6B;CAMK2B;CAMK2A;PPP4R3B;PLCB4;PPP3CB;PYGL;ACACB;LDHC;PPP3CC;PRKACB;AKT3;PHKA2;EP300;PLCB1;PRKAB1;ACACA;LDHA;AKT2;PRKACA;CALML5;SIK2;LDHB;PHKG1;PHKA1;PFKFB1;ATF2;PHKB;GYS1;PRKAA1;AKT1;CREBBP;CPT1A;CALML3;PGAM2
Primary bile acid biosynthesis,0.4163648710819361,1.027806697585899,0.5863309352517986,0.702213145329332,17,8,SCP2;CYP7B1;CYP27A1;ACOT8;ACOX2;HSD3B7;HSD17B4;AMACR,SCP2;CYP7B1;CYP27A1;ACOT8;ACOX2
HIF-1 signaling pathway,0.3473653658518729,1.0304375600122953,0.41935483870967744,0.7024934272298331,100,77,EGFR;RPS6;TF;ELOB;NOS3;CDKN1B;TFRC;PGK1;CAMK2G;PIK3R1;MAPK3;EIF4E2;CAMK2D;CAMK2B;CAMK2A;BCL2;ARNT;PRKCB;VEGFA;EGLN1;MAPK1;MTOR;NFKB1;RBX1;AKT3;EP300;ENO1;HK3;PLCG1;PIK3CD;LDHA;AKT2;RELA;INSR;PIK3CB;RPS6KB1;GAPDH;PFKFB3;MAP2K1;MAP2K2;PLCG2;PRKCA;FLT1;AKT1;CREBBP;PIK3R2;CDKN1A;RPS6KB2;SERPINE1;PDHB;IFNGR1;TIMP1;EIF4E;HMOX1;VHL;MKNK1;CYBB;HK2;SLC2A1;EIF4EBP1;PIK3CA;STAT3;ENO2;PFKL;ELOC;HKDC1;HK1;ALDOA;LTBR;PDHA1;PDK1;IGF1;ENO3;ANGPT2;CUL2;IGF1R;ERBB2,EGFR;RPS6;TF;ELOB;NOS3;CDKN1B;TFRC;PGK1;CAMK2G;PIK3R1;MAPK3;EIF4E2;CAMK2D;CAMK2B;CAMK2A;BCL2;ARNT;PRKCB;VEGFA;EGLN1;MAPK1;MTOR;NFKB1;RBX1;AKT3;EP300;ENO1;HK3;PLCG1;PIK3CD;LDHA;AKT2;RELA;INSR;PIK3CB;RPS6KB1;GAPDH;PFKFB3;MAP2K1;MAP2K2;PLCG2;PRKCA;FLT1;AKT1;CREBBP;PIK3R2;CDKN1A;RPS6KB2;SERPINE1;PDHB;IFNGR1;TIMP1;EIF4E;HMOX1;VHL
N-Glycan biosynthesis,0.3660263757596639,1.0287857007889298,0.4064516129032258,0.7033885862333714,50,42,RPN1;DDOST;STT3A;STT3B;DAD1;ALG9;GANAB;MOGS;DPM1;FUT8;TUSC3;MAN1C1;B4GALT1;ALG8;ALG3;ALG1;ALG11;MAN1B1;RPN2;SRD5A3;ALG14;MAN1A2;B4GALT3;MGAT4A;DOLK;MGAT5;ALG13;DPM3;MGAT1;MAN1A1;ALG12;ALG5;MAN2A1;DPAGT1;ALG10;MAN2A2;MGAT4B;ST6GAL1;DOLPP1;ALG2;ALG6;MGAT2,RPN1;DDOST;STT3A;STT3B;DAD1;ALG9;GANAB;MOGS;DPM1;FUT8;TUSC3;MAN1C1;B4GALT1;ALG8;ALG3
Fc epsilon RI signaling pathway,0.3506720464987775,1.0168507751462075,0.44983818770226536,0.7069842794259568,68,51,MAPK11;PIK3R1;MAPK3;RAC3;MAPK9;MAPK8;MAPK14;MAPK12;FYN;MAPK1;BTK;FCER1G;AKT3;RAC1;PLCG1;PIK3CD;NRAS;AKT2;MAPK13;RAC2;RAF1;PIK3CB;PDPK1;GRB2;MAP2K1;JMJD7-PLA2G4B;PLA2G4A;SYK;MAP2K2;PLCG2;PRKCA;AKT1;PIK3R2;MAP2K7;MAP2K4;SOS1;VAV3;INPP5D;LYN;MAP2K3;PIK3CA;VAV2;MAP2K6;KRAS;ALOX5;HRAS;ALOX5AP;SOS2;VAV1;LCP2;GAB2,MAPK11;PIK3R1;MAPK3;RAC3;MAPK9;MAPK8;MAPK14;MAPK12;FYN;MAPK1;BTK;FCER1G;AKT3;RAC1;PLCG1;PIK3CD;NRAS;AKT2;MAPK13;RAC2;RAF1;PIK3CB;PDPK1;GRB2;MAP2K1;JMJD7-PLA2G4B;PLA2G4A;SYK;MAP2K2;PLCG2;PRKCA;AKT1;PIK3R2;MAP2K7;MAP2K4
SNARE interactions in vesicular transport,0.3653312437982921,1.0180896103345989,0.45483870967741935,0.7072719512402953,34,30,VAMP5;VAMP3;VAMP2;SEC22B;STX11;STX2;BET1L;STX8;STX7;VTI1B;GOSR1;VAMP4;BET1;YKT6;VTI1A;STX5;SNAP29;VAMP8;BNIP1;STX4;SNAP23;STX17;GOSR2;STX10;VAMP7;STX3;STX6;STX18;STX16;USE1,VAMP5;VAMP3;VAMP2;SEC22B;STX11;STX2;BET1L;STX8;STX7;VTI1B;GOSR1;VAMP4;BET1;YKT6;VTI1A;STX5;SNAP29
