Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SLC-mediated transmembrane transport,-0.0026720567420336887,-25.78531135574332,0.0,0.07054720558628891,251,102,ATP1B1;TRMT10A;SUGT1;RHOQ;EXOC6;DBI;HERC2;H2AFX;UPK1B;MTHFS;MRPL11;GDPD1;DHRS7;CCDC12;RALYL;GRIPAP1;TUBB6;TANK;RBPJ;PTPRF;C2orf76;EIF2AK4;DNTTIP2;FYN;IQSEC2;TRIP4;SLC25A23;C1orf35;RMND5B;AKR7A3;SURF2;RAI2;RBM34;GPATCH1;MGST3;PBXIP1;SPOUT1;MRPL24;THAP11;ESCO2;FLYWCH2;CDR2L;PIH1D1;KDSR;DESI2;ING4;RPL31;NCAPH;MTERF3;ASAP3;NR3C2;PANK1;PVR;RFXANK;EPS8L1;CD14;PISD;ATE1;ZNF791;MSLN;FEN1;ZNF235;ERI1;ACP2;AHNAK;ALG11;ANG;ARMC6;ARMC9;CDH13;COL6A6;COX20;CRYZ;DUSP12;FAM118B;FGFR1;GOLPH3L;IDH1;LGALS1;LIPE;MECR;MLH1;NOL8;NRP2;OXA1L;PA2G4;PASK;PIGW;PLPBP;POLR2F;PTGES;PXN;S100A12;SLC38A10;SUFU;SYNPO;TPT1;TTC17;UBE2G1;VRK3;WNT7A;ZFYVE26,HERC2;H2AFX;UPK1B;MTHFS;MRPL11;GDPD1;DHRS7;CCDC12;RALYL;GRIPAP1;TUBB6;TANK;RBPJ;PTPRF;C2orf76;EIF2AK4;DNTTIP2;FYN;IQSEC2;TRIP4;SLC25A23;C1orf35;RMND5B;AKR7A3;SURF2;RAI2;RBM34;GPATCH1;MGST3;PBXIP1;SPOUT1;MRPL24;THAP11;ESCO2;FLYWCH2;CDR2L;PIH1D1;KDSR;DESI2;ING4;RPL31;NCAPH;MTERF3;ASAP3;NR3C2;PANK1;PVR;RFXANK;EPS8L1;CD14;PISD;ATE1;ZNF791;MSLN;FEN1;ZNF235;ERI1;ACP2;AHNAK;ALG11;ANG;ARMC6;ARMC9;CDH13;COL6A6;COX20;CRYZ;DUSP12;FAM118B;FGFR1;GOLPH3L;IDH1;LGALS1;LIPE;MECR;MLH1;NOL8;NRP2;OXA1L;PA2G4;PASK;PIGW;PLPBP;POLR2F;PTGES;PXN;S100A12;SLC38A10;SUFU;SYNPO;TPT1;TTC17;UBE2G1;VRK3;WNT7A;ZFYVE26
TNFR1-mediated ceramide production,-0.00013855390333504953,-12.851635155915965,0.328042328042328,0.23060117826018187,6,4,KALRN;AFAP1;ARHGAP5;MFSD1,KALRN;AFAP1;ARHGAP5;MFSD1
Initial triggering of complement,0.0009292571688404388,9.581979025416183,0.0,0.2377596926654198,103,20,KMT2E;PIK3CB;CTSH;MAP2;COL4A3BP;FTL;CAPZB;NDUFS7;GMPPA;EPHB1;HOXC4;POLE3;CARHSP1;NDUFB10;ANKHD1-EIF4EBP3;ARHGEF6;RBSN;STON1-GTF2A1L;SUSD2;UTP20,KMT2E;PIK3CB;CTSH;MAP2;COL4A3BP;FTL;CAPZB;NDUFS7;GMPPA;EPHB1;HOXC4;POLE3;CARHSP1;NDUFB10;ANKHD1-EIF4EBP3
Phospholipase C-mediated cascade; FGFR2,-0.000164890604484274,-8.041619621353444,0.9134615384615384,0.45091422237236334,18,6,HIRIP3;OSBPL8;RAB11FIP2;ABI3;CASP9;RYR1,HIRIP3;OSBPL8;RAB11FIP2;ABI3;CASP9;RYR1
Phospholipase C-mediated cascade; FGFR4,-0.0001373951944136497,-8.208906900791186,0.9463414634146341,0.5114672405005946,15,5,HIRIP3;OSBPL8;ABI3;CASP9;RYR1,HIRIP3;OSBPL8;ABI3;CASP9;RYR1
Defective MGAT2 causes MGAT2-CDG (CDG-2a),-6.84388800913299e-05,-8.808254331876412,0.9521276595744681,0.5212777112774379,1,1,FNIP1,FNIP1
ABC-family proteins mediated transport,0.0008546994545203309,3.6008172552970072,0.7992125984251969,0.526919681068112,103,82,NIPSNAP3B;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;TM9SF1;LMF2;PLIN3;ZNF460;CENPC;TRIM14;CSNK1D;KMO;STAT3;DVL2;GON4L;RALA;CPNE3;TMEM189;NDUFA9;JPT2;ACBD7;GINS2;KDM4A;USP15;ZNF782;TANGO2;TXNDC12;HCFC1;ZNF280C;TIA1;CRTC1;NDUFA3;ABHD4;ABRAXAS1;ADAMTSL4;ALDH3A1;AMOTL1;AP1M2;BRI3;C2CD3;C4B;CAMK4;CCDC28A;CLCA4;CYLD;DCAF10;DNAH7;DNAJC7;DPP3;ECM2;FAM107A;HDLBP;IGFBP4;ITPRIPL2;LDLR;MAOB;NFIA;NPY;ODF2;PARVG;POLR2I;PPP4R3B;REN;SEL1L3;SEPT9;SLC25A40;SNX12;SSR2;SUB1;TNRC6A;TRDN;ZFP64;ZNF33A,NIPSNAP3B;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;TM9SF1;LMF2;PLIN3;ZNF460;CENPC;TRIM14;CSNK1D;KMO;STAT3;DVL2;GON4L;RALA;CPNE3;TMEM189;NDUFA9;JPT2
Regulation of TNFR1 signaling,0.0006043317203799712,3.5860249040738523,0.11581569115815692,0.5287309232813607,36,27,AGPS;AUP1;GGA3;FTO;IGFBP2;ESRRA;AFAP1;TMEM245;NUF2;FAM50B;ZNF197;ARHGAP5;CLDN7;ALAS1;AQP5;ARHGAP32;CCDC47;CYLD;DCAF10;DCAF5;DNAJC7;DUSP3;GANAB;HLA-DRB1;HMGN4;JSRP1;SGCD,AGPS;AUP1;GGA3;FTO;IGFBP2;ESRRA;AFAP1;TMEM245;NUF2;FAM50B;ZNF197;ARHGAP5;CLDN7;ALAS1;AQP5;ARHGAP32;CCDC47;CYLD;DCAF10;DCAF5;DNAJC7;DUSP3;GANAB;HLA-DRB1;HMGN4;JSRP1
MECP2 regulates neuronal receptors and channels,0.00033339550117384564,3.589680173698914,0.1747448979591837,0.5302439552426125,18,11,NANP;HARS2;PAPD5;PARL;KIAA1147;PMF1-BGLAP;AKT2;TOX4;HLA-E;ITGB3;UBE2G1,NANP;HARS2;PAPD5;PARL
Interferon Signaling,0.001907507535190403,3.6009861194788053,0.06568516421291053,0.5306061983703305,205,156,PAFAH1B2;RAB6A;SARS;KRT2;KLK11;DSC2;ANKS3;ATP6AP1;TSC22D4;BIRC6;DCBLD2;PIK3AP1;PDK1;CSNK2A2;OARD1;ORMDL2;DHX37;IGSF3;VPS72;CCDC77;FKBPL;BLNK;CTSV;BROX;FKBP7;PHAX;TMOD3;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;UFL1;BRPF1;RAB11B;NEO1;SNX1;FMNL2;TP53;ETFB;PIAS4;DNM1;HIST1H1E;ZNF511;ACOT9;TMEM39A;ANKRD11;PRKCH;PLXNA4;SH3YL1;METTL9;ZNF420;CELSR1;STAU1;ACTL6A;EIF4B;CDK4;DLD;ARPC1A;KCTD1;DMXL1;HEATR5A;ABR;DCAF8;ECT2;KLK8;NUDT5;ZNF48;S1PR2;PAF1;PORCN;LMO4;CD55;SCO2;SYNRG;RBM15B;ABCB6;SPART;TOX4;RNASET2;PPP6R2;FKBP10;ADAMTS16;ADD3;AK3;ALG3;ATP5J;ATXN10;BLVRB;BMPR2;BPGM;CABLES1;CALCRL;CDC42EP1;CDKN1C;CFP;CREB1;CYLD;DCAF10;DFFB;DNAJC7;EVI2B;FAF2;FCF1;FIGNL1;GFM2;IMP4;LCP1;LYRM4;MSL2;NAGLU;NFIA;NFKBIA;NOP14;NUBP1;OSBPL2;PF4;PRMT1;PRPF4;PRTFDC1;PTPN7;RAB11FIP3;RBFOX2;RPS6KB1;RUNDC1;RYR1;SDC1;SEC62;SELENOM;SELENOO;SERPINB3;SERPINE2;SHISA4;SLC44A4;SLCO3A1;SMCR8;SPECC1L;SRP72;SRSF6;SSH1;STAT1;STMN1;STRN3;SYMPK;TLR8;TMEM62;TNFAIP8L2;TUFT1;WDR45;WRNIP1,PAFAH1B2;RAB6A;SARS;KRT2;KLK11;DSC2;ANKS3;ATP6AP1;TSC22D4;BIRC6;DCBLD2;PIK3AP1;PDK1;CSNK2A2;OARD1;ORMDL2;DHX37;IGSF3;VPS72;CCDC77;FKBPL;BLNK;CTSV;BROX;FKBP7;PHAX;TMOD3;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;UFL1;BRPF1;RAB11B
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,0.000582425641361792,3.66406837081146,0.005150214592274678,0.5332673733125408,9,8,HMX3;FBXW11;C17orf80;KRT4;MTFR1;HIST1H1D;CLN3;FGFR1OP,HMX3;FBXW11;C17orf80;KRT4;MTFR1;HIST1H1D;CLN3;FGFR1OP
NCAM1 interactions,0.0006630720961272995,3.6018758271857254,0.035317860746720484,0.5338251717085966,37,18,BROX;RHOA;PIGT;CD5;GAR1;RTN3;BCL7A;C9orf64;FAM117B;C19orf53;ACPP;MAVS;TOX;PEX3;GIMAP1;KLHL41;RAB3IL1;STC2,BROX;RHOA;PIGT;CD5;GAR1;RTN3;BCL7A;C9orf64;FAM117B;C19orf53;ACPP;MAVS
RHO GTPases activate PKNs,0.0006032000584054342,3.656106066149291,0.47571189279731996,0.534558102570076,63,32,TMOD4;RAB4B;AKAP13;NFKBIL1;TNNI2;CDC16;GPR180;CALM2;INSRR;POFUT2;MPP7;MRC2;SELENOK;PIN4;GPC1;CFL1;CHORDC1;MCRIP1;PDE4DIP;POM121C;DNAJC14;AIMP2;COG7;COLEC12;FREM2;IFI30;LYPLAL1;MOCS2;PSMG2;PTPN3;RABL3;RNF166,TMOD4;RAB4B;AKAP13;NFKBIL1;TNNI2;CDC16;GPR180;CALM2;INSRR;POFUT2
Triglyceride catabolism,0.0007266774016647371,3.6175609406723974,0.007929515418502203,0.5351562438390035,24,19,TMEM41A;PSMD3;PTPN1;DHRSX;HEG1;AKAP13;SELENON;KRT35;C20orf24;HIST1H1C;ATPAF2;SELENOS;TYMP;COBL;EVA1A;FADS1;INPPL1;LDLRAP1;MYL12A,TMEM41A;PSMD3;PTPN1;DHRSX;HEG1;AKAP13;SELENON;KRT35;C20orf24;HIST1H1C;ATPAF2;SELENOS
VEGF binds to VEGFR leading to receptor dimerization,0.00013106031448663303,3.52022138292917,0.09665871121718377,0.535657987487628,8,2,MTHFD2L;MSRB2,MTHFD2L;MSRB2
VEGF ligand-receptor interactions,0.00013106031448663303,3.52022138292917,0.09665871121718377,0.535657987487628,8,2,MTHFD2L;MSRB2,MTHFD2L;MSRB2
Chylomicron clearance,0.00030571705974788817,3.64810773755006,0.006641366223908918,0.5356713034734201,5,4,SLC25A32;UBA5;ADAM10;CLSTN1,SLC25A32;UBA5;ADAM10;CLSTN1
