Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Glycolysis,0.0010227602377758497,3.604917264154512,0.5383304940374787,0.5356947741215248,72,69,JUP;DNA2;VAV2;FGF20;GDPGP1;KLHL11;LSM5;CTSV;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B;TMA16;SNX1;KRAS;EIF4B;DCAF8;ECT2;LMO4;HNRNPM;ABCB6;ICAM2;RNASET2;RNLS;PPP6R2;ARHGAP6;ATP5J;BPGM;CCAR2;CENPX;CFHR3;CHDH;COL18A1;COL6A2;CRISP3;DFFB;DNAH8;DOK2;EIF2AK3;ELMOD2;FADS1;GUF1;HSPB6;INPPL1;LDLRAP1;MSL2;MTX2;NFXL1;PARP9;PPFIA1;PRPF40B;PTPN7;RDH10;S100A6;SELENOO;SMCR8;SRPRB;STRN3;TUSC5;WNT11;ZNF205,JUP;DNA2;VAV2;FGF20;GDPGP1;KLHL11;LSM5;CTSV;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B
Defective MOGS causes MOGS-CDG (CDG-2b),8.601887735181647e-05,3.514274155376359,0.0,0.5362743645458933,1,1,C1orf50,C1orf50
NOSTRIN mediated eNOS trafficking,0.0002334585250363469,3.627388961183679,0.07876712328767123,0.5367336345618618,5,5,FAM76B;CMTR2;KRT35;DENND4C;APOOL,FAM76B;CMTR2;KRT35;DENND4C;APOOL
Metabolism of non-coding RNA,0.0007622404740356974,3.6645995006217262,0.5454545454545454,0.537158203876187,53,52,SLC7A6OS;CTSV;CPNE5;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B;SNX1;EXOC7;EIF1B;NF1;EIF4B;DCAF8;ECT2;SUPT20H;TOR4A;ATPIF1;LMO4;AP4M1;ABCB6;RNASET2;PPP6R2;ABCC3;ARPC5L;ATP5J;BPGM;CAPG;CEP135;DFFB;EIF4EBP3;GSTM5;IGFBP6;INO80;MARK1;MSL2;NGEF;PLSCR1;PTPN7;SELENOO;SMCR8;SSRP1;STRN3;TMEM70;UNK,SLC7A6OS;CTSV;CPNE5;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B
snRNP Assembly,0.0007622404740356974,3.6645995006217262,0.5454545454545454,0.537158203876187,53,52,SLC7A6OS;CTSV;CPNE5;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B;SNX1;EXOC7;EIF1B;NF1;EIF4B;DCAF8;ECT2;SUPT20H;TOR4A;ATPIF1;LMO4;AP4M1;ABCB6;RNASET2;PPP6R2;ABCC3;ARPC5L;ATP5J;BPGM;CAPG;CEP135;DFFB;EIF4EBP3;GSTM5;IGFBP6;INO80;MARK1;MSL2;NGEF;PLSCR1;PTPN7;SELENOO;SMCR8;SSRP1;STRN3;TMEM70;UNK,SLC7A6OS;CTSV;CPNE5;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B
Stimulation of the cell death response by PAK-2p34,0.00016533732443805112,3.6088197047195183,0.012917115177610334,0.5372006742852108,2,2,CXCL10;CTSK,CXCL10;CTSK
Defective NEU1 causes sialidosis,0.00021250900525749913,3.566995651341476,0.03248730964467005,0.5376154403295075,3,3,EIF3C;FARP1;ANKRD46,EIF3C;FARP1;ANKRD46
Antimicrobial peptides,0.0009993532626058287,3.619520725724621,0.07857911733046287,0.5378151396761138,95,32,MED17;NAT14;APEH;GEMIN5;PSMC5;VTA1;MSN;RAB38;GTF3C2;TOM1L1;TLE3;TASP1;UBN1;PRR36;ZNF281;NME3;C18orf25;PRPS2;PVR;LMO7;BRK1;CDH10;FEN1;ANGEL1;RPL8;ABLIM2;AKR1C1;CDYL;CHERP;COL21A1;PPP1R12A;RCC2,MED17;NAT14;APEH;GEMIN5;PSMC5;VTA1;MSN;RAB38;GTF3C2;TOM1L1;TLE3;TASP1;UBN1;PRR36;ZNF281;NME3;C18orf25;PRPS2;PVR;LMO7;BRK1;CDH10;FEN1;ANGEL1;RPL8;ABLIM2;AKR1C1;CDYL;CHERP;COL21A1
Collagen biosynthesis and modifying enzymes,0.0021527307067252645,3.629745265397701,0.0045906656465187455,0.5392253316909521,67,52,PLEKHA4;RAB4A;NCAPG;ANKRD27;SLC35E1;FBP1;NOV;TMEM59;MYL2;NACC1;POLR3F;DVL1;SARS2;IDO1;IFT52;PTRHD1;FOXP1;GRK5;TRMT5;VPS33A;KRT19;RP2;MED15;RASAL2;GAR1;RTN3;CPEB4;BCL7A;MTERF4;C9orf64;FAM117B;C19orf53;ACPP;MAVS;MRPL49;RMDN3;LZTS1;ISOC1;DCUN1D3;VTCN1;GIMAP1;REST;VSIR;AZI2;EIF2AK2;HSF2;NDUFAF4;SLC35B2;STC2;TBC1D12;TCF4;VIRMA,PLEKHA4;RAB4A;NCAPG;ANKRD27;SLC35E1;FBP1;NOV;TMEM59;MYL2;NACC1;POLR3F;DVL1;SARS2;IDO1;IFT52;PTRHD1;FOXP1;GRK5;TRMT5;VPS33A;KRT19;RP2;MED15;RASAL2;GAR1;RTN3;CPEB4;BCL7A;MTERF4;C9orf64;FAM117B;C19orf53;ACPP;MAVS;MRPL49;RMDN3;LZTS1
Transcriptional regulation by RUNX1,0.0009816400828578447,3.5246228164775144,0.6531365313653137,0.5398370447777621,218,143,RAB14;NUP160;GGA1;HARS2;CLCN6;SRPX2;PROM1;IGF2;KRT77;RAB3B;COASY;TPRN;NFYB;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;BLNK;POFUT2;SEL1L;RBFA;ID4;BCOR;CDCA3;GPRIN3;KEAP1;USP9Y;NRCAM;TMEM120B;LYN;MTMR1;CHCHD4;PPP1R3G;POLE2;POLD4;RYR2;UTP3;DPH7;MLLT6;NFS1;HMGXB4;MRPS10;ITM2B;IFI35;GRK3;MROH8;PTDSS2;HMGN3;AUTS2;TUBG1;NMT2;AKT2;GINS2;KDM4A;TSPAN9;ZNF782;USP11;GNAI2;REEP4;EHMT1;TANGO2;KLF12;TXNDC12;HCFC1;BASP1;SETMAR;CRTC1;NDUFA3;ABHD4;ABRAXAS1;ADAMTSL4;ALDH3A1;AMOTL1;ANXA8L1;AP1M2;BRI3;BRWD1;BTBD2;C2CD3;C4B;CCDC28A;CDK5RAP2;CEP192;CES2;CLCA4;COL5A2;COPZ2;CTNNA1;CYLD;DCAF10;DNAH7;DNAJC7;DOHH;DPP3;ELAVL1;EPHX4;FAM107A;FAM118B;FLCN;GSTM3;HDLBP;HSPB7;INHBB;LCA5;LDLR;MCF2L;MOCS2;MUC4;NEK8;NF2;NFIA;NIPSNAP1;NUP153;ODF2;PARP16;PARVG;PDAP1;PDK3;PEBP1;PLD1;PPCS;PXDN;REN;RNASE4;RRM2;SEPT9;SGMS1;SHISA4;SLC12A7;SLC25A40;SNX12;SUSD5;TFAP2A;ZNF532;ZNF652,RAB14;NUP160;GGA1;HARS2;CLCN6;SRPX2;PROM1;IGF2;KRT77;RAB3B;COASY;TPRN;NFYB;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;BLNK
TRAF6 mediated IRF7 activation,0.00039558251789189203,3.5341148900934023,0.17258883248730963,0.5408454329415802,28,15,ORMDL2;JUND;TMEM120B;PPP1R3G;ZNF420;SRRM2;PSIP1;NUF2;ZYG11B;DLD;CCDC69;DGUOK;LPIN1;MTHFD1L;WDR45,ORMDL2;JUND;TMEM120B;PPP1R3G;ZNF420;SRRM2;PSIP1;NUF2;ZYG11B;DLD
Lysine catabolism,0.0004137982587709972,3.4665689605901875,0.01881720430107527,0.5410503561061023,12,9,HGS;TUBB2B;TM7SF2;GMDS;BCAR1;NPLOC4;SCAF11;PPIB;PYCR1,HGS;TUBB2B;TM7SF2;GMDS;BCAR1;NPLOC4;SCAF11
Common Pathway of Fibrin Clot Formation,0.0012036495594897158,3.6326622248843163,0.0,0.541313378616487,22,21,COASY;CD164;HMX3;SPAG7;FBXW11;RAB38;CCNH;KRT4;BSPRY;PXMP4;MTFR1;NAGA;PEX13;LGALS9C;RMND5A;HIST1H2AA;ASAP1;STK38L;HMGA1;ESRP2;AMN1,COASY;CD164;HMX3;SPAG7;FBXW11;RAB38;CCNH;KRT4;BSPRY;PXMP4;MTFR1;NAGA;PEX13;LGALS9C;RMND5A;HIST1H2AA;ASAP1;STK38L;HMGA1;ESRP2
Downstream signaling events of B Cell Receptor (BCR),0.000990364594541674,3.5372863408370145,0.5115894039735099,0.5424996256385306,81,75,GRAP2;NDUFS4;AGPS;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;INF2;SCARB2;ALDOB;CHI3L1;RBFA;MITD1;TAZ;GTPBP1;HNRNPCL1;MARCKS;FBXO44;GINS2;KDM4A;MMACHC;ZNF782;TANGO2;TXNDC12;NSRP1;HCFC1;CRTC1;NDUFA3;ALDH5A1;ABHD4;ABRAXAS1;ADAMTSL4;AKR1B1;ALDH3A1;AMOTL1;ANXA4;AP1M2;ARHGAP32;BRI3;C2CD3;C4B;CACHD1;CCDC28A;CLCA4;CYLD;DCAF10;DMTN;DNAH7;DNAJC7;DPP3;FAM107A;GANAB;HDLBP;IDS;JMJD7-PLA2G4B;LDLR;NFIA;ODF2;PARVG;REN;RNF181;SEPT9;SH3D19;SLC12A7;SLC25A40;SNX12;SPTA1,GRAP2;NDUFS4;AGPS;AHDC1;NPRL3;TSNARE1;EEF2K;LIMD2;AKT1S1;CDK18;VPS4B;TMED5;KIAA0368;EXOSC7;VARS;INF2;SCARB2;ALDOB;CHI3L1;RBFA;MITD1;TAZ
Vpr-mediated nuclear import of PICs,0.0008293665656167742,3.5246672080936916,0.19618528610354224,0.5434202957157624,40,33,CTSV;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B;SNX1;EIF4B;DCAF8;ECT2;LMO4;RBM15B;ABCB6;RNASET2;PPP6R2;ATP5J;BPGM;DFFB;FAM126A;MSL2;NONO;PID1;PTPN7;SELENOO;SMCR8;STRN3,CTSV;TRAF6;UNC5B;NPAS3;TCP1;MUC5B;APAF1;NENF;HOXD8;SGPP2;MYH1;MYH2;RAB11B
Kinesins,0.0009542117096208653,3.477872381569861,0.035440613026819924,0.5436580140352741,44,33,ALOX5;ISG20;ABCC10;C3orf58;TM9SF3;CTNNBIP1;PAFAH2;NOMO3;SOX13;GAS2L1;SNX2;RPL26;FUS;CRABP2;BCL2L1;CTNNB1;DGKE;DNAH12;DPM1;HEATR6;HM13;ITGB4;KATNB1;KDM1B;KRTDAP;MINPP1;NOP9;NUFIP2;POC1B-GALNT4;RPIA;RSBN1L;SNX4;WIZ,ALOX5;ISG20;ABCC10;C3orf58;TM9SF3;CTNNBIP1;PAFAH2;NOMO3;SOX13;GAS2L1
Glutathione conjugation,0.0011604226352061632,3.4677172789570134,0.006705783738474434,0.5436812887285868,37,32,NPC1;NUDT19;WARS;MCU;EPSTI1;MRS2;WASF3;TUSC1;SFT2D2;SMG8;ZNF646;VPS29;SNAPC4;AP3B2;SEPT3;SH3BGRL3;EXOC3;MDK;ARIH1;UCKL1;PIGG;TUBGCP6;FNBP4;DDX52;WDR91;APOB;CBX6;HLA-DMA;HSPA12B;NCAPD3;SEMA3B;SRR,NPC1;NUDT19;WARS;MCU;EPSTI1;MRS2;WASF3;TUSC1;SFT2D2;SMG8;ZNF646;VPS29;SNAPC4;AP3B2
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.0009416536493699693,3.3217096580997145,0.013805004314063849,0.5439588651534616,58,37,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4;DYNC1I2;KIAA1147;C1GALT1C1;TMEM120B;PPP1R3G;TRAPPC2L;HNRNPCL1;CARD19;POM121;STON2;MAT2B;SULT1A1;ARHGAP45;C19orf12;CACHD1;CYLD;DCAF10;DNAJC7;FMN1;INPP4A;MARVELD2;MTMR3;PCGF6;RPS29;TBC1D4;ZNF462,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4
Constitutive Signaling by NOTCH1 PEST Domain Mutants,0.0009416536493699693,3.3217096580997145,0.013805004314063849,0.5439588651534616,58,37,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4;DYNC1I2;KIAA1147;C1GALT1C1;TMEM120B;PPP1R3G;TRAPPC2L;HNRNPCL1;CARD19;POM121;STON2;MAT2B;SULT1A1;ARHGAP45;C19orf12;CACHD1;CYLD;DCAF10;DNAJC7;FMN1;INPP4A;MARVELD2;MTMR3;PCGF6;RPS29;TBC1D4;ZNF462,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,0.0009416536493699693,3.3217096580997145,0.013805004314063849,0.5439588651534616,58,37,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4;DYNC1I2;KIAA1147;C1GALT1C1;TMEM120B;PPP1R3G;TRAPPC2L;HNRNPCL1;CARD19;POM121;STON2;MAT2B;SULT1A1;ARHGAP45;C19orf12;CACHD1;CYLD;DCAF10;DNAJC7;FMN1;INPP4A;MARVELD2;MTMR3;PCGF6;RPS29;TBC1D4;ZNF462,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.0009416536493699693,3.3217096580997145,0.013805004314063849,0.5439588651534616,58,37,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4;DYNC1I2;KIAA1147;C1GALT1C1;TMEM120B;PPP1R3G;TRAPPC2L;HNRNPCL1;CARD19;POM121;STON2;MAT2B;SULT1A1;ARHGAP45;C19orf12;CACHD1;CYLD;DCAF10;DNAJC7;FMN1;INPP4A;MARVELD2;MTMR3;PCGF6;RPS29;TBC1D4;ZNF462,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4
Signaling by NOTCH1 in Cancer,0.0009416536493699693,3.3217096580997145,0.013805004314063849,0.5439588651534616,58,37,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4;DYNC1I2;KIAA1147;C1GALT1C1;TMEM120B;PPP1R3G;TRAPPC2L;HNRNPCL1;CARD19;POM121;STON2;MAT2B;SULT1A1;ARHGAP45;C19orf12;CACHD1;CYLD;DCAF10;DNAJC7;FMN1;INPP4A;MARVELD2;MTMR3;PCGF6;RPS29;TBC1D4;ZNF462,AKAP11;TRAF3IP3;ARFGEF2;GGA1;HARS2;KPNA1;PAPD5;RNF10;CNN2;MED12;SFRP4
Intrinsic Pathway for Apoptosis,0.0005453225474847779,3.472242083998001,0.6819852941176471,0.5440515022779769,53,45,SARAF;EFHD1;GSR;CTSK;GGA3;SIPA1L3;ZC3H13;PPP2R2D;TRMT13;MRPL27;UFSP2;STRIP1;FBXL2;UBE2V2;MRC2;ZNF197;SELENOK;PIN4;GPC1;CFL1;CHORDC1;MCRIP1;GIGYF2;CCDC58;POTEF;ERP29;RPS3;PEA15;ADNP;CCDC86;COL28A1;DMTN;EVPL;FAM98B;GPCPD1;GTF3C4;MBL2;MIER1;MPZ;NDST2;OLFML3;PCDHGC3;PUSL1;SDC1;SRGAP3,SARAF;EFHD1;GSR;CTSK;GGA3;SIPA1L3;ZC3H13;PPP2R2D;TRMT13;MRPL27;UFSP2;STRIP1;FBXL2;UBE2V2;MRC2;ZNF197;SELENOK;PIN4;GPC1;CFL1;CHORDC1;MCRIP1;GIGYF2;CCDC58;POTEF;ERP29;RPS3;PEA15;ADNP
