Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Depolymerisation of the Nuclear Lamina,0.48315611646628503,1201.6806722688752,0.0,0.0,15,14,LMNA;LMNB1;LPIN1;EMD;PRKCB;CTDNEP1;CDK1;LEMD2;LEMD3;LPIN2;TMPO;CCNB1;LPIN3;PRKCA,LMNA;LMNB1;LPIN1;EMD;PRKCB;CTDNEP1;CDK1;LEMD2;LEMD3;LPIN2;TMPO;CCNB1;LPIN3;PRKCA
Scavenging of heme from plasma,0.7227024341778461,1330.5286263031774,0.0,0.0,92,12,HPX;HP;JCHAIN;HBA1;HBB;AMBP;ALB;APOA1;APOL1;HPR;LRP1;CD163,HPX;HP;JCHAIN;HBA1;HBB;AMBP;ALB;APOA1;APOL1;HPR;LRP1;CD163
GP1b-IX-V activation signalling,0.5873646567994767,443.1869284964467,0.0,0.07035139130480204,10,10,GP1BA;GP1BB;GP9;FLNA;SRC;VWF;YWHAZ;PIK3R1;RAF1;GP5,GP1BA;GP1BB;GP9;FLNA;SRC;VWF;YWHAZ;PIK3R1;RAF1;GP5
Terminal pathway of complement,0.7940212533518813,121.20431150796004,0.0,0.1383282851008863,8,8,C7;C6;C5;C8G;C9;CLU;C8A;C8B,C7;C6;C5;C8G;C9;CLU;C8A;C8B
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),0.6110835236865839,165.14130814031267,0.14285714285714285,0.13915659818532275,8,8,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD;B4GALT1,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD;B4GALT1
HDL remodeling,0.7194358923428478,193.44673805644427,0.0,0.15017316220832747,10,8,LCAT;ALB;APOA1;CETP;APOE;APOC3;APOC2;PLTP,LCAT;ALB;APOA1;CETP;APOE;APOC3;APOC2;PLTP
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,0.5050153937829265,122.35028031086709,0.2222222222222222,0.15983681486008597,9,8,F10;F2;F9;PROC;PROS1;PROZ;F7;GAS6,F10;F2;F9;PROC;PROS1;PROZ;F7;GAS6
Activation of C3 and C5,0.8126303246946713,49.24069216144156,0.0,0.16803159230877723,6,6,CFB;C4A;C4B;C3;C2;C5,CFB;C4A;C4B;C3;C2;C5
Norepinephrine Neurotransmitter Release Cycle,0.5652994339060727,94.65526989722837,0.25,0.17133656151567864,18,8,MAOA;STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A,MAOA;STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A
Scavenging by Class F Receptors,0.7652666070896613,49.5786426503708,0.0,0.17516641964555976,7,6,HSP90AA1;HYOU1;SCARF1;CALR;APOB;HSPH1,HSP90AA1;HYOU1;SCARF1;CALR;APOB;HSPH1
Erythrocytes take up oxygen and release carbon dioxide,0.7702313573627233,45.31619687454442,0.0,0.1774246626862865,8,6,HBA1;HBB;SLC4A1;CA2;CA1;CA4,HBA1;HBB;SLC4A1;CA2;CA1;CA4
