Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SLBP independent Processing of Histone Pre-mRNAs,0.6222442899702155,82.311986863717,0.06666666666666667,0.18167666985306025,10,7,SNRPG;NCBP2;SNRPB;NCBP1;SNRPD3;SNRPE;SNRPF,SNRPG;NCBP2;SNRPB;NCBP1;SNRPD3;SNRPE;SNRPF
CHL1 interactions,0.5076464746772158,49.75521446716527,0.38095238095238093,0.1837382490854354,9,7,HSPA8;ITGA1;ITGB1;NRP1;ANK1;ITGA2;CHL1,HSPA8;ITGA1;ITGB1;NRP1;ANK1;ITGA2;CHL1
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",0.6694469268195836,49.779234779014985,0.0,0.19447816736586038,7,6,SUMO1;SUMO2;SUMO3;UBA2;SAE1;UBE2I,SUMO1;SUMO2;SUMO3;UBA2;SAE1;UBE2I
Classical antibody-mediated complement activation,0.7139310892662205,40.025830299388176,0.08823529411764706,0.19798188741820916,88,6,C1QB;C1S;C1R;C1QC;CRP;C1QA,C1QB;C1S;C1R;C1QC;CRP;C1QA
Acetylcholine Neurotransmitter Release Cycle,0.5652432969215466,58.88438301746595,0.15789473684210525,0.19919018188963186,17,7,STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A,STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A
Defective ST3GAL3 causes MCT12 and EIEE15,0.6148957298907446,50.93990374727697,0.04,0.20097981602494788,8,7,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD
DSCAM interactions,0.5671864137451779,64.40154265995874,0.0,0.20631019897627015,11,8,NTN1;MAPK11;MAPK12;MAPK14;MAPK8;RAC1;MAPK13;PAK1,NTN1;MAPK11;MAPK12;MAPK14;MAPK8;RAC1;MAPK13;PAK1
Defective CHST6 causes MCDC1,0.6148957298907446,60.63632891683246,0.0,0.2074786224332555,8,7,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD,KERA;LUM;OGN;FMOD;PRELP;ACAN;OMD
Serotonin Neurotransmitter Release Cycle,0.5652432969215466,54.6115689792501,0.25,0.2077409215766604,18,7,STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A,STXBP1;UNC13B;VAMP2;PPFIA2;SNAP25;PPFIA1;RAB3A
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,0.557100297914571,68.14206588281125,0.25,0.20815507811887862,8,7,LIMS1;PARVA;RSU1;ARHGEF6;ACTN1;PXN;PARVB,LIMS1;PARVA;RSU1;ARHGEF6;ACTN1;PXN;PARVB
Acetylcholine regulates insulin secretion,0.4242303872889245,51.07848294992193,1.0,0.21383730587811262,10,7,GNA11;GNAQ;PLCB3;PLCB1;MARCKS;PRKCA;PLCB2,GNA11;GNAQ;PLCB3;PLCB1;MARCKS;PRKCA;PLCB2
VLDL assembly,0.8150317712470194,34.72974345089038,0.0,0.2217934331221865,5,5,MTTP;P4HB;APOC4;APOC1;APOB,MTTP;P4HB;APOC4;APOC1;APOB
Defective F9 activation,0.5871313672922107,32.19290699826867,0.22857142857142856,0.23052643400769957,6,6,GP1BA;GP1BB;GP9;F11;F9;GP5,GP1BA;GP1BB;GP9;F11;F9;GP5
Metal sequestration by antimicrobial proteins,0.5771445591739431,25.00828160022033,0.20454545454545456,0.26112569986858924,6,5,LTF;LCN2;S100A8;S100A9;S100A7,LTF;LCN2;S100A8;S100A9;S100A7
SUMO is conjugated to E1 (UBA2:SAE1),0.8396544876886404,25.48793866258412,0.0,0.26517062876425385,5,5,SUMO1;SUMO2;SUMO3;UBA2;SAE1,SUMO1;SUMO2;SUMO3;UBA2;SAE1
Ficolins bind to repetitive carbohydrate structures on the target cell surface,0.6487291501191381,25.819657555628538,0.041666666666666664,0.27135536646137937,5,5,MASP1;FCN2;FCN3;MASP2;FCN1,MASP1;FCN2;FCN3;MASP2;FCN1
Post-transcriptional silencing by small RNAs,0.4508986197994061,26.766557423430964,0.8709677419354839,0.2733499443687023,7,6,TNRC6A;TNRC6C;AGO3;AGO1;AGO2;TNRC6B,TNRC6A;TNRC6C;AGO3;AGO1;AGO2;TNRC6B
Synthesis of PIPs at the ER membrane,0.5227362986497167,21.451096389371,0.45652173913043476,0.29114919292739505,5,5,MTMR2;PI4KA;SACM1L;PI4K2B;SBF1,MTMR2;PI4KA;SACM1L;PI4K2B;SBF1
Protein repair,0.5621525019856981,19.842716160143564,0.3018867924528302,0.30351600248643174,6,5,MSRA;PCMT1;MSRB3;TXN;MSRB2,MSRA;PCMT1;MSRB3;TXN;MSRB2
Noncanonical activation of NOTCH3,0.5708895949165957,18.93060205899107,0.32142857142857145,0.3092867617731851,8,5,YBX1;PSEN1;APH1A;NCSTN;NOTCH3,YBX1;PSEN1;APH1A;NCSTN;NOTCH3
LDL remodeling,0.8149508587312525,16.834208982893415,0.06976744186046512,0.34459377399589425,4,4,LPA;CETP;APOF;APOB,LPA;CETP;APOF;APOB
Regulation of gene expression in beta cells,0.42315329626687204,15.341420395234067,0.9615384615384616,0.3748794417780361,21,5,PKLR;AKT3;AKT2;AKT1;FOXO1,PKLR;AKT3;AKT2;AKT1;FOXO1
Fertilization,0.6039908666732681,14.689974888931902,0.25675675675675674,0.3828170730470742,26,4,OVGP1;HVCN1;B4GALT1;CD9,OVGP1;HVCN1;B4GALT1;CD9
Alternative complement activation,0.7196465799662356,12.660991431256402,0.06930693069306931,0.44248484970594887,4,4,CFB;CFD;C3;GZMM,CFB;CFD;C3;GZMM
Extrinsic Pathway of Fibrin Clot Formation,0.6454879380522041,12.285355825624404,0.16129032258064516,0.44733048124990205,5,4,F10;F3;F9;F7,F10;F3;F9;F7
AKT-mediated inactivation of FOXO1A,0.42311128760048966,10.527537835654517,0.9726027397260274,0.5040858566315761,4,4,AKT3;AKT2;AKT1;FOXO1,AKT3;AKT2;AKT1;FOXO1
Localization of the PINCH-ILK-PARVIN complex to focal adhesions,0.5731162513650169,10.932594015006073,0.3157894736842105,0.5065425540250419,4,4,ITGB1;ILK;PARVA;PXN,ITGB1;ILK;PARVA;PXN
Defective LFNG causes SCDO3,0.48098878189216354,10.544023747448147,0.8375,0.5161306019974481,5,4,NOTCH2;LFNG;NOTCH3;NOTCH1,NOTCH2;LFNG;NOTCH3;NOTCH1
Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,0.7019058963668816,9.680015989617718,0.14754098360655737,0.5329528007329342,4,3,SLC25A5;SLC25A6;SLC25A4,SLC25A5;SLC25A6;SLC25A4
Defective factor XII causes hereditary angioedema,0.9238634107603726,9.805212660492327,0.0,0.5379852067760488,3,3,KLKB1;F12;F2,KLKB1;F12;F2
PTK6 Regulates Proteins Involved in RNA Processing,0.9006352987890142,9.289900599190483,0.006134969325153374,0.5449471782507371,5,3,KHDRBS1;KHDRBS3;SFPQ,KHDRBS1;KHDRBS3;SFPQ
Signaling by MAP2K mutants,0.48903008041296314,8.877819149127793,0.7653061224489796,0.5602940860267955,4,4,MAPK3;MAPK1;MAP2K1;MAP2K2,MAPK3;MAPK1;MAP2K1;MAP2K2
Defective SERPING1 causes hereditary angioedema,0.8991463172523456,8.660094631946135,0.0,0.5613703676794269,3,3,KLKB1;F12;SERPING1,KLKB1;F12;SERPING1
Choline catabolism,0.4894271815744845,8.188865468401328,0.8640776699029126,0.5810045671641271,6,4,SARDH;CHDH;ALDH7A1;SLC44A1,SARDH;CHDH;ALDH7A1;SLC44A1
Breakdown of the nuclear lamina,0.6225928131824455,7.768308225464233,0.3014705882352941,0.5978691816237526,3,3,LMNA;LMNB1;CASP6,LMNA;LMNB1;CASP6
Regulation of gap junction activity,0.6229898749255467,7.029932097755926,0.32666666666666666,0.6331142034799596,3,3,SRC;GJA1;TJP1,SRC;GJA1;TJP1
Neurotoxicity of clostridium toxins,0.648302561048239,7.079260401017143,0.2894736842105263,0.6418721457076544,21,3,VAMP2;SNAP25;SV2A,VAMP2;SNAP25;SV2A
Activated NTRK2 signals through FYN,0.6489974190986657,6.707663644216801,0.3625,0.6515747383058343,7,3,SRC;FYN;RAC1,SRC;FYN;RAC1
Transport of connexons to the plasma membrane,0.5953349875930422,3.5955740509614587,0.5787401574803149,0.6687368430675046,2,2,GJA1;GJB2,GJA1;GJB2
Interaction With Cumulus Cells And The Zona Pellucida,0.6107196029776569,3.5183764119536574,0.5902255639097744,0.6701762835734641,11,2,OVGP1;B4GALT1,OVGP1;B4GALT1
Toxicity of botulinum toxin type F (BoNT/F),0.648238213399499,3.6172404625814427,0.4742647058823529,0.6713329324910697,6,2,VAMP2;SV2A,VAMP2;SV2A
Toxicity of botulinum toxin type A (BoNT/A),0.6482382133995168,3.5397894337476234,0.509090909090909,0.6728173702123521,9,2,SNAP25;SV2A,SNAP25;SV2A
FGFR1b ligand binding and activation,0.5499751861041973,3.6272275766178064,0.7896995708154506,0.6765502660533053,6,2,FGF2;FGFR1,FGF2;FGFR1
Abacavir transmembrane transport,0.5921588089330027,3.454083443384277,0.6833976833976834,0.6772287778352374,5,2,SLC22A3;ABCB1,SLC22A3;ABCB1
Toxicity of botulinum toxin type D (BoNT/D),0.648238213399499,3.6410019975057857,0.47232472324723246,0.6809196696867478,6,2,VAMP2;SV2A,VAMP2;SV2A
Defective NEU1 causes sialidosis,0.5235259082787319,6.085691240597075,0.7588652482269503,0.6853685467996032,3,3,GLB1;CTSA;NEU1,GLB1;CTSA;NEU1
NTRK2 activates RAC1,0.6489330024813933,3.6866640089003884,0.46616541353383456,0.6862382755382614,5,2,FYN;RAC1,FYN;RAC1
Toxicity of botulinum toxin type E (BoNT/E),0.6482382133995168,3.6444010928182315,0.503731343283582,0.6877915703424203,5,2,SNAP25;SV2A,SNAP25;SV2A
FGFR2b ligand binding and activation,0.5267024022235403,6.171827109744735,0.75,0.6880975448176857,10,3,FGF2;FGFR2;FGFBP1,FGF2;FGFR2;FGFBP1
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG,0.6600496277915667,3.701926449123354,0.4139194139194139,0.6907836612881039,2,2,MTRR;MTR,MTRR;MTR
Acetylation,-0.9997022628025847,-2.6818923675359487,0.0,0.6925391253991281,2,1,NAT1,NAT1
NOSIP mediated eNOS trafficking,0.969330024813896,5.711248047467876,0.0,0.6947709429398113,2,2,NOS3;NOSIP,NOS3;NOSIP
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,0.958610421836225,5.618775016289732,0.0,0.6953067109030628,2,2,MAOA;MAOB,MAOA;MAOB
Signaling by plasma membrane FGFR1 fusions,0.5500297796307275,5.797037767057617,0.6329113924050633,0.6962769109510368,3,3,ERLIN2;BAG4;FGFR1,ERLIN2;BAG4;FGFR1
Biosynthesis of DPAn-6 SPMs,0.6460545905707151,3.703562509637302,0.47388059701492535,0.6981934750712097,2,2,ALOX15;ALOX12,ALOX15;ALOX12
Inhibition of TSC complex formation by PKB,0.5938058368076189,6.197801241425174,0.4658385093167702,0.6987284722548697,3,3,TSC1;TSC2;AKT2,TSC1;TSC2;AKT2
Defective Mismatch Repair Associated With MSH6,0.9620843672456576,5.878599907087527,0.00392156862745098,0.6990431061985655,2,2,MSH2;MSH6,MSH2;MSH6
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),0.6853598014888449,3.71052628750706,0.3485915492957746,0.7047174770601032,8,2,EPHX2;CYP1B1,EPHX2;CYP1B1
Synthesis of PS,0.7113647642680019,3.943675921951981,0.25886524822695034,0.7068419807417481,2,2,PTDSS1;PTDSS2,PTDSS1;PTDSS2
Amine Oxidase reactions,0.958610421836225,5.4516369022420035,0.0037593984962406013,0.7069317944069583,4,2,MAOA;MAOB,MAOA;MAOB
Loss of MECP2 binding ability to 5mC-DNA,0.5007941234861963,5.368803262359392,0.810126582278481,0.7075193304574736,4,3,MECP2;HDAC1;SIN3A,MECP2;HDAC1;SIN3A
EGFR interacts with phospholipase C-gamma,0.6621339950372187,3.71350717957714,0.41025641025641024,0.7123511567833528,9,2,EGFR;PLCG1,EGFR;PLCG1
Manipulation of host energy metabolism,0.63781637717121,3.8741603272960163,0.5298804780876494,0.7128562201417206,3,2,PGK1;ENO1,PGK1;ENO1
C6 deamination of adenosine,0.7403473945409559,3.9444487924985254,0.26666666666666666,0.7153966266790718,2,2,ADAR;ADARB1,ADAR;ADARB1
Glycogen storage disease type IV (GBE1),0.6364267990074376,3.7208179532367804,0.5095785440613027,0.7190296939567975,3,2,GBE1;GYG2,GBE1;GYG2
Transfer of LPS from LBP carrier to CD14,0.6749379652605463,3.9666822028386846,0.3946360153256705,0.7201064046510899,2,2,LBP;CD14,LBP;CD14
Pyrophosphate hydrolysis,0.7363771712158919,4.010463206067868,0.22807017543859648,0.7211776021988299,2,2,PPA1;PPA2,PPA1;PPA2
Inhibition of nitric oxide production,0.6752357320099386,3.7824535964168287,0.36462093862815886,0.7231173227130163,4,2,KPNB1;KPNA1,KPNB1;KPNA1
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,0.6600496277915667,3.7381916708593232,0.42962962962962964,0.7239553806572698,2,2,MTRR;MTR,MTRR;MTR
Signalling to ERK5,0.7396526054590702,4.021860094102574,0.25539568345323743,0.7282379966785965,2,2,MAP2K5;MAPK7,MAP2K5;MAPK7
FMO oxidises nucleophiles,0.9182133995037209,5.074126343606885,0.01824817518248175,0.7310166684949252,3,2,FMO1;FMO3,FMO1;FMO3
Reelin signalling pathway,0.4835219376613004,5.1297659116470715,0.9161290322580645,0.7333631343913506,5,3,FYN;VLDLR;SH3KBP1,FYN;VLDLR;SH3KBP1
Intracellular oxygen transport,0.7258560794044773,4.2333292040091814,0.3178294573643411,0.7350041828124084,3,2,CYGB;MB,CYGB;MB
vRNP Assembly,0.6557816377171184,4.029855207003578,0.44047619047619047,0.7359185249270341,7,2,HSP90AA1;IPO5,HSP90AA1;IPO5
Virus Assembly and Release,0.774590570719607,4.332414555003248,0.22014925373134328,0.7368603200857787,10,2,CALR;CANX,CALR;CANX
Defective ALG6 causes ALG6-CDG (CDG-1c),-0.9433306867803721,-2.5285152946576646,0.10495049504950495,0.7389825911391797,1,1,ALG6,ALG6
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),0.7180148883374778,4.375271791230573,0.321285140562249,0.7394847892614805,2,2,GCLC;GCLM,GCLC;GCLM
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,0.7189081885856192,4.247356470665632,0.2720306513409962,0.742297372357078,2,2,APEX1;POLB,APEX1;POLB
Metabolism of amine-derived hormones,-0.9915641127430399,-2.5456638485410976,0.009523809523809525,0.7431070373639277,18,1,DDC,DDC
Assembly of Viral Components at the Budding Site,0.774590570719607,4.414926116177573,0.1760299625468165,0.7435298382025198,6,2,CALR;CANX,CALR;CANX
Stimulation of the cell death response by PAK-2p34,0.7374689826302863,4.031035173087776,0.26618705035971224,0.7453117538333635,2,2,CASP3;PAK2,CASP3;PAK2
RNF mutants show enhanced WNT signaling and proliferation,0.43309509628746606,4.578991005740748,1.0,0.7466313741524121,8,3,LRP5;LRP6;FZD6,LRP5;LRP6;FZD6
Serotonin clearance from the synaptic cleft,0.8210421836228028,4.827081138962301,0.12840466926070038,0.748995426657426,3,2,MAOA;ALDH2,MAOA;ALDH2
Metabolism of serotonin,0.8210421836228028,4.441587910633353,0.10638297872340426,0.7492457280970778,2,2,MAOA;ALDH2,MAOA;ALDH2
MPS IIIC - Sanfilippo syndrome C,0.9279475982532751,2.496047702007703,0.13995943204868155,0.7511666194775642,1,1,HGSNAT,HGSNAT
Defective SLC9A9 causes autism 16 (AUTS16),0.8947002778880524,2.5647656674749655,0.19957081545064378,0.75230600701748,1,1,SLC9A9,SLC9A9
Regulation of PAK-2p34 activity by PS-GAP/RHG10,0.7374689826302863,4.044701848858927,0.25,0.7525588829862254,2,2,ARHGAP10;PAK2,ARHGAP10;PAK2
Glycogen storage disease type 0 (muscle GYS1),0.5508684863523399,3.0827133654231202,0.7391304347826086,0.7526980395844107,2,2,GYG1;GYS1,GYG1;GYS1
Formation of editosomes by ADAR proteins,0.7403473945409559,4.608440136616071,0.24081632653061225,0.7527301526455304,2,2,ADAR;ADARB1,ADAR;ADARB1
Glycogen storage disease type Ib (SLC37A4),-0.9696308058752424,-2.534774012054152,0.0547945205479452,0.7532870916956923,1,1,SLC37A4,SLC37A4
The NLRP1 inflammasome,0.7907692307692373,4.731950196625185,0.17857142857142858,0.7540594181560756,3,2,BCL2L1;BCL2,BCL2L1;BCL2
Defective FMO3 causes Trimethylaminuria (TMAU),0.9181222707423585,2.4987784320118354,0.1359026369168357,0.754819123490084,1,1,FMO3,FMO3
Events associated with phagocytolytic activity of PMN cells,0.9583167923779277,2.50623964385237,0.07632093933463796,0.7552166677851543,2,1,MPO,MPO
KIT mutants bind TKIs,0.9956331877729258,2.513825791271301,0.0056925996204933585,0.7554151613669267,1,1,KIT,KIT
Histidine catabolism,0.7068982630273021,4.076327253183987,0.2757352941176471,0.756084183473587,8,2,HNMT;CARNMT1,HNMT;CARNMT1
Glycogen storage disease type XV (GYG1),0.5508684863523399,3.03449814321513,0.7589928057553957,0.7562219622836713,2,2,GYG1;GYS1,GYG1;GYS1
Ceramide signalling,0.8929032258064378,4.852687804304396,0.05673758865248227,0.7563123090443825,3,2,NGFR;SMPD2,NGFR;SMPD2
Defective MAOA causes Brunner syndrome (BRUNS),0.9785629217943629,2.5678654813511033,0.02524271844660194,0.7563481661801715,1,1,MAOA,MAOA
Entry of Influenza Virion into Host Cell via Endocytosis,0.7829280397022393,4.650189385565522,0.14728682170542637,0.7571169863507435,10,2,CLTC;CLTA,CLTC;CLTA
Defective F9 secretion,0.923382294561334,2.550296680310858,0.15257731958762888,0.7572530988983436,1,1,F9,F9
Inhibition of PKR,0.9467050416832073,2.526459759526832,0.08678500986193294,0.7576333877893219,2,1,EIF2AK2,EIF2AK2
Signaling by Overexpressed Wild-Type EGFR in Cancer,0.9474990075426754,2.5335293919397026,0.09533468559837728,0.7583030189958331,8,1,EGFR,EGFR
mRNA Editing: A to I Conversion,0.7403473945409559,4.4497710983818966,0.2619047619047619,0.7588361609750129,2,2,ADAR;ADARB1,ADAR;ADARB1
NTRK3 as a dependence receptor,0.5071960297766467,2.9871459194474825,0.908745247148289,0.7588582202347975,3,2,NELFB;BAX,NELFB;BAX
Signaling by extracellular domain mutants of KIT,0.9956331877729258,2.571074894858133,0.007797270955165692,0.760152422819442,1,1,KIT,KIT
VEGF binds to VEGFR leading to receptor dimerization,0.45151364764264224,2.5141500387704587,0.9889705882352942,0.7610643356308654,8,2,VEGFA;FLT1,VEGFA;FLT1
Activation of the phototransduction cascade,0.9342000793965856,2.5374347782487634,0.11934156378600823,0.7612565385119567,11,1,GNB1,GNB1
MECP2 regulates transcription of genes involved in GABA signaling,0.9671496625645098,2.5777054533085164,0.05138339920948617,0.7616427803707968,3,1,MECP2,MECP2
Masitinib-resistant KIT mutants,0.9956331877729258,2.4738954951773895,0.0055658627087198514,0.7623237299469461,1,1,KIT,KIT
VEGF ligand-receptor interactions,0.45151364764264224,2.58107198745362,0.9888888888888889,0.7654192719351856,8,2,VEGFA;FLT1,VEGFA;FLT1
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",0.9358872568479552,2.5885358878678395,0.12164948453608247,0.7664819488982185,1,1,CYP7B1,CYP7B1
Lipid particle organization,-0.9495831679236809,-2.5134248092469873,0.10379241516966067,0.7670807028653615,6,1,FITM2,FITM2
Defective GFPT1 causes CMSTA1,0.9313219531560141,2.323480248560911,0.15225563909774437,0.7699619466150536,1,1,GFPT1,GFPT1
Drug resistance of KIT mutants,0.9956331877729258,2.5927130084826873,0.007797270955165692,0.7701865647162379,1,1,KIT,KIT
Ca2+ activated K+ channels,0.9969233822945613,2.6226270707853727,0.01195219123505976,0.7708367996435236,9,1,KCNMA1,KCNMA1
"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",0.8976776498610574,2.3261118853387885,0.1907514450867052,0.7731888486671995,1,1,SLC4A1,SLC4A1
Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),0.900555776101629,2.339595028837594,0.19230769230769232,0.7741900030819218,1,1,SLC35A2,SLC35A2
Loss of MECP2 binding ability to 5hmC-DNA,0.9671496625645098,2.6646417758955963,0.054878048780487805,0.7744398999159001,1,1,MECP2,MECP2
Biosynthesis of DHA-derived sulfido conjugates,0.925764192139738,2.4216400328666303,0.13565891472868216,0.7745799975129669,2,1,GSTM4,GSTM4
Sorafenib-resistant KIT mutants,0.9956331877729258,2.83208465087474,0.008565310492505354,0.7746606973018519,1,1,KIT,KIT
Inhibition of Signaling by Overexpressed EGFR,0.9474990075426754,2.593661977953224,0.11088295687885011,0.7761251123575416,8,1,EGFR,EGFR
Nilotinib-resistant KIT mutants,0.9956331877729258,2.8602138888018063,0.004301075268817204,0.7767662765857583,1,1,KIT,KIT
Biosynthesis of maresin conjugates in tissue regeneration (MCTR),0.925764192139738,2.6237749224161195,0.14468085106382977,0.7768050892121471,2,1,GSTM4,GSTM4
Imatinib-resistant KIT mutants,0.9956331877729258,2.6738787473816603,0.007984031936127744,0.7769155045352686,1,1,KIT,KIT
Ligand-receptor interactions,0.9322151647479155,2.3281620359136546,0.13157894736842105,0.7769269543055386,8,1,GAS1,GAS1
Regorafenib-resistant PDGFR mutants,0.8587733227471251,2.341775868802132,0.266260162601626,0.7778760444869484,1,1,PDGFRA,PDGFRA
Sunitinib-resistant KIT mutants,0.9956331877729258,2.600731014883975,0.003952569169960474,0.778277261632453,1,1,KIT,KIT
MPS IV - Morquio syndrome B,0.9304287415641126,2.437775614911045,0.152,0.7789870402582546,1,1,GLB1,GLB1
"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",0.8946010321556189,2.355787097897176,0.20710059171597633,0.7790481776525822,1,1,SLCO2A1,SLCO2A1
Defective GALT can cause Galactosemia,0.926161175069472,2.4229099480808998,0.14090019569471623,0.7791509021945235,1,1,GALT,GALT
Toxicity of botulinum toxin type G (BoNT/G),0.8882493052798749,2.4293335374516687,0.24273858921161826,0.7796917109881163,4,1,VAMP2,VAMP2
Drug resistance of PDGFR mutants,0.8587733227471251,2.2943722255013195,0.276,0.7797108790149444,1,1,PDGFRA,PDGFRA
Interleukin-38 signaling,0.9642715363239381,2.3619570306631696,0.08133086876155268,0.7801268217559483,4,1,MAPK8,MAPK8
Regorafenib-resistant KIT mutants,0.9956331877729258,2.682005858065455,0.004073319755600814,0.780319560435832,1,1,KIT,KIT
Defective GALK1 can cause Galactosemia II (GALCT2),0.9153433902342205,2.443124444383249,0.18421052631578946,0.7806255662523195,1,1,GALK1,GALK1
Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),-0.9684398570860407,-2.5582682427359207,0.07142857142857142,0.780770681778426,1,1,SLC27A4,SLC27A4
Signaling by kinase domain mutants of KIT,0.9956331877729258,2.6273197253256955,0.01195219123505976,0.7815449150442201,1,1,KIT,KIT
Sunitinib-resistant PDGFR mutants,0.8587733227471251,2.343330877074148,0.2804878048780488,0.7821447040571671,1,1,PDGFRA,PDGFRA
NFG and proNGF binds to p75NTR,0.9766772528781263,2.6358764724521584,0.056910569105691054,0.7835945317904324,3,1,NGFR,NGFR
PDGFR mutants bind TKIs,0.8587733227471251,2.295842357641494,0.2774451097804391,0.7836293585905734,1,1,PDGFRA,PDGFRA
Defective MGAT2 causes MGAT2-CDG (CDG-2a),-0.9962286621674131,-2.5475948222760354,0.009765625,0.7844392185720458,1,1,MGAT2,MGAT2
Reverse Transcription of HIV RNA,0.8675069472012732,2.3632167649155296,0.23742454728370221,0.7847872312257205,7,1,PPIA,PPIA
Toxicity of tetanus toxin (TeNT),0.8882493052798749,2.399124199041029,0.2408906882591093,0.7865164061957819,2,1,VAMP2,VAMP2
Signaling by juxtamembrane domain KIT mutants,0.9956331877729258,2.6838606393592026,0.005988023952095809,0.7866750128123202,1,1,KIT,KIT
Latent infection - Other responses of Mtb to phagocytosis,0.9939460103215562,2.7422804053591854,0.006160164271047228,0.7878472292181098,35,1,LTF,LTF
Sorafenib-resistant PDGFR mutants,0.8587733227471251,2.3653463771356935,0.29313929313929316,0.7887795416120365,1,1,PDGFRA,PDGFRA
Regulation of signaling by NODAL,-0.9995037713377177,-2.6937725467369393,0.002028397565922921,0.7920829053622923,12,1,LEFTY1,LEFTY1
