Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Degradation of the extracellular matrix,0.23849771366206782,1.201102263316386,0.13513513513513514,0.756730514704994,111,77,LAMA5;LAMB1;LAMC1;KLKB1;HSPG2;NID1;A2M;MMP19;MMP8;MMP9;ELANE;COL14A1;COL15A1;COL16A1;COL18A1;DCN;CTSG;TPSAB1;PRSS1;PLG;PHYKPL;CD44;CMA1;CASP3;CAPN5;ADAM15;CAPN7;CTSB;PSEN1;CAPN2;COL17A1;CAST;CTSD;ACAN;HTRA1;TIMP2;ADAM17;KLK7;CAPNS1;NCSTN;ADAMTS16;MMP12;ADAMTS5;CAPN3;COL25A1;LAMA3;CAPNS2;CAPN15;MMP10;ADAMTS4;CAPN6;TIMP1;CAPN13;MMP2;CAPN1;CTSL;ADAM9;BMP1;MMP15;CDH1;COL12A1;CTSV;BSG;ADAMTS1;MMP7;ADAM10;CTSS;MMP14;LAMB3;COL9A2;LAMC2;COL26A1;SPP1;FURIN;CTSK;MMP11;MMP1,LAMA5;LAMB1;LAMC1;KLKB1;HSPG2;NID1;A2M;MMP19;MMP8;MMP9;ELANE;COL14A1;COL15A1;COL16A1;COL18A1;DCN;CTSG;TPSAB1;PRSS1;PLG;PHYKPL;CD44;CMA1;CASP3;CAPN5;ADAM15;CAPN7;CTSB;PSEN1;CAPN2;COL17A1;CAST;CTSD;ACAN;HTRA1;TIMP2;ADAM17;KLK7;CAPNS1;NCSTN;ADAMTS16;MMP12;ADAMTS5;CAPN3;COL25A1;LAMA3;CAPNS2;CAPN15
AMER1 mutants destabilize the destruction complex,-0.13245230524641932,-4.726925452978737,0.9913793103448276,0.7575521385797613,14,13,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D
"AXIN mutants destabilize the destruction complex, activating WNT signaling",-0.13245230524641932,-4.792765047254135,0.9911504424778761,0.7586636469926462,14,13,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D
Surfactant metabolism,-0.21532540290688898,-4.773808437870624,0.7901234567901234,0.7588603291574196,30,10,CKAP4;SLC34A2;ADGRF5;GATA6;CTSH;ADRA2A;DMBT1;LMCD1;TTF1;CCDC59,SLC34A2;ADGRF5;GATA6;CTSH;ADRA2A;DMBT1;LMCD1;TTF1;CCDC59
COPII-mediated vesicle transport,0.2469557457339024,1.1981939262185606,0.16901408450704225,0.7589633147867184,68,60,LMAN1;NAPB;NAPA;MCFD2;F5;SERPINA1;TMED10;RAB1A;SEC23IP;SEC24C;CTSZ;USO1;COL7A1;SEC22B;SCFD1;RAB1B;SEC24B;SEC22A;SEC13;PPP6R3;SEC31A;TFG;SEC24A;NAPG;BET1;TRAPPC6B;TRAPPC4;TBC1D20;TRAPPC9;TMED2;TRAPPC6A;LMAN2;YKT6;STX5;FOLR1;CNIH1;ANKRD28;TRAPPC1;SEC24D;TRAPPC2L;TRAPPC10;PREB;F8;PPP6R1;SEC23A;NSF;TRAPPC5;GORASP1;GOSR2;SEC16A;STX17;CTSC;TRAPPC3;SAR1B;CD59;PPP6C;TRAPPC2;CSNK1D;GOLGA2;LMAN2L,LMAN1;NAPB;NAPA;MCFD2;F5;SERPINA1;TMED10;RAB1A;SEC23IP;SEC24C;CTSZ;USO1;COL7A1;SEC22B;SCFD1;RAB1B;SEC24B;SEC22A;SEC13;PPP6R3;SEC31A;TFG;SEC24A;NAPG;BET1;TRAPPC6B;TRAPPC4;TBC1D20;TRAPPC9;TMED2;TRAPPC6A;LMAN2;YKT6;STX5;FOLR1;CNIH1;ANKRD28
Vpu mediated degradation of CD4,0.2514537532726625,1.1988477266585982,0.17522658610271905,0.7593566342037575,53,49,PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PSMA8;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;SKP1;PSMD6;PSMD9;PSMA6;PSMC6;CD4;PSMD2;PSMB2;RPS27A;PSMD5;PSMA2;PSMB8;PSMB10;PSMB5;BTRC;PSMA3;UBB;PSMB6;PSMD11;PSMB4;PSME4;PSMC5;UBA52;PSMC4;PSMD10;PSMB1;PSMB9;PSMD4,PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PSMA8;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;SKP1;PSMD6
Hedgehog 'on' state,0.24512242042586194,1.198321901679958,0.16916916916916916,0.7595348821007534,86,62,GAS1;SUFU;PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;ARRB1;CDC73;PSMA8;ARRB2;RBX1;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;NUMB;PSMD6;EFCAB7;PSMD9;PSMA6;KIF7;PSMC6;PSMD2;PSMB2;RPS27A;KIF3A;PSMD5;PSMA2;GRK2;PSMB8;PSMB10;CUL3;PSMB5;ULK3;ITCH;PSMA3;UBB;PSMB6;PSMD11;PSMB4;CSNK1A1;PSME4;PSMC5;UBA52;PSMC4;PSMD10;PSMB1;PSMB9;SMURF2;PSMD4,GAS1;SUFU;PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;ARRB1;CDC73;PSMA8;ARRB2;RBX1;PSMD14;PSMA1;PSMB3;PSMD3;PSMC1;PSMF1;PSMD7;PSMD13;NUMB;PSMD6
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.2895460557147327,1.1974025035415492,0.31596091205211724,0.7596672457310849,20,18,KIT;STAT5A;STAT5B;SRC;PIK3R1;FYN;STAT1;YES1;NRAS;GRB2;JAK2;SOS1;PIK3R2;LYN;STAT3;PIK3CA;KRAS;HRAS,KIT;STAT5A;STAT5B;SRC;PIK3R1;FYN;STAT1;YES1;NRAS;GRB2;JAK2;SOS1;PIK3R2
Truncations of AMER1 destabilize the destruction complex,-0.13245230524641932,-4.7350227928299455,0.9917355371900827,0.7597533212978316,14,13,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D,PPP2R5B;PPP2R5A;PPP2R5E;APC;PPP2CB;GSK3B;AXIN1;PPP2R5C;PPP2R1A;CSNK1A1;PPP2R1B;PPP2CA;PPP2R5D
Diseases of signal transduction by growth factor receptors and second messengers,0.21087709236137003,1.1990371113187612,0.046,0.7598015352098464,384,287,KIT;LMNA;KANK1;HSP90AA1;IRS1;ITGA2B;ITGB3;MYO18A;MIB2;MAPK3;MRAS;EGFR;CPSF6;CTBP1;CTBP2;HDAC1;HDAC2;HDAC4;FAM114A2;ERLIN2;ESRP1;FIP1L1;FXR1;GAB1;FGA;FGB;FGF2;FGG;STAT5A;STAT5B;SRC;SHC1;SNW1;SND1;VWF;VCL;TLN1;TRIM24;TSC2;PPP2R5B;PPP2R5A;PPP1CC;PTPN11;PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PDGFRA;PDGFRB;POLR2F;POLR2G;PIK3R1;RAP1A;RAP1B;CDKN1B;ARRB1;BCR;CAMK2G;CAMK2D;CAMK2B;CAMK2A;BIN2;POLR2E;MAML2;FYN;PSMA8;FKBP1A;NCBP2;PHB;ARRB2;STAT1;RBX1;YES1;OS9;PSMD14;PPP2R5E;PSMA1;PSMB3;YWHAB;NCBP1;BAD;ZC3HAV1;PSMD3;PSMC1;PSMF1;TBL1XR1;PSEN1;PEBP1;MARK3;AGK;PPP1CB;GTF2F1;RICTOR;PSMD7;MAPK1;MTOR;PSMD13;SKP1;CDC37;PLCG1;PSMD6;EP300;RHOG;RAF1;LRP5;APH1A;HGF;RAC1;MLST8;QKI;AKT3;PIK3CD;HDAC5;FGFR1OP2;ADAM17;KAT2B;FGFR2;POLR2B;ESR1;AKT2;PDPK1;NCOR1;NCOR2;LRP6;DERL2;POLR2I;MPRIP;NCSTN;RAC2;APC;PIK3CB;BAG4;NRAS;FGFR1;CASP9;HDAC6;PTPN12;ERBIN;HDAC10;GRB2;MAP2K1;PPP2CB;PAPSS1;ARAF;JAK2;PSMD9;TNKS;PSMA6;JAG1;MAP2K2;GSK3B;AKAP9;PSMC6;TGFBR1;NF1;ETV6;NOTCH1;MIB1;AKT1;RPS6KB2;SOS1;PIK3R2;POLR2H;CREBBP;PSMD2;PSMB2;PTEN;FGFR3;APBB1IP;CTNNB1;RPS27A;FZD6;POLR2K;FGF17;FOXO1;PSMD5;TGFB1;ZFYVE9;CUL1;PSMA2;BRAF;KSR1;POLR2L;ERBB3;DUSP6;ERLEC1;ERBB4;KAT2A;SMAD3;POLR2D;STRN;CSK;LYN;PSMB8;MAPKAP1;AXIN1;PPP2R5C;PSMB10;ZMYM2;BCL2L11;RBPJ;LRRFIP1;CHUK;PSMB5;HDAC3;CNKSR1;HDAC7;CUX1;AKT1S1;FOXO6;CDKN1A;FOXO3;PSMA3;PPP2R1A;FRS2;FGFR1OP;DUSP9;MET;UBB;PORCN;PSMB6;STAT3;MAP3K11;TBL1X;CREB1;ADAM10;PIK3CA;PSMD11;GTF2F2;PSMB4;TGFBR2;KRAS;CSNK1A1;PSME4;SEL1L;PPP2R1B;FOXO4;SMAD4;IRS2;PSMC5;UBA52;HRAS;CD19;AGTRAP;AP3B1;FN1;CNTRL;GSK3A;PPP2CA;PIK3AP1;IQGAP1;VCP;SPRED1;SYVN1;PPP2R5D;CDK8;SHOC2;PSMC4;POLR2C;SMAD2;CBL;PSMD10;GOLGA4;TCF7L2;PSMB1;VAV1;PSMB9;MAML1;WDR48;FGF4;DKK4;PSMD4;HDAC8;CLCN6;BRAP;FGF20;ATG7;ERBB2;GAB2,KIT;LMNA;KANK1;HSP90AA1;IRS1;ITGA2B;ITGB3;MYO18A;MIB2;MAPK3;MRAS;EGFR;CPSF6;CTBP1;CTBP2;HDAC1;HDAC2;HDAC4;FAM114A2;ERLIN2;ESRP1;FIP1L1;FXR1;GAB1;FGA;FGB;FGF2;FGG;STAT5A;STAT5B;SRC;SHC1;SNW1;SND1;VWF;VCL;TLN1;TRIM24;TSC2;PPP2R5B;PPP2R5A;PPP1CC;PTPN11;PSMA4;PSMA5;PSMA7;PSMB7;PSMC2;PSMC3;PSMD1;PSMD12;PSMD8;PSME1;PSME2;PSME3;PDGFRA;PDGFRB;POLR2F;POLR2G;PIK3R1;RAP1A;RAP1B;CDKN1B;ARRB1;BCR;CAMK2G;CAMK2D;CAMK2B;CAMK2A;BIN2;POLR2E;MAML2;FYN;PSMA8;FKBP1A;NCBP2;PHB;ARRB2;STAT1;RBX1;YES1;OS9;PSMD14;PPP2R5E;PSMA1;PSMB3;YWHAB;NCBP1;BAD;ZC3HAV1;PSMD3;PSMC1;PSMF1;TBL1XR1;PSEN1;PEBP1;MARK3;AGK;PPP1CB;GTF2F1;RICTOR;PSMD7;MAPK1;MTOR;PSMD13;SKP1;CDC37;PLCG1;PSMD6;EP300;RHOG;RAF1;LRP5;APH1A;HGF;RAC1;MLST8;QKI;AKT3;PIK3CD;HDAC5;FGFR1OP2;ADAM17;KAT2B;FGFR2;POLR2B;ESR1;AKT2;PDPK1;NCOR1;NCOR2;LRP6;DERL2;POLR2I;MPRIP;NCSTN;RAC2;APC;PIK3CB;BAG4;NRAS;FGFR1;CASP9;HDAC6;PTPN12;ERBIN;HDAC10;GRB2;MAP2K1;PPP2CB;PAPSS1;ARAF;JAK2;PSMD9;TNKS;PSMA6;JAG1;MAP2K2;GSK3B;AKAP9;PSMC6;TGFBR1;NF1;ETV6;NOTCH1;MIB1;AKT1;RPS6KB2;SOS1;PIK3R2;POLR2H;CREBBP;PSMD2;PSMB2;PTEN;FGFR3;APBB1IP;CTNNB1;RPS27A;FZD6;POLR2K;FGF17;FOXO1;PSMD5
