t	N
0	150
0.004326549055793548	151
0.1976825252425915	152
0.7770575017322845	151
0.9936923607550756	152
1.0302566449612787	151
1.214573917898278	150
1.443420135839336	151
1.5071251532878729	152
1.7493976653318186	151
1.9422462399046285	150
2.173029075766238	151
2.25320162506397	152
2.516511278549304	153
3.31497165869997	152
3.3435256200814125	153
3.559172134534338	154
3.656854631927339	153
3.898838015757706	152
4.178645715541994	153
4.344387389363613	152
4.604436524396647	153
5.306690189569181	154
5.534377527752239	153
5.6996077258769	152
6.129723977741142	153
6.220905102188635	152
6.609200178234003	151
6.816401717445496	150
6.836780188391745	151
6.982600905214439	150
7.029334135763368	149
7.24303279276069	148
8.047699810937322	149
8.859296627654713	150
9.017774882313672	151
9.426834027324436	150
9.445399706723316	149
10.093497812204511	148
10.179379039339503	147
10.284616382462056	146
10.514053762008668	145
10.58264845925928	146
10.950047082996866	147
11.209062612421953	146
11.368050944559053	145
11.437418595232685	146
11.453833951360938	147
11.518005981325508	146
11.745915077614363	145
11.892632440564938	144
11.976071480850297	143
12.083801394496646	144
12.144219310623772	145
12.19064012991236	144
12.595724949082502	143
12.654837962008596	144
13.040403514046561	143
13.298809355815434	144
13.435205392005168	143
13.466582073881533	144
13.57380124923793	143
13.835183984030273	144
14.290744199577377	145
14.644812834485112	144
14.666871203019625	143
14.726937680542637	144
14.793011840494058	143
15.11628382171952	144
15.165615292329333	143
15.265855274420067	144
15.493898876758559	145
15.675993881233213	144
16.444692561270056	145
16.608036527830617	144
16.89481875627438	145
16.95831498627874	146
17.776193890990356	147
17.929302572270323	148
18.256605478180862	147
18.424563548971058	146
18.65425887508748	147
18.72619683040178	148
18.749759773820234	149
18.814773396231622	148
18.90606875550399	149
18.908250617086246	148
19.143637980589702	147
19.15750527349999	148
19.167008633813985	147
19.301489229089192	146
19.40014587411751	147
19.6119876240826	148
20.20141778396638	147
20.436732673182302	146
20.454415606963593	145
20.780299094968203	146
20.803023224025658	147
21.237352187893322	148
21.35535151143684	147
21.574580516000324	148
21.772673810712135	147
21.84119286727405	148
22.188340269499832	147
22.315967634056374	146
22.411880532435706	145
22.55932027149769	144
22.804695009433356	145
22.890019223829427	146
23.25094170896311	147
23.31610920669406	148
23.48412356931425	147
23.819816822223668	146
23.895084824076175	145
24.043749373365014	146
24.07089337225867	145
24.087807448092626	144
24.424695752487946	145
24.502996065072708	144
24.62089304673863	145
24.791342910173533	144
24.98537920508222	143
25.018497280637973	144
25.269643935438975	145
25.304152021183494	146
25.439400471707884	145
25.463373828918265	146
25.491256220391808	145
25.820282310825693	146
25.994005152731546	145
26.109847942586732	146
26.17327438361229	145
26.538285232177973	146
26.569453766653737	145
27.073319918624765	146
27.157522585290334	147
27.3437817689881	148
27.386377849123352	149
27.442446726639396	148
27.624133120146077	149
27.647807229522922	148
27.97548333239537	149
28.205066401812125	150
28.28281389617722	151
28.492354381726393	152
28.882996961532474	151
28.952168364520972	150
29.180687554484823	149
29.316100858783667	150
29.549526541364923	151
30.51451166413709	152
30.564743356994743	153
30.667121712980556	154
30.774898470552692	153
30.841477546347065	152
31.044111596043827	153
31.11408337703566	152
31.253372178746393	151
31.352513909303912	152
31.437767732060284	151
31.790030968720092	150
31.895406177328976	151
32.014437942695636	150
32.051253923224834	149
32.20919507611362	150
32.232341722048304	151
32.51429188017524	152
32.642435389082834	153
32.70880518030706	154
32.89814517089528	155
33.05663796836447	156
33.08859602368319	157
33.345180771345845	158
33.377178354811505	157
33.50414004250815	156
33.984272375173084	157
33.99105485685494	158
34.72136814043074	157
34.8839888947764	156
35.251623038412504	157
35.281930997848775	156
35.304610007414034	157
35.366776299922485	158
35.68506462201559	157
35.81531967764948	156
35.81953071079686	155
36.029316297871055	156
36.20344988448329	155
36.23725021863035	156
36.259243355762514	157
36.34017136326329	158
36.3653660670334	159
36.374641459639484	160
36.41248638997471	159
36.45608465804777	158
36.983632353401305	159
37.639389009635295	158
37.827414837102346	157
37.97958719707327	158
38.059677560565355	159
38.40564560216307	160
38.452289649211544	161
38.60936533927716	162
38.636518788381345	161
38.703769237237125	162
38.73264105158542	161
38.82584093069916	162
38.86079084403071	161
39.11619082272362	160
39.26369734028099	159
39.264137697318944	158
39.5580161659412	157
39.95416343120196	158
40.62182760901608	157
40.63110039573564	156
40.702790044029726	155
40.863723497754506	156
41.36495689050118	157
41.45657867334538	156
41.48056314909924	155
41.689724813305695	156
41.81894846868088	157
42.16850303335589	156
42.31716078532554	155
42.52180459955261	156
42.619472737917036	155
42.74946461272453	154
43.067602192944705	155
43.06861553524303	156
43.21418969177586	155
43.25184163850596	154
43.87379136541468	153
43.877757162513106	154
44.044859637195565	155
44.43147920649252	156
44.52059848232633	155
44.68802298625996	154
44.700682353605885	155
44.896326031764524	154
44.973922652173115	153
45.18060646722957	152
45.52265248651722	153
46.27711450178562	154
46.36659366241187	155
46.44365725083563	156
46.953781204721786	155
46.95805398320891	156
47.02781046446015	155
47.2816530687995	154
47.28572840509502	155
47.61348129546956	154
47.90114199568934	153
48.1701367539697	152
48.26724668453743	153
48.342576777236445	154
48.440366580117335	155
48.92814321383846	156
49.00816350695018	155
49.150731588670276	154
49.37610607785547	153
49.88384407897149	154
49.95004695472275	153
50.072688163409815	152
50.25348782964187	153
50.3224970797391	154
51.17744642410837	155
52.253241897125186	156
52.42138179578487	157
52.89165122847933	156
52.97098285755445	157
53.22064051669519	158
53.45791340093152	157
53.538159578658664	158
53.83111782988657	159
53.944976254532925	158
53.99247770642806	159
54.643345494604695	160
54.816565046212936	161
54.980005394112894	162
55.1904114457578	163
55.19906896954941	162
55.33866957832819	163
55.39168762670132	164
55.72695713605512	165
56.073530719191766	164
56.18876309967888	163
56.50390209837695	162
56.67749735095662	163
56.7533334691847	164
56.91954489235997	165
57.13470089146451	164
57.541662884041294	163
57.687150287442925	164
58.09698622608288	163
58.52650945387796	164
58.771706511469475	163
59.26033370496574	164
59.649197580878315	165
59.809073081390146	166
59.84708462223268	165
59.89626699985887	164
60.09018693268983	163
60.26971026947021	164
60.30349883690282	165
60.361888751169936	166
60.52793472900359	165
60.59961212061532	166
60.6033203856409	167
60.686774141520246	168
60.75562848049624	167
60.868777917130586	166
60.93028728130725	165
61.18128496024717	166
61.745489949321914	167
61.81234902418441	166
61.889954217773486	165
62.61339913210474	164
63.071821475423064	163
63.12473034316161	162
63.44674070317935	163
63.77084930112133	162
63.84246819952042	161
63.8615969830515	160
63.952896073627244	159
64.12963611458738	158
64.15868646319413	157
64.17510274950493	156
64.30338309083076	157
64.30521931282115	156
64.45625745186018	157
