Term	es	nes	pval	fdr	geneset_size	matched_size	genes	ledge_genes	cancer_type
GnRH signaling pathway	0.44630100473220463	1.319473973034936	0.02258064516129032	0.12663562541905685	93	72	MAPK3;MMP14;PLCB1;ITPR3;JMJD7-PLA2G4B;CALM1;MAP2K6;GNA11;MAP3K2;PLCB4;CAMK2G;PTK2B;MAPK9;MAPK8;PRKACA;GNAQ;SRC;KRAS;PRKCB;MAP2K7;JUN;EGFR;GRB2;MAP2K3;MAP3K4;MAPK13;PLCB2;PRKACB;GNAS;CALML3;RAF1;MAP2K2;MMP2;CDC42;PLD2;ITPR2;PRKCD;MAP2K4;CALML5;SOS1;MAPK7;NRAS;MAPK1;PLD1;SOS2;CAMK2A;ITPR1;PRKCA;PLA2G4C;ADCY4;MAP3K1;CAMK2B;CACNA1S;MAPK12;MAPK14;ADCY9;MAP3K3;CALML4;MAPK11;CAMK2D;PLA2G4F;ELK1;PLCB3;ADCY6;ADCY3;PLA2G4E;HRAS;CACNA1F;PLA2G4A;MAP2K1;ADCY7;PLA2G4D	MAPK3;MMP14;PLCB1;ITPR3;JMJD7-PLA2G4B;CALM1;MAP2K6;GNA11;MAP3K2;PLCB4;CAMK2G;PTK2B;MAPK9;MAPK8;PRKACA;GNAQ;SRC;KRAS;PRKCB;MAP2K7;JUN;EGFR;GRB2;MAP2K3;MAP3K4;MAPK13;PLCB2;PRKACB;GNAS;CALML3	hnscc
ABC transporters	0.4820059943689716	1.318714697809893	0.1	0.12663748868814578	45	29	ABCA8;TAP2;TAP1;ABCD1;ABCA12;ABCB6;ABCB7;ABCC5;ABCD3;ABCC10;ABCG1;DEFB1;ABCC2;ABCA3;ABCG2;ABCC9;ABCA7;ABCB10;ABCC3;ABCG4;ABCB8;ABCA2;ABCA6;ABCD4;ABCC4;ABCA5;ABCA1;ABCB1;CFTR	ABCA8;TAP2;TAP1;ABCD1;ABCA12;ABCB6;ABCB7	hnscc
Wnt signaling pathway	0.43162292768735855	1.3197065991462666	0.0064516129032258064	0.1270265076834241	158	110	PLCB1;CACYBP;SFRP1;CSNK2A2;MAP3K7;PLCB4;CSNK2A1;SERPINF1;CTBP1;PPP3R1;DVL3;FZD6;PSEN1;TBL1XR1;TPTEP2-CSNK1E;CREBBP;CAMK2G;SFRP4;MAPK9;CHD8;CSNK2B;MAPK8;DVL2;PRKACA;RUVBL1;RBX1;DVL1;CSNK1A1;CUL1;PPP3CA;RAC2;PRKCB;JUN;CTNNB1;EP300;PLCB2;PRKACB;SMAD4;RAC1;GSK3B;PPP3CB;APC;CTNNBIP1;WNT5A;GPC4;SKP1;NFATC2;NFATC1;RHOA;PPP3CC;SFRP2;ROCK2;CTBP2;MMP7;NFATC4;SMAD3;FBXW11;CAMK2A;VANGL2;DAAM1;TP53;NFATC3;PRKCA;CAMK2B;LEF1;SENP2;FZD7;PRICKLE2;WNT11;INVS;MYC;ROR2;WNT7A;LGR5;WNT5B;SIAH1;TBL1X;CAMK2D;FZD1;TCF7;WIF1;CCND1;WNT7B;CCND2;WNT10A;PRICKLE3;RAC3;LRP6;WNT2;WNT8A;WNT4;PLCB3;NOTUM;PORCN;WNT2B;WNT10B;CCND3;DKK1;BTRC;TCF7L2;FOSL1;NKD2;VANGL1;PPARD;LGR4;DAAM2;CXXC4;LRP5;AXIN1;WNT3A	PLCB1;CACYBP;SFRP1;CSNK2A2;MAP3K7;PLCB4;CSNK2A1;SERPINF1;CTBP1;PPP3R1;DVL3;FZD6;PSEN1;TBL1XR1;TPTEP2-CSNK1E;CREBBP;CAMK2G;SFRP4;MAPK9;CHD8;CSNK2B;MAPK8;DVL2;PRKACA;RUVBL1;RBX1;DVL1;CSNK1A1;CUL1;PPP3CA;RAC2;PRKCB;JUN	hnscc
Parathyroid hormone synthesis, secretion and action	0.4484743813002068	1.3198665301247585	0.01935483870967742	0.1274871295731014	106	75	MAPK3;MMP14;PLCB1;ARHGEF1;ITPR3;GNA11;PLCB4;ARRB1;PDE4D;SLC9A3R1;GNAI2;JUND;PRKACA;RXRB;GNA13;ARRB2;GNAQ;GNAI1;PRKCB;CREB1;EGFR;NACA;AKAP13;PLCB2;SP1;PRKACB;GNAS;VDR;RAF1;BRAF;ARHGEF11;RHOA;PLD2;ITPR2;ATF2;GNAI3;MAPK1;MMP13;PLD1;GNA12;MEF2A;ITPR1;CREB3L4;PRKCA;RXRA;ADCY4;CREB5;MAFB;CYP24A1;ADCY9;RUNX2;MMP25;PTHLH;MEF2C;FOS;ARAF;SLC34A2;LRP6;ATF6B;PLCB3;FGFR1;SLC34A3;ADCY6;ADCY3;BGLAP;PDE4A;MEF2D;MMP15;PDE4B;LRP5;MAP2K1;CDKN1A;ADCY7;CYP27B1;BCL2	MAPK3;MMP14;PLCB1;ARHGEF1;ITPR3;GNA11;PLCB4;ARRB1;PDE4D;SLC9A3R1;GNAI2;JUND;PRKACA;RXRB;GNA13;ARRB2;GNAQ;GNAI1;PRKCB;CREB1;EGFR;NACA;AKAP13;PLCB2;SP1;PRKACB;GNAS	hnscc
Melanogenesis	0.4497830866432974	1.3204362569678285	0.01935483870967742	0.1277705832914693	101	66	MAPK3;PLCB1;CALM1;PLCB4;DVL3;FZD6;CREBBP;CAMK2G;GNAI2;DVL2;PRKACA;DVL1;GNAQ;KRAS;GNAI1;PRKCB;CREB1;CTNNB1;GNAO1;EP300;PLCB2;PRKACB;GNAS;CALML3;GSK3B;RAF1;MAP2K2;WNT5A;CALML5;GNAI3;NRAS;MAPK1;CAMK2A;CREB3L4;MITF;PRKCA;ADCY4;CAMK2B;LEF1;FZD7;KIT;WNT11;WNT7A;ADCY9;CALML4;WNT5B;CAMK2D;FZD1;TCF7;WNT7B;WNT10A;WNT2;WNT8A;WNT4;PLCB3;ADCY6;ADCY3;WNT2B;WNT10B;HRAS;KITLG;TCF7L2;MAP2K1;WNT3A;ADCY7;POMC	MAPK3;PLCB1;CALM1;PLCB4;DVL3;FZD6;CREBBP;CAMK2G;GNAI2;DVL2;PRKACA;DVL1;GNAQ;KRAS;GNAI1;PRKCB;CREB1;CTNNB1;GNAO1;EP300;PLCB2;PRKACB;GNAS;CALML3;GSK3B;RAF1;MAP2K2;WNT5A	hnscc
Circadian rhythm	0.4784919254969635	1.3139456685721613	0.08441558441558442	0.12778478738803323	31	25	CSNK1D;TPTEP2-CSNK1E;PRKAB1;PRKAA2;PRKAB2;RBX1;CUL1;CREB1;PRKAG1;SKP1;PRKAA1;FBXW11;CRY2;NR1D1;FBXL3;PRKAG2;CRY1;CLOCK;PER3;ARNTL;RORA;BHLHE40;BTRC;PER2;PER1	CSNK1D;TPTEP2-CSNK1E;PRKAB1;PRKAA2;PRKAB2;RBX1;CUL1;CREB1;PRKAG1	hnscc
One carbon pool by folate	0.5193967610201772	1.3117804229494647	0.08116883116883117	0.1278359967020828	20	17	MTHFD1L;SHMT1;ALDH1L1;MTHFD2;MTR;SHMT2;TYMS;DHFR;GART;MTFMT;MTHFD1;MTHFS;ATIC;MTHFR;ALDH1L2;AMT;MTHFD2L	MTHFD1L;SHMT1;ALDH1L1;MTHFD2;MTR;SHMT2;TYMS	hnscc
Base excision repair	0.4732747190997479	1.3131011189455444	0.0935483870967742	0.12803276845203584	33	30	FEN1;POLE3;MPG;APEX1;PCNA;PARP1;LIG1;MBD4;POLD3;POLD1;LIG3;POLD2;XRCC1;PARP2;NTHL1;POLD4;PARP4;HMGB1;POLB;POLE4;MUTYH;NEIL1;POLE;TDG;APEX2;NEIL2;SMUG1;UNG;POLE2;POLL	FEN1;POLE3;MPG;APEX1;PCNA;PARP1;LIG1;MBD4;POLD3;POLD1;LIG3;POLD2;XRCC1;PARP2	hnscc
Asthma	0.4817155694618492	1.3208027310995916	0.22336769759450173	0.12810677638942253	31	18	FCER1G;RNASE3;EPX;CD40;PRG2;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DRB3;HLA-DMA;HLA-DRB4;HLA-DOA;HLA-DOB	FCER1G;RNASE3;EPX;CD40;PRG2;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB5;HLA-DQA1	hnscc
Estrogen signaling pathway	0.4378779325716541	1.312181278400931	0.00967741935483871	0.12815310853193593	137	97	MAPK3;KRT13;PLCB1;ITPR3;KRT17;HSP90AB1;HSPA1A;CALM1;KRT15;PLCB4;KRT31;HSP90AA1;KRT14;MMP9;KRT16;AKT2;GNAI2;HSP90B1;SHC1;PRKACA;PIK3CB;NCOA3;PIK3CD;GNAQ;SRC;KRAS;FKBP4;GNAI1;JUN;PIK3CA;CREB1;HSPA2;EGFR;GRB2;GNAO1;PLCB2;SP1;PRKACB;GNAS;FKBP5;CALML3;KRT36;RAF1;MAP2K2;NOS3;KRT24;MMP2;KRT19;ITPR2;KRT10;PRKCD;KRT18;ATF2;PIK3R1;CALML5;SOS1;CTSD;AKT1;KRT23;EBAG9;NCOA2;GNAI3;NRAS;MAPK1;SOS2;AKT3;KRT9;ITPR1;CREB3L4;KRT27;ADCY4;CREB5;HSPA6;ADCY9;CALML4;HSPA8;KRT20;NCOA1;FOS;PGR;KRT26;KRT25;ATF6B;PLCB3;ADCY6;ADCY3;KRT12;KRT32;HRAS;KRT34;PIK3R2;HSPA1L;RARA;MAP2K1;ADCY7;POMC;BCL2	MAPK3;KRT13;PLCB1;ITPR3;KRT17;HSP90AB1;HSPA1A;CALM1;KRT15;PLCB4;KRT31;HSP90AA1;KRT14;MMP9;KRT16;AKT2;GNAI2;HSP90B1;SHC1;PRKACA;PIK3CB;NCOA3;PIK3CD;GNAQ;SRC;KRAS;FKBP4;GNAI1;JUN;PIK3CA;CREB1;HSPA2;EGFR;GRB2;GNAO1;PLCB2;SP1;PRKACB;GNAS;FKBP5;CALML3	hnscc
Breast cancer	0.4412788721437763	1.3077677165215054	0.01935483870967742	0.12992725478368533	147	91	MAPK3;FGF2;BAX;NFKB2;NOTCH2;RB1;CDK6;IGF1R;DVL3;FZD6;FGF1;AKT2;SHC1;DVL2;DDB2;PIK3CB;DVL1;NCOA3;CSNK1A1;PIK3CD;KRAS;JAG1;JUN;ERBB2;PIK3CA;BAK1;EGFR;GRB2;CTNNB1;SP1;GSK3B;NOTCH3;APC;RAF1;MAP2K2;WNT5A;BRAF;PIK3R1;PTEN;SOS1;MTOR;AKT1;RPS6KB1;NRAS;MAPK1;SOS2;AKT3;TP53;LEF1;CDK4;FZD7;KIT;BRCA2;WNT11;MYC;HES1;WNT7A;E2F3;WNT5B;FGF3;FZD1;TCF7;NCOA1;CCND1;WNT7B;IGF1;POLK;FOS;PGR;WNT10A;FGF7;JAG2;BRCA1;ARAF;LRP6;WNT2;RPS6KB2;WNT8A;WNT4;FGFR1;NOTCH1;WNT2B;WNT10B;HRAS;TCF7L2;PIK3R2;LRP5;AXIN1;MAP2K1;CDKN1A;WNT3A	MAPK3;FGF2;BAX;NFKB2;NOTCH2;RB1;CDK6;IGF1R;DVL3;FZD6;FGF1;AKT2;SHC1;DVL2;DDB2;PIK3CB;DVL1;NCOA3;CSNK1A1;PIK3CD;KRAS;JAG1;JUN;ERBB2;PIK3CA;BAK1;EGFR;GRB2	hnscc
