Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
RNA transport,0.7262913609370847,4.400615292887282,0.0,0.011388242842248776,165,143,PABPC1;PABPC4;EEF1A1;ACIN1;DDX39B;EIF4G1;EEF1A2;THOC2;XPO1;RANGAP1;PABPC1L;RAN;MAGOH;XPO5;AAAS;SUMO2;EIF3E;SUMO3;EIF2S3;RPP40;SAP18;NUP210;THOC3;PNN;EIF3G;NUP205;RBM8A;THOC1;TRNT1;EIF5B;EIF4A3;RAE1;NUP153;TPR;UPF2;EIF4A1;EIF2S2;UPF1;SRRM1;SMN1;EIF2S1;PRMT5;STRAP;EIF4E2;NUP98;EIF3A;EIF3C;RPP14;XPOT;EIF4A2;NUP160;NUP54;NDC1;DDX20;NUP133;ALYREF;EIF2B5;EIF3I;EIF1AX;RNPS1;EIF5;NUP50;RPP30;NUP37;NUP88;EIF4B;SUMO1;EIF2B2;FXR1;POM121C;RANBP2;NUP62;NUP107;KPNB1;POP7;FMR1;EIF3J;EIF3B;EIF4G3;SEC13;NCBP2;NUP58;EIF3D;PAIP1;NCBP1;UBE2I;THOC5;NUP43;EIF2B4;EIF4G2;NUP214;RPP38;POM121;NUP35;EIF1B;NXF1;EIF1;ELAC2;FXR2;UPF3B;GEMIN2;PABPC4L;EIF3H;EIF2B1;THOC6;POP4;NUP93;NUPL2;EIF4E;EIF2B3;NMD3;NUP85;NXT1;CYFIP2;SENP2;PYM1;NUP188;EIF3F;GEMIN4;GEMIN8;GEMIN5;RPP25L;THOC7;SNUPN;NXF2B;CYFIP1;RPP25;CLNS1A;CASC3;POP1;ELAC1;NUP155;PHAX;NXT2;UPF3A;EIF4EBP2;GEMIN7;TACC3;SEH1L;TGS1;GEMIN6;EIF4EBP1;EIF4EBP3,PABPC1;PABPC4;EEF1A1;ACIN1;DDX39B;EIF4G1;EEF1A2;THOC2;XPO1;RANGAP1;PABPC1L;RAN;MAGOH;XPO5;AAAS;SUMO2;EIF3E;SUMO3;EIF2S3;RPP40;SAP18;NUP210;THOC3;PNN;EIF3G;NUP205;RBM8A;THOC1;TRNT1;EIF5B;EIF4A3;RAE1;NUP153;TPR;UPF2;EIF4A1;EIF2S2;UPF1;SRRM1;SMN1;EIF2S1;PRMT5;STRAP;EIF4E2;NUP98;EIF3A;EIF3C;RPP14;XPOT;EIF4A2;NUP160;NUP54;NDC1;DDX20;NUP133;ALYREF;EIF2B5;EIF3I;EIF1AX;RNPS1;EIF5;NUP50;RPP30;NUP37;NUP88;EIF4B;SUMO1;EIF2B2;FXR1;POM121C;RANBP2;NUP62;NUP107;KPNB1;POP7;FMR1;EIF3J;EIF3B;EIF4G3;SEC13;NCBP2;NUP58;EIF3D;PAIP1;NCBP1;UBE2I;THOC5;NUP43;EIF2B4;EIF4G2;NUP214;RPP38;POM121;NUP35;EIF1B;NXF1;EIF1;ELAC2;FXR2;UPF3B;GEMIN2;PABPC4L
Glutamatergic synapse,-0.609158034867101,-4.169861305182679,0.0,0.013956436992600723,114,59,GNG5;DLG4;SLC38A1;SLC38A2;ITPR3;GNB5;HOMER2;HOMER1;DLGAP1;PPP3R1;GLS;GNG10;PRKACG;GLS2;ITPR2;HOMER3;GRK3;SLC1A3;ADCY7;PPP3CA;GRK2;GLUL;PLCB2;SHANK2;PRKCA;PLA2G4A;JMJD7-PLA2G4B;GNG4;PRKACA;ADCY3;PLCB1;PLD1;MAPK1;PRKACB;PPP3CC;PRKCB;PPP3CB;SHANK3;GNB4;ADCY5;PLCB4;PLD2;GNB2;MAPK3;GNB1;GNG2;GNAS;ADCY6;GNAO1;GNAI2;PLCB3;GNAI3;GNG7;ITPR1;GNAQ;GNB3;GNAI1;GNG12;GNG11,PLD1;MAPK1;PRKACB;PPP3CC;PRKCB;PPP3CB;SHANK3;GNB4;ADCY5;PLCB4;PLD2;GNB2;MAPK3;GNB1;GNG2;GNAS;ADCY6;GNAO1;GNAI2;PLCB3;GNAI3;GNG7;ITPR1;GNAQ;GNB3;GNAI1;GNG12;GNG11
Aldosterone synthesis and secretion,-0.5496724526306072,-4.171567570487035,0.006944444444444444,0.01447334206640075,98,57,ATF1;ATP1A1;ATF2;CAMK1D;DAGLB;ITPR3;ATP1B1;ATP1A3;CREB1;ATP1B3;ATF6B;ATP1A2;NPR1;PRKD3;PRKACG;CYP11A1;PRKD1;ITPR2;PRKCE;SCARB1;CAMK4;ADCY7;HSD3B2;PDE2A;CACNA1F;CALM2;PLCB2;CACNA1S;CALML3;PRKCA;CALML5;PRKACA;ADCY3;LDLR;LIPE;PLCB1;PRKACB;CAMK1;PRKD2;PRKCB;ADCY5;PLCB4;CAMK2A;ATP2B2;ATP2B1;CAMK2B;CAMK2D;CAMK2G;ATP2B4;GNAS;ADCY6;PLCB3;ATP2B3;GNA11;ITPR1;GNAQ;AGT,CALML5;PRKACA;ADCY3;LDLR;LIPE;PLCB1;PRKACB;CAMK1;PRKD2;PRKCB;ADCY5;PLCB4;CAMK2A;ATP2B2;ATP2B1;CAMK2B;CAMK2D;CAMK2G;ATP2B4;GNAS;ADCY6;PLCB3;ATP2B3;GNA11;ITPR1;GNAQ;AGT
Chemokine signaling pathway,-0.5340684451575206,-4.18904094162818,0.0,0.014797544928688126,190,118,PRKCZ;STAT1;STAT2;GNG5;PAK1;NRAS;PIK3CB;PRKCD;GSK3B;VAV3;CXCR4;CHUK;CRK;JAK3;GNB5;VAV2;NFKBIB;KRAS;RHOA;WASL;CRKL;GSK3A;GRK5;BCAR1;SOS2;TIAM1;PTK2;VAV1;GNG10;CCL20;PRKACG;HRAS;PARD3;CXCL13;CXCL10;STAT3;PIK3CA;GRK6;FOXO3;GRK3;IKBKB;ADCY7;CXCL16;LYN;BRAF;CDC42;GRK2;SOS1;JAK2;PLCB2;PIK3CG;PIK3R2;AKT1;PTK2B;HCK;CCL5;NCF1;MAP2K1;GRB2;FGR;PREX1;RAF1;DOCK2;RAC2;GNG4;PRKACA;RELA;PXN;ELMO1;AKT2;ADCY3;PIK3CD;RAC1;PLCB1;BAD;NFKBIA;AKT3;NFKB1;WAS;MAPK1;PRKACB;IKBKG;CCL21;ARRB2;PRKCB;GNB4;ADCY5;PLCB4;SHC1;RASGRP2;SRC;CXCL14;RAC3;GNB2;MAPK3;PIK3R1;RAP1B;GNB1;GNG2;CCL14;ADCY6;ROCK1;GNAI2;ARRB1;PLCB3;PF4V1;PPBP;RAP1A;GNAI3;GNG7;ROCK2;PF4;GNB3;CXCL12;GNAI1;STAT5B;GNG12;GNG11,MAP2K1;GRB2;FGR;PREX1;RAF1;DOCK2;RAC2;GNG4;PRKACA;RELA;PXN;ELMO1;AKT2;ADCY3;PIK3CD;RAC1;PLCB1;BAD;NFKBIA;AKT3;NFKB1;WAS;MAPK1;PRKACB;IKBKG;CCL21;ARRB2;PRKCB;GNB4;ADCY5;PLCB4;SHC1;RASGRP2;SRC;CXCL14;RAC3;GNB2;MAPK3;PIK3R1;RAP1B;GNB1;GNG2;CCL14;ADCY6;ROCK1;GNAI2;ARRB1;PLCB3;PF4V1;PPBP;RAP1A;GNAI3;GNG7;ROCK2;PF4;GNB3;CXCL12;GNAI1;STAT5B;GNG12;GNG11
Cortisol synthesis and secretion,-0.5756494380705786,-4.154205100417824,0.007042253521126761,0.014912533136001875,65,30,ATF2;SP1;NCEH1;ITPR3;CREB1;PBX1;ATF6B;PRKACG;CYP11A1;ITPR2;SCARB1;ADCY7;HSD3B2;CACNA1F;PLCB2;CACNA1S;PRKACA;ADCY3;LDLR;PLCB1;PRKACB;ADCY5;PLCB4;GNAS;ADCY6;PLCB3;GNA11;ITPR1;GNAQ;AGT,PRKACA;ADCY3;LDLR;PLCB1;PRKACB;ADCY5;PLCB4;GNAS;ADCY6;PLCB3;GNA11;ITPR1;GNAQ;AGT
cAMP signaling pathway,-0.5328164204399449,-4.171857583408845,0.0,0.015030009068954625,212,98,PPP1CA;PPP1CC;EP300;PAK1;PPP1CB;PIK3CB;ABCC4;ATP1A1;CREBBP;VAV3;ATP1B1;ACOX1;ATP1A3;VAV2;CREB1;AFDN;RHOA;ATP1B3;RAPGEF3;ATP1A2;TIAM1;SOX9;NPR1;VAV1;PRKACG;RYR2;JUN;ATP2A2;PDE4B;PIK3CA;CAMK4;ADCY7;BRAF;CACNA1F;ARAP3;PDE4C;CALM2;CACNA1S;CALML3;PIK3R2;SST;AKT1;RAPGEF4;MAP2K2;MAP2K1;PPP1R1B;RAF1;CALML5;ACOX3;RAC2;PRKACA;RELA;AKT2;ADCY3;PIK3CD;RAC1;LIPE;BAD;NFKBIA;AKT3;NFKB1;PLD1;MAPK1;PRKACB;PDE3A;PDE4D;SLC9A1;NFATC1;EDNRA;ADCY5;CAMK2A;NPY;PLD2;ATP2B2;MAPK8;MYL9;ATP2B1;CAMK2B;CAMK2D;MAPK9;RAC3;RRAS2;MAPK3;PIK3R1;CAMK2G;RAP1B;ATP2B4;GNAS;ADCY6;PPP1R12A;ROCK1;GNAI2;ATP2B3;RAP1A;GNAI3;ROCK2;GNAI1;RRAS,RAF1;CALML5;ACOX3;RAC2;PRKACA;RELA;AKT2;ADCY3;PIK3CD;RAC1;LIPE;BAD;NFKBIA;AKT3;NFKB1;PLD1;MAPK1;PRKACB;PDE3A;PDE4D;SLC9A1;NFATC1;EDNRA;ADCY5;CAMK2A;NPY;PLD2;ATP2B2;MAPK8;MYL9;ATP2B1;CAMK2B;CAMK2D;MAPK9;RAC3;RRAS2;MAPK3;PIK3R1;CAMK2G;RAP1B;ATP2B4;GNAS;ADCY6;PPP1R12A;ROCK1;GNAI2;ATP2B3;RAP1A;GNAI3;ROCK2;GNAI1;RRAS
Apelin signaling pathway,-0.5433652154087918,-4.192205306585815,0.0,0.015197009169720785,137,98,RPS6;PRKAG2;TFAM;GNG5;PRKAB1;NRAS;CDH1;ITPR3;GNB5;PRKAG1;KRAS;NRF1;GABARAP;SMAD2;PIK3R4;GNG10;SPP1;SPHK2;PRKACG;HRAS;SMAD4;PRKAB2;RYR2;ITPR2;PRKCE;GABARAPL2;PIK3C3;CAMK4;ADCY7;SMAD3;PRKAA2;JAG1;CALM2;PLCB2;PIK3CG;RYR1;SERPINE1;RPS6KB2;CALML3;AKT1;PRKAA1;RYR3;MAP2K2;TGFBR1;MEF2C;MAP2K1;MYL2;RPS6KB1;HDAC5;RAF1;NOTCH3;CALML5;PLIN1;GNG4;PRKACA;AKT2;ADCY3;MYL4;LIPE;PLCB1;AKT3;MTOR;MAPK1;PRKACB;SLC9A1;GNB4;ADCY5;PLCB4;MYL3;SLC8A1;BECN1;MEF2A;ACTA2;RRAS2;GNB2;MAPK3;GNB1;GNG2;ADCY6;HDAC4;PLAT;MYLK2;GNA13;NOS3;MEF2D;GNAI2;PLCB3;GNAI3;GNG7;MRAS;ITPR1;GNAQ;GNB3;MYLK;GNAI1;GNG12;RRAS;GNG11,CALM2;PLCB2;PIK3CG;RYR1;SERPINE1;RPS6KB2;CALML3;AKT1;PRKAA1;RYR3;MAP2K2;TGFBR1;MEF2C;MAP2K1;MYL2;RPS6KB1;HDAC5;RAF1;NOTCH3;CALML5;PLIN1;GNG4;PRKACA;AKT2;ADCY3;MYL4;LIPE;PLCB1;AKT3;MTOR;MAPK1;PRKACB;SLC9A1;GNB4;ADCY5;PLCB4;MYL3;SLC8A1;BECN1;MEF2A;ACTA2;RRAS2;GNB2;MAPK3;GNB1;GNG2;ADCY6;HDAC4;PLAT;MYLK2;GNA13;NOS3;MEF2D;GNAI2;PLCB3;GNAI3;GNG7;MRAS;ITPR1;GNAQ;GNB3;MYLK;GNAI1;GNG12;RRAS;GNG11
Pathways in cancer,-0.42183573678108766,-4.134601232136499,0.0,0.015799286952483914,530,325,HSP90AB1;HSP90AA1;HDAC2;HDAC1;CASP3;HSP90B1;CCDC6;ELOB;MSH2;CASP8;EML4;MSH6;TPR;CTBP2;CTNNA1;STAT1;CTBP1;CTNNA2;BCL2L1;PML;STAT2;GNG5;VEGFA;EGLN1;SKP1;RXRB;RBX1;CDK2;EP300;TFG;TRAF2;PTGS2;NRAS;BAX;GSTP1;CKS2;PIK3CB;TGFB2;CASP9;PAX8;CASP7;TRAF5;MECOM;CREBBP;GSK3B;IL13RA1;SP1;CTNNB1;FZD6;DVL3;DVL1;CYCS;FH;CKS1B;CDKN2A;CUL1;ARNT2;CDH1;SLC2A1;CCND2;CXCR4;RB1;CHUK;BCL2L11;CRK;TP53;MSH3;TXNRD1;JAK3;RXRA;GNB5;ELOC;KRAS;DAPK2;JUP;ETS1;MLH1;RHOA;TGFB3;FN1;CRKL;ITGA3;DVL2;SKP2;LPAR2;IGF1;RUNX1;SMAD2;FAS;POLK;CBL;SOS2;FGF20;E2F3;TXNRD2;CCNE1;STK4;KEAP1;PTK2;ERBB2;TCF7L2;ITGAV;FGF4;IGF1R;WNT10A;APAF1;CUL2;GNG10;BAK1;MMP1;BIRC5;STAT4;TRAF6;MAX;PRKACG;HRAS;WNT7A;NFKB2;LAMC2;SMAD4;TGFBR2;GSTT2B;TXNRD3;GSTT2;RALA;LAMB3;MGST2;GSTA3;TRAF4;MET;RASSF5;BIRC2;LAMA1;JUN;TRAF1;NCOA4;TRAF3;STAT3;PIK3CA;BID;IKBKB;ADCY7;TCF7;AXIN1;NQO1;IGF2;SMAD3;CEBPA;BRAF;MMP2;CDC42;PTEN;JAG1;XIAP;CDK6;FOXO1;GSTA1;DAPK3;CDK4;NOTCH1;VHL;MGST1;HMOX1;SOS1;LEF1;JAK2;CALM2;PLCB2;IFNGR1;ARHGEF1;TGFB1;NCOA3;FGF17;ARAF;RPS6KB2;CALML3;CDKN1A;PIK3R2;AKT1;ELK1;KIF7;FGFR3;RALBP1;PRKCA;MGST3;PLCG2;GSTO1;MAP2K2;TGFBR1;WNT11;LAMC3;FADD;MAP2K1;GRB2;FGFR2;FZD3;RPS6KB1;RAF1;ESR1;NOTCH3;CALML5;FGFR1;RAC2;GNG4;HGF;ZBTB17;FZD1;PRKACA;RELA;LAMA3;WNT5A;APC;AR;AKT2;ITGA2;ADCY3;LRP6;PIK3CD;PLCG1;RAC1;DAPK1;PLCB1;BAD;FZD7;ZBTB16;NFKBIA;FZD2;AKT3;NFKB1;MTOR;DDB2;PLD1;MAPK1;PRKACB;LRP5;IKBKG;RPS6KA5;PRKCB;NCOA1;ARNT;KIT;RALB;GNB4;EDNRA;BCL2;ADCY5;PLCB4;GSTA4;CAMK2A;WNT4;BCR;TPM3;GSTM1;ARHGEF11;GSTT1;ARHGEF12;MAPK8;RASGRP2;LAMB1;CAMK2B;SUFU;GSTM4;CAMK2D;MAPK9;RAC3;WNT2B;GNA12;MMP9;GNB2;MAPK3;NOTCH2;STAT6;PIK3R1;CAMK2G;APPL1;CSF1R;GNB1;GSTM5;GNG2;GNAS;ADCY6;ABL1;GSTM2;FGF2;JAK1;GNA13;ROCK1;CDKN1B;LPAR1;GSTM3;MITF;GNAI2;COL4A3;PLCB3;ITGA2B;COL4A6;GNAI3;ITGB1;GNG7;ROCK2;IL6ST;GNA11;GNAQ;KNG1;GNB3;EGFR;ITGA6;CXCL12;PDGFRA;STAT5A;F2;GNAI1;AGT;STAT5B;GNG12;COL4A5;PDGFRB;LAMA4;LAMA2;LAMA5;COL4A2;COL4A1;LAMC1;GNG11;LAMB2,RAF1;ESR1;NOTCH3;CALML5;FGFR1;RAC2;GNG4;HGF;ZBTB17;FZD1;PRKACA;RELA;LAMA3;WNT5A;APC;AR;AKT2;ITGA2;ADCY3;LRP6;PIK3CD;PLCG1;RAC1;DAPK1;PLCB1;BAD;FZD7;ZBTB16;NFKBIA;FZD2;AKT3;NFKB1;MTOR;DDB2;PLD1;MAPK1;PRKACB;LRP5;IKBKG;RPS6KA5;PRKCB;NCOA1;ARNT;KIT;RALB;GNB4;EDNRA;BCL2;ADCY5;PLCB4;GSTA4;CAMK2A;WNT4;BCR;TPM3;GSTM1;ARHGEF11;GSTT1;ARHGEF12;MAPK8;RASGRP2;LAMB1;CAMK2B;SUFU;GSTM4;CAMK2D;MAPK9;RAC3;WNT2B;GNA12;MMP9;GNB2;MAPK3;NOTCH2;STAT6;PIK3R1;CAMK2G;APPL1;CSF1R;GNB1;GSTM5;GNG2;GNAS;ADCY6;ABL1;GSTM2;FGF2;JAK1;GNA13;ROCK1;CDKN1B;LPAR1;GSTM3;MITF;GNAI2;COL4A3;PLCB3;ITGA2B;COL4A6;GNAI3;ITGB1;GNG7;ROCK2;IL6ST;GNA11;GNAQ;KNG1;GNB3;EGFR;ITGA6;CXCL12;PDGFRA;STAT5A;F2;GNAI1;AGT;STAT5B;GNG12;COL4A5;PDGFRB;LAMA4;LAMA2;LAMA5;COL4A2;COL4A1;LAMC1;GNG11;LAMB2
Dilated cardiomyopathy (DCM),-0.6838161337711078,-4.192376587692104,0.0,0.01585774869883908,91,62,ITGB8;TGFB2;ITGB7;ITGB5;TGFB3;ITGA3;IGF1;ITGAV;PRKACG;RYR2;ATP2A2;ITGA4;CACNB1;ADCY7;CACNA1F;SGCA;TGFB1;CACNA1S;MYL2;MYH7;TNNC1;PRKACA;CACNB3;ITGA2;ADCY3;ITGB6;PRKACB;MYH6;TTN;SGCG;TPM4;ITGB4;ADCY5;ITGA11;ACTG1;ACTB;EMD;TPM3;MYL3;CACNA2D2;SLC8A1;ITGA9;LMNA;DAG1;GNAS;ADCY6;TPM2;TPM1;ITGA2B;SGCB;ITGB1;ITGB3;SGCD;ITGA5;ITGA6;CACNA2D1;ITGA1;AGT;DES;LAMA2;DMD;ITGA7,MYL2;MYH7;TNNC1;PRKACA;CACNB3;ITGA2;ADCY3;ITGB6;PRKACB;MYH6;TTN;SGCG;TPM4;ITGB4;ADCY5;ITGA11;ACTG1;ACTB;EMD;TPM3;MYL3;CACNA2D2;SLC8A1;ITGA9;LMNA;DAG1;GNAS;ADCY6;TPM2;TPM1;ITGA2B;SGCB;ITGB1;ITGB3;SGCD;ITGA5;ITGA6;CACNA2D1;ITGA1;AGT;DES;LAMA2;DMD;ITGA7
Phenylalanine metabolism,-0.6870844861196452,-4.1167013668213395,0.0,0.015946991440434283,17,11,MIF;IL4I1;GOT2;DDC;GOT1;ALDH3A1;ALDH3B1;ALDH1A3;AOC3;MAOA;MAOB,ALDH1A3;AOC3;MAOA;MAOB
