Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Complex I biogenesis,-0.2600062107648943,-550.9660373731841,0.0,0.08146265542025403,55,51,NDUFV3;NDUFA7;NDUFA6;NDUFB3;MT-ND5;NDUFB2;NDUFS2;NDUFS1;NDUFB5;NDUFAF3;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;NDUFB4;MT-ND4;NDUFA3;NDUFS5;NDUFAB1;NDUFB8;NDUFC2;NDUFV2;NDUFA5;NDUFAF4;ECSIT;NDUFA9;NDUFS6;NDUFAF7;NDUFB1;NDUFS8;NDUFB10;NDUFB9;NDUFV1;ACAD9;NDUFAF2;NDUFA10;NDUFS4;TIMMDC1;NDUFA2;NDUFB7;NDUFAF1;NDUFA8;NUBPL;NDUFA11;NDUFA13;TMEM126B;NDUFS7;NDUFAF6;NDUFS3;NDUFB11;MT-ND1,NDUFS2;NDUFS1;NDUFB5;NDUFAF3;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;NDUFB4;MT-ND4;NDUFA3;NDUFS5;NDUFAB1;NDUFB8;NDUFC2;NDUFV2;NDUFA5;NDUFAF4;ECSIT;NDUFA9;NDUFS6;NDUFAF7;NDUFB1;NDUFS8;NDUFB10;NDUFB9;NDUFV1;ACAD9;NDUFAF2;NDUFA10;NDUFS4;TIMMDC1;NDUFA2;NDUFB7;NDUFAF1;NDUFA8;NUBPL;NDUFA11;NDUFA13;TMEM126B;NDUFS7;NDUFAF6;NDUFS3;NDUFB11;MT-ND1
Peroxisomal protein import,-0.15258987859488862,-269.8722101451467,0.25,0.161672039218658,63,51,CAT;PEX1;EPHX2;CRAT;ACOT2;SCP2;ACOT4;GSTK1;HMGCL;MLYCD;PECR;ACOX2;ACOT8;PEX6;CROT;ACOX3;PEX5;PEX14;IDH1;MPV17;PEX12;RPS27A;DECR2;GNPAT;UBE2D1;PEX13;SLC27A2;LONP2;ECI2;TYSND1;AGPS;ACAA1;UBE2D2;PHYH;HSD17B4;UBB;NUDT19;IDE;ACOX1;PIPOX;PEX2;ECH1;USP9X;UBA52;PEX26;ZFAND6;EHHADH;PEX10;HACL1;DHRS4;AMACR,HMGCL;MLYCD;PECR;ACOX2;ACOT8;PEX6;CROT;ACOX3;PEX5;PEX14;IDH1;MPV17;PEX12;RPS27A;DECR2;GNPAT;UBE2D1;PEX13;SLC27A2;LONP2;ECI2;TYSND1;AGPS;ACAA1;UBE2D2;PHYH;HSD17B4;UBB;NUDT19;IDE;ACOX1;PIPOX;PEX2;ECH1;USP9X;UBA52;PEX26;ZFAND6;EHHADH;PEX10;HACL1;DHRS4;AMACR
Activation of anterior HOX genes in hindbrain development during early embryogenesis,-0.1700727743993686,-83.24699295256121,0.3076923076923077,0.21216098169890335,91,46,RBBP4;RBBP7;POLR2G;POLR2F;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C,RBBP4;RBBP7;POLR2G;POLR2F;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C
Cyclin D associated events in G1,-0.17603248575213354,-98.79247968717011,0.5454545454545454,0.2318552500422615,47,37,CDKN1B;CDKN2C;SRC;ABL1;SKP1;CDK2;E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;LYN;CDKN2A;CKS1B;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH,E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;LYN;CDKN2A;CKS1B;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH
Intra-Golgi traffic,-0.13733301483454263,-114.40117487961813,0.75,0.23467511119142412,44,42,NAPB;NAPA;COG3;ARF1;MAN1C1;BET1L;COG7;NAPG;RIC1;CYTH4;GOSR1;VTI1A;RGP1;YKT6;RAB39A;STX5;RAB30;COG2;SNAP29;COG1;CYTH1;GOLIM4;CYTH3;MAN1A2;GOLGA5;RAB33B;NSF;CUX1;COG4;GOSR2;MAN1A1;ALPP;CYTH2;COG8;COG6;MAN2A1;TRIP11;STX6;MAN2A2;VPS45;STX16;COG5,NAPG;RIC1;CYTH4;GOSR1;VTI1A;RGP1;YKT6;RAB39A;STX5;RAB30;COG2;SNAP29;COG1;CYTH1;GOLIM4;CYTH3;MAN1A2;GOLGA5;RAB33B;NSF;CUX1;COG4;GOSR2;MAN1A1;ALPP;CYTH2;COG8;COG6;MAN2A1;TRIP11;STX6;MAN2A2;VPS45;STX16;COG5
E3 ubiquitin ligases ubiquitinate target proteins,-0.14339321197339905,-86.79518355784944,0.7,0.23498842909688664,57,39,LEO1;PCNA;CDC73;UBE2J2;UBE2E1;PRKDC;PAF1;RNF20;UBE2N;RNF181;PEX5;UBE2V2;PEX14;RRAGA;DERL1;PEX12;UBE2L3;RPS27A;SHPRH;UBE2D1;PEX13;HLA-A;RNF40;HLTF;UBE2D2;RTF1;BCL10;UBB;WAC;HLA-B;PEX2;SELENOS;UBE2A;WDR61;UBA52;VCP;PEX10;UBE2B;CTR9,RNF181;PEX5;UBE2V2;PEX14;RRAGA;DERL1;PEX12;UBE2L3;RPS27A;SHPRH;UBE2D1;PEX13;HLA-A;RNF40;HLTF;UBE2D2;RTF1;BCL10;UBB;WAC;HLA-B;PEX2;SELENOS;UBE2A;WDR61;UBA52;VCP;PEX10;UBE2B;CTR9
G1 Phase,-0.17603248575213354,-61.088620889894436,0.29411764705882354,0.2755630978542824,47,37,CDKN1B;CDKN2C;SRC;ABL1;SKP1;CDK2;E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;LYN;CDKN2A;CKS1B;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH,E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;LYN;CDKN2A;CKS1B;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH
Generation of second messenger molecules,-0.26725265681804433,-34.18344100508565,0.05,0.2809966899516455,41,24,PAK2;WAS;PLCG1;CD3E;PAK1;HLA-DRA;CD4;ENAH;PLCG2;CD247;HLA-DQB1;GRAP2;HLA-DRB5;HLA-DQA1;HLA-DPA1;ZAP70;HLA-DRB1;HLA-DPB1;HLA-DRB4;VASP;NCK1;HLA-DRB3;EVL;LCP2,WAS;PLCG1;CD3E;PAK1;HLA-DRA;CD4;ENAH;PLCG2;CD247;HLA-DQB1;GRAP2;HLA-DRB5;HLA-DQA1;HLA-DPA1;ZAP70;HLA-DRB1;HLA-DPB1;HLA-DRB4;VASP;NCK1;HLA-DRB3;EVL;LCP2
tRNA modification in the nucleus and cytosol,-0.15871730363609826,-35.45452597586418,0.5925925925925926,0.2828912555320446,43,35,OSGEP;NSUN2;TP53RK;QTRT2;PUS1;TRMT6;CTU1;URM1;PUS7;THG1L;TRMT11;THADA;DUS2;WDR4;TRMT112;TRMT61A;TPRKB;TRMT1;FTSJ1;NSUN6;PUS3;ADAT1;CTU2;TRMT5;CDKAL1;TRMT13;METTL1;TYW1;TYW3;TRIT1;TRMT10A;LAGE3;TYW5;QTRT1;TRMT44,QTRT2;PUS1;TRMT6;CTU1;URM1;PUS7;THG1L;TRMT11;THADA;DUS2;WDR4;TRMT112;TRMT61A;TPRKB;TRMT1;FTSJ1;NSUN6;PUS3;ADAT1;CTU2;TRMT5;CDKAL1;TRMT13;METTL1;TYW1;TYW3;TRIT1;TRMT10A;LAGE3;TYW5;QTRT1;TRMT44
Ovarian tumor domain proteases,-0.17374549936373362,-39.50466880634533,0.52,0.2904248105033877,38,31,YOD1;TNIP2;TNIP1;IKBKG;TRIM25;RNF135;DDX58;CDK1;ESR1;RIPK2;OTUD7B;APC;IFIH1;PTEN;RPS27A;UBE2D1;OTUD5;OTUB1;RHOA;TP53;OTUD7A;UBB;TRAF3;VCPIP1;MAVS;TNFAIP3;UBA52;RIPK1;TRAF6;VCP;OTUB2,TNIP2;TNIP1;IKBKG;TRIM25;RNF135;DDX58;CDK1;ESR1;RIPK2;OTUD7B;APC;IFIH1;PTEN;RPS27A;UBE2D1;OTUD5;OTUB1;RHOA;TP53;OTUD7A;UBB;TRAF3;VCPIP1;MAVS;TNFAIP3;UBA52;RIPK1;TRAF6;VCP;OTUB2
