	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_rank	entities_pValue	entities_fdr	cancer_rank_pval
37	R-HSA-72689	lscc	0.6521739130434783	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Formation of a pool of free 40S subunits	8	12.75	0.10567217607141288	0.8726502026225027	17.0
38	R-HSA-72689	luad	0.6808510638297872	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Formation of a pool of free 40S subunits	8	12.75	0.05638716883442263	0.8489584258572173	11.0
39	R-HSA-72689	ovarian	0.875	https://reactome.org/PathwayBrowser/#/R-HSA-72689&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Formation of a pool of free 40S subunits	8	12.75	0.01418225387094696	0.7803251322975149	6.0
40	R-HSA-1236977	ccrcc	0.8987341772151899	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Endosomal/Vacuolar pathway	8	13.625	0.08761200363988542	0.8426403962485929	16.0
41	R-HSA-1236977	colon	0.8441558441558441	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Endosomal/Vacuolar pathway	8	13.625	0.0004565422487629034	0.041816135405818744	20.0
42	R-HSA-1236977	endometrial	1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Endosomal/Vacuolar pathway	8	13.625	0.07589571471336809	0.8219205345749762	14.0
43	R-HSA-1236977	gbm	0.9240506329113924	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Endosomal/Vacuolar pathway	8	13.625	0.0777485072378854	0.803797666027487	11.0
44	R-HSA-1236977	hnscc	1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Endosomal/Vacuolar pathway	8	13.625	0.1423222126034932	0.83292086846573	25.0
45	R-HSA-1236977	lscc	-0.8181818181818182	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Endosomal/Vacuolar pathway	8	13.625	0.07514809520024623	0.8726502026225027	4.0
46	R-HSA-1236977	luad	-0.9090909090909091	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Endosomal/Vacuolar pathway	8	13.625	0.04130523275025544	0.8489584258572173	4.0
